[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/I-ash85.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] argv[5]:		-set-lb
[runlim] argv[6]:		25
[runlim] argv[7]:		-set-ub
[runlim] argv[8]:		25
[runlim] start:			Thu Mar  6 03:38:40 2025
[runlim] main pid:		1695
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c LB is predefined as 25.
c UB is predefined as 25.
c Solving strategy: from LB to UB.
c LB-w = 19 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 27 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c LB 19 is overwritten with 25.
c UB 27 is overwritten with 25.
c Antibandwidth problem with w = 25 ( I-ash85.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 85.
c Encoding starts with w = 25:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 2890
c	Labels and Vertices constraints:  19125
c	Obj k aux var: 10795
c	Obj k constraints: 96175
c	Obj k glue staircase constraints: 51465
c	Encoding duration: 0s
c	Number of clauses: 115342
c	Number of irredundant clauses: 114984
c	Number of variables: 20910
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 33.1 MB
[runlim] sample:		20.0 time, 20.1 real, 29.1 MB
[runlim] sample:		30.0 time, 30.1 real, 38.6 MB
[runlim] sample:		40.0 time, 40.1 real, 40.4 MB
[runlim] sample:		50.0 time, 50.1 real, 46.9 MB
[runlim] sample:		60.0 time, 60.1 real, 46.5 MB
[runlim] sample:		70.0 time, 70.1 real, 45.5 MB
[runlim] sample:		80.0 time, 80.1 real, 45.8 MB
[runlim] sample:		90.0 time, 90.1 real, 36.4 MB
[runlim] sample:		100.0 time, 100.1 real, 44.8 MB
[runlim] sample:		110.0 time, 110.1 real, 49.8 MB
[runlim] sample:		120.0 time, 120.1 real, 49.8 MB
[runlim] sample:		130.0 time, 130.1 real, 49.8 MB
[runlim] sample:		140.0 time, 140.1 real, 49.9 MB
[runlim] sample:		150.0 time, 150.1 real, 57.0 MB
[runlim] sample:		160.0 time, 160.1 real, 57.0 MB
[runlim] sample:		170.0 time, 170.1 real, 44.3 MB
[runlim] sample:		180.0 time, 180.1 real, 54.2 MB
[runlim] sample:		190.0 time, 190.1 real, 65.0 MB
[runlim] sample:		200.0 time, 200.1 real, 44.8 MB
[runlim] sample:		210.0 time, 210.1 real, 45.6 MB
[runlim] sample:		220.0 time, 220.1 real, 46.8 MB
[runlim] sample:		230.0 time, 230.1 real, 71.7 MB
[runlim] sample:		240.0 time, 240.1 real, 71.7 MB
[runlim] sample:		250.0 time, 250.1 real, 71.7 MB
[runlim] sample:		260.0 time, 260.1 real, 51.6 MB
[runlim] sample:		270.0 time, 270.1 real, 51.2 MB
[runlim] sample:		280.0 time, 280.1 real, 65.8 MB
[runlim] sample:		290.0 time, 290.1 real, 65.8 MB
[runlim] sample:		300.0 time, 300.1 real, 74.4 MB
[runlim] sample:		310.0 time, 310.1 real, 74.4 MB
[runlim] sample:		320.0 time, 320.1 real, 74.4 MB
[runlim] sample:		330.0 time, 330.1 real, 79.0 MB
[runlim] sample:		340.0 time, 340.1 real, 94.0 MB
[runlim] sample:		350.0 time, 350.1 real, 79.6 MB
[runlim] sample:		360.0 time, 360.1 real, 79.6 MB
[runlim] sample:		370.0 time, 370.1 real, 79.6 MB
[runlim] sample:		380.0 time, 380.1 real, 81.1 MB
[runlim] sample:		390.0 time, 390.1 real, 81.1 MB
[runlim] sample:		400.0 time, 400.1 real, 81.1 MB
[runlim] sample:		410.0 time, 410.1 real, 81.1 MB
[runlim] sample:		420.0 time, 420.1 real, 96.4 MB
[runlim] sample:		430.0 time, 430.1 real, 98.1 MB
[runlim] sample:		440.0 time, 440.1 real, 86.9 MB
[runlim] sample:		450.0 time, 450.1 real, 103.2 MB
[runlim] sample:		460.0 time, 460.1 real, 119.4 MB
[runlim] sample:		470.0 time, 470.1 real, 119.4 MB
[runlim] sample:		480.0 time, 480.1 real, 89.3 MB
[runlim] sample:		490.0 time, 490.1 real, 89.0 MB
[runlim] sample:		500.0 time, 500.1 real, 107.8 MB
[runlim] sample:		510.0 time, 510.1 real, 95.0 MB
