[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/O-impcol_d.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] argv[5]:		-set-lb
[runlim] argv[6]:		137
[runlim] argv[7]:		-set-ub
[runlim] argv[8]:		137
[runlim] start:			Sat Mar  8 01:18:07 2025
[runlim] main pid:		34138
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c LB is predefined as 137.
c UB is predefined as 137.
c Solving strategy: from LB to UB.
c LB-w = 91 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 173 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c LB 91 is overwritten with 137.
c UB 173 is overwritten with 137.
c Antibandwidth problem with w = 137 ( O-impcol_d.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 425.
c Encoding starts with w = 137:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 34000
c	Labels and Vertices constraints:  413950
c	Obj k aux var: 293675
c	Obj k constraints: 2637299
c	Obj k glue staircase constraints: 1453249
c	Encoding duration: 0s
c	Number of clauses: 3051461
c	Number of irredundant clauses: 3050015
c	Number of variables: 508300
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 542.9 MB
[runlim] sample:		20.0 time, 20.1 real, 531.2 MB
[runlim] sample:		30.0 time, 30.1 real, 549.3 MB
[runlim] sample:		40.0 time, 40.1 real, 549.9 MB
[runlim] sample:		50.0 time, 50.1 real, 550.0 MB
[runlim] sample:		60.0 time, 60.1 real, 553.9 MB
[runlim] sample:		70.0 time, 70.1 real, 553.8 MB
[runlim] sample:		80.0 time, 80.1 real, 555.7 MB
[runlim] sample:		90.0 time, 90.1 real, 554.6 MB
[runlim] sample:		100.0 time, 100.1 real, 556.8 MB
[runlim] sample:		110.0 time, 110.1 real, 557.8 MB
[runlim] sample:		120.0 time, 120.1 real, 560.6 MB
[runlim] sample:		130.0 time, 130.1 real, 570.3 MB
[runlim] sample:		140.0 time, 140.1 real, 571.4 MB
[runlim] sample:		150.0 time, 150.1 real, 571.1 MB
[runlim] sample:		160.0 time, 160.1 real, 571.4 MB
[runlim] sample:		170.0 time, 170.1 real, 624.8 MB
[runlim] sample:		180.0 time, 180.1 real, 599.3 MB
[runlim] sample:		190.0 time, 190.1 real, 599.9 MB
[runlim] sample:		200.0 time, 200.1 real, 606.9 MB
[runlim] sample:		210.0 time, 210.1 real, 606.9 MB
[runlim] sample:		220.0 time, 220.1 real, 602.8 MB
[runlim] sample:		230.0 time, 230.1 real, 616.4 MB
[runlim] sample:		240.0 time, 240.1 real, 649.9 MB
[runlim] sample:		250.0 time, 250.1 real, 639.4 MB
[runlim] sample:		260.0 time, 260.1 real, 590.3 MB
[runlim] sample:		270.0 time, 270.1 real, 590.3 MB
[runlim] sample:		280.0 time, 280.1 real, 586.9 MB
[runlim] sample:		290.0 time, 290.1 real, 609.9 MB
[runlim] sample:		300.0 time, 300.1 real, 609.0 MB
[runlim] sample:		310.0 time, 310.1 real, 606.7 MB
[runlim] sample:		320.0 time, 320.1 real, 609.8 MB
[runlim] sample:		330.0 time, 330.1 real, 610.1 MB
[runlim] sample:		340.0 time, 340.1 real, 611.1 MB
[runlim] sample:		350.0 time, 350.1 real, 620.7 MB
[runlim] sample:		359.9 time, 360.1 real, 613.8 MB
[runlim] sample:		369.9 time, 370.1 real, 614.9 MB
[runlim] sample:		379.9 time, 380.1 real, 614.9 MB
[runlim] sample:		389.9 time, 390.1 real, 610.8 MB
[runlim] sample:		399.9 time, 400.1 real, 616.5 MB
[runlim] sample:		409.9 time, 410.1 real, 616.9 MB
[runlim] sample:		419.9 time, 420.1 real, 618.9 MB
[runlim] sample:		429.9 time, 430.1 real, 617.2 MB
[runlim] sample:		439.9 time, 440.1 real, 621.9 MB
[runlim] sample:		449.9 time, 450.1 real, 622.8 MB
[runlim] sample:		459.9 time, 460.1 real, 622.8 MB
[runlim] sample:		469.9 time, 470.1 real, 614.3 MB
[runlim] sample:		479.9 time, 480.1 real, 618.2 MB
[runlim] sample:		489.9 time, 490.1 real, 712.1 MB
[runlim] sample:		499.9 time, 500.1 real, 616.8 MB
[runlim] sample:		509.9 time, 510.1 real, 619.9 MB
[runlim] sample:		519.9 time, 520.1 real, 625.6 MB
[runlim] sample:		529.9 time, 530.1 real, 625.6 MB
[runlim] sample:		539.9 time, 540.1 real, 620.9 MB
[runlim] sample:		549.9 time, 550.1 real, 618.8 MB
[runlim] sample:		559.9 time, 560.1 real, 618.8 MB
[runlim] sample:		569.9 time, 570.1 real, 620.2 MB
[runlim] sample:		579.9 time, 580.1 real, 619.1 MB
[runlim] sample:		589.9 time, 590.1 real, 620.8 MB
[runlim] sample:		599.9 time, 600.1 real, 624.8 MB
[runlim] sample:		609.9 time, 610.1 real, 625.0 MB
[runlim] sample:		619.9 time, 620.1 real, 623.0 MB
[runlim] sample:		629.9 time, 630.1 real, 623.0 MB
[runlim] sample:		639.9 time, 640.1 real, 626.6 MB
[runlim] sample:		649.9 time, 650.1 real, 626.6 MB
[runlim] sample:		659.9 time, 660.1 real, 630.6 MB
[runlim] sample:		669.9 time, 670.1 real, 627.5 MB
[runlim] sample:		679.9 time, 680.1 real, 627.5 MB
[runlim] sample:		689.9 time, 690.1 real, 628.6 MB
[runlim] sample:		699.9 time, 700.1 real, 628.6 MB
[runlim] sample:		709.9 time, 710.1 real, 626.3 MB
[runlim] sample:		719.9 time, 720.1 real, 626.3 MB
[runlim] sample:		729.9 time, 730.1 real, 627.2 MB
[runlim] sample:		739.9 time, 740.1 real, 627.1 MB
[runlim] sample:		749.9 time, 750.1 real, 627.1 MB
[runlim] sample:		759.9 time, 760.1 real, 627.7 MB
[runlim] sample:		769.9 time, 770.1 real, 627.7 MB
[runlim] sample:		779.9 time, 780.1 real, 627.7 MB
[runlim] sample:		789.9 time, 790.1 real, 629.0 MB
[runlim] sample:		799.9 time, 800.1 real, 629.5 MB
[runlim] sample:		809.9 time, 810.1 real, 631.4 MB
[runlim] sample:		819.9 time, 820.1 real, 631.4 MB
[runlim] sample:		829.9 time, 830.1 real, 633.2 MB
[runlim] sample:		839.9 time, 840.1 real, 633.2 MB
[runlim] sample:		849.9 time, 850.1 real, 631.8 MB
[runlim] sample:		859.9 time, 860.1 real, 631.8 MB
[runlim] sample:		869.9 time, 870.1 real, 628.3 MB
[runlim] sample:		879.9 time, 880.1 real, 639.2 MB
[runlim] sample:		889.9 time, 890.1 real, 639.2 MB
[runlim] sample:		899.9 time, 900.1 real, 631.3 MB
[runlim] sample:		909.9 time, 910.1 real, 631.3 MB
[runlim] sample:		919.9 time, 920.1 real, 631.3 MB
[runlim] sample:		929.9 time, 930.1 real, 632.2 MB
[runlim] sample:		939.9 time, 940.1 real, 629.4 MB
[runlim] sample:		949.9 time, 950.1 real, 629.4 MB
[runlim] sample:		959.9 time, 960.1 real, 627.7 MB
[runlim] sample:		969.9 time, 970.1 real, 627.7 MB
[runlim] sample:		979.9 time, 980.1 real, 627.7 MB
[runlim] sample:		989.9 time, 990.1 real, 634.1 MB
[runlim] sample:		999.9 time, 1000.1 real, 634.1 MB
[runlim] sample:		1009.9 time, 1010.1 real, 631.9 MB
[runlim] sample:		1019.9 time, 1020.1 real, 631.9 MB
[runlim] sample:		1029.9 time, 1030.1 real, 631.7 MB
[runlim] sample:		1039.9 time, 1040.1 real, 631.7 MB
[runlim] sample:		1049.9 time, 1050.1 real, 631.7 MB
[runlim] sample:		1059.9 time, 1060.1 real, 631.7 MB
[runlim] sample:		1069.9 time, 1070.1 real, 633.7 MB
[runlim] sample:		1079.9 time, 1080.1 real, 628.9 MB
[runlim] sample:		1089.9 time, 1090.1 real, 628.9 MB
[runlim] sample:		1099.9 time, 1100.1 real, 633.7 MB
[runlim] sample:		1109.9 time, 1110.1 real, 633.7 MB
[runlim] sample:		1119.9 time, 1120.1 real, 632.0 MB
[runlim] sample:		1129.9 time, 1130.1 real, 632.0 MB
[runlim] sample:		1139.9 time, 1140.1 real, 630.8 MB
[runlim] sample:		1149.9 time, 1150.1 real, 735.4 MB
[runlim] sample:		1159.9 time, 1160.1 real, 633.6 MB
[runlim] sample:		1169.9 time, 1170.1 real, 633.6 MB
[runlim] sample:		1179.9 time, 1180.1 real, 633.6 MB
[runlim] sample:		1189.9 time, 1190.1 real, 636.4 MB
[runlim] sample:		1199.9 time, 1200.1 real, 631.9 MB
[runlim] sample:		1209.9 time, 1210.1 real, 631.9 MB
[runlim] sample:		1219.9 time, 1220.1 real, 639.4 MB
[runlim] sample:		1229.9 time, 1230.1 real, 639.4 MB
[runlim] sample:		1239.9 time, 1240.1 real, 639.4 MB
[runlim] sample:		1249.9 time, 1250.1 real, 639.4 MB
[runlim] sample:		1259.9 time, 1260.1 real, 634.2 MB
[runlim] sample:		1269.9 time, 1270.1 real, 634.2 MB
[runlim] sample:		1279.9 time, 1280.1 real, 631.0 MB
[runlim] sample:		1289.9 time, 1290.1 real, 731.7 MB
[runlim] sample:		1299.9 time, 1300.1 real, 635.3 MB
[runlim] sample:		1309.9 time, 1310.1 real, 635.3 MB
[runlim] sample:		1319.9 time, 1320.1 real, 635.3 MB
[runlim] sample:		1329.9 time, 1330.1 real, 632.6 MB
[runlim] sample:		1339.9 time, 1340.1 real, 632.6 MB
[runlim] sample:		1349.9 time, 1350.1 real, 631.2 MB
[runlim] sample:		1359.9 time, 1360.1 real, 631.2 MB
[runlim] sample:		1369.9 time, 1370.1 real, 632.9 MB
[runlim] sample:		1379.9 time, 1380.1 real, 632.9 MB
[runlim] sample:		1389.9 time, 1390.1 real, 628.7 MB
[runlim] sample:		1399.9 time, 1400.1 real, 628.7 MB
