[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/X-can__715.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] argv[5]:		-set-lb
[runlim] argv[6]:		114
[runlim] argv[7]:		-set-ub
[runlim] argv[8]:		114
[runlim] start:			Thu Mar  6 09:55:05 2025
[runlim] main pid:		4712
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c LB is predefined as 114.
c UB is predefined as 114.
c Solving strategy: from LB to UB.
c LB-w = 112 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 142 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c LB 112 is overwritten with 114.
c UB 142 is overwritten with 114.
c Antibandwidth problem with w = 114 ( X-can__715.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 715.
c Encoding starts with w = 114:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 74360
c	Labels and Vertices constraints:  1147575
c	Obj k aux var: 906620
c	Obj k constraints: 10773195
c	Obj k glue staircase constraints: 7110250
c	Encoding duration: 3s
c	Number of clauses: 11921127
c	Number of irredundant clauses: 11916923
c	Number of variables: 1492205
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 1746.9 MB
[runlim] sample:		20.0 time, 20.1 real, 1746.8 MB
[runlim] sample:		30.0 time, 30.1 real, 1746.8 MB
[runlim] sample:		40.0 time, 40.1 real, 1793.6 MB
[runlim] sample:		50.0 time, 50.1 real, 1797.1 MB
[runlim] sample:		60.0 time, 60.1 real, 1800.2 MB
[runlim] sample:		70.0 time, 70.1 real, 1803.9 MB
[runlim] sample:		80.0 time, 80.1 real, 1762.3 MB
[runlim] sample:		90.0 time, 90.1 real, 1747.1 MB
[runlim] sample:		100.0 time, 100.1 real, 1745.0 MB
[runlim] sample:		110.0 time, 110.1 real, 1762.5 MB
[runlim] sample:		120.0 time, 120.1 real, 1766.3 MB
[runlim] sample:		130.0 time, 130.1 real, 1749.3 MB
[runlim] sample:		140.0 time, 140.1 real, 1746.4 MB
[runlim] sample:		150.0 time, 150.1 real, 2057.8 MB
[runlim] sample:		160.0 time, 160.1 real, 1743.8 MB
[runlim] sample:		170.0 time, 170.1 real, 1748.5 MB
[runlim] sample:		180.0 time, 180.1 real, 1766.5 MB
[runlim] sample:		189.9 time, 190.1 real, 1793.9 MB
[runlim] sample:		199.9 time, 200.1 real, 1795.1 MB
[runlim] sample:		209.9 time, 210.1 real, 1795.6 MB
[runlim] sample:		219.9 time, 220.1 real, 1817.2 MB
[runlim] sample:		229.9 time, 230.1 real, 1790.4 MB
[runlim] sample:		239.9 time, 240.1 real, 2070.8 MB
[runlim] sample:		249.9 time, 250.1 real, 1789.4 MB
[runlim] sample:		259.9 time, 260.1 real, 1828.5 MB
[runlim] sample:		269.9 time, 270.1 real, 1815.6 MB
[runlim] sample:		279.9 time, 280.1 real, 1817.5 MB
[runlim] sample:		289.9 time, 290.1 real, 1858.5 MB
[runlim] sample:		299.9 time, 300.1 real, 1859.3 MB
[runlim] sample:		309.9 time, 310.1 real, 1936.1 MB
[runlim] sample:		319.9 time, 320.1 real, 1983.8 MB
[runlim] sample:		329.9 time, 330.1 real, 1983.8 MB
[runlim] sample:		339.9 time, 340.1 real, 1983.8 MB
[runlim] sample:		349.9 time, 350.1 real, 2144.7 MB
[runlim] sample:		359.9 time, 360.1 real, 1757.9 MB
[runlim] sample:		369.9 time, 370.1 real, 1802.4 MB
[runlim] sample:		379.9 time, 380.1 real, 1809.5 MB
[runlim] sample:		389.9 time, 390.1 real, 1807.2 MB
[runlim] sample:		399.9 time, 400.1 real, 1807.2 MB
[runlim] sample:		409.9 time, 410.1 real, 1807.2 MB
[runlim] sample:		419.9 time, 420.1 real, 1808.9 MB
[runlim] sample:		429.9 time, 430.1 real, 1808.5 MB
[runlim] sample:		439.9 time, 440.1 real, 1887.8 MB
[runlim] sample:		449.9 time, 450.1 real, 1842.7 MB
[runlim] sample:		459.9 time, 460.1 real, 1842.7 MB
[runlim] sample:		469.9 time, 470.1 real, 1842.7 MB
[runlim] sample:		479.9 time, 480.1 real, 1863.9 MB
[runlim] sample:		489.9 time, 490.1 real, 2025.2 MB
[runlim] sample:		499.9 time, 500.1 real, 2664.7 MB
[runlim] sample:		509.9 time, 510.1 real, 2664.7 MB
[runlim] sample:		519.9 time, 520.1 real, 2664.7 MB
[runlim] sample:		529.9 time, 530.1 real, 2664.7 MB
[runlim] sample:		539.9 time, 540.1 real, 2565.6 MB
[runlim] sample:		549.9 time, 550.1 real, 2565.6 MB
[runlim] sample:		559.9 time, 560.1 real, 2698.9 MB
[runlim] sample:		569.9 time, 570.1 real, 2798.3 MB
[runlim] sample:		579.9 time, 580.1 real, 2593.3 MB
[runlim] sample:		589.9 time, 590.1 real, 2573.4 MB
[runlim] sample:		599.9 time, 600.1 real, 1941.3 MB
[runlim] sample:		609.9 time, 610.1 real, 1941.3 MB
[runlim] sample:		619.9 time, 620.1 real, 1941.3 MB
[runlim] sample:		629.8 time, 630.1 real, 1941.3 MB
[runlim] sample:		639.8 time, 640.1 real, 1941.3 MB
[runlim] sample:		649.9 time, 650.1 real, 2002.1 MB
[runlim] sample:		659.8 time, 660.1 real, 2117.4 MB
[runlim] sample:		669.8 time, 670.1 real, 2260.0 MB
[runlim] sample:		679.9 time, 680.1 real, 2849.7 MB
[runlim] sample:		689.9 time, 690.1 real, 2849.7 MB
[runlim] sample:		699.8 time, 700.1 real, 2849.7 MB
[runlim] sample:		709.8 time, 710.1 real, 2903.8 MB
[runlim] sample:		719.8 time, 720.1 real, 2827.6 MB
[runlim] sample:		729.8 time, 730.1 real, 2557.2 MB
[runlim] sample:		739.8 time, 740.1 real, 2219.3 MB
[runlim] sample:		749.8 time, 750.1 real, 2207.6 MB
[runlim] sample:		759.8 time, 760.1 real, 2217.6 MB
[runlim] sample:		769.8 time, 770.1 real, 2256.3 MB
[runlim] sample:		779.8 time, 780.1 real, 2262.8 MB
