[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/X-can__715.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] argv[5]:		-set-lb
[runlim] argv[6]:		140
[runlim] argv[7]:		-set-ub
[runlim] argv[8]:		140
[runlim] start:			Mon Mar 10 05:41:44 2025
[runlim] main pid:		95834
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c LB is predefined as 140.
c UB is predefined as 140.
c Solving strategy: from LB to UB.
c LB-w = 112 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 142 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c LB 112 is overwritten with 140.
c UB 142 is overwritten with 140.
c Antibandwidth problem with w = 140 ( X-can__715.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 715.
c Encoding starts with w = 140:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 74360
c	Labels and Vertices constraints:  1143285
c	Obj k aux var: 901615
c	Obj k constraints: 10438400
c	Obj k glue staircase constraints: 6809775
c	Encoding duration: 6s
c	Number of clauses: 11582042
c	Number of irredundant clauses: 11577822
c	Number of variables: 1487200
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.2 real, 1435.1 MB
[runlim] sample:		20.0 time, 20.2 real, 1703.8 MB
[runlim] sample:		30.0 time, 30.2 real, 1740.4 MB
[runlim] sample:		40.0 time, 40.2 real, 1776.4 MB
[runlim] sample:		50.0 time, 50.2 real, 2007.7 MB
[runlim] sample:		60.0 time, 60.2 real, 1744.7 MB
[runlim] sample:		70.0 time, 70.2 real, 1697.1 MB
[runlim] sample:		80.0 time, 80.2 real, 1744.7 MB
[runlim] sample:		90.0 time, 90.2 real, 1748.4 MB
[runlim] sample:		100.0 time, 100.2 real, 1748.5 MB
[runlim] sample:		110.0 time, 110.2 real, 1699.4 MB
[runlim] sample:		120.0 time, 120.2 real, 1716.3 MB
[runlim] sample:		130.0 time, 130.2 real, 1718.4 MB
[runlim] sample:		140.0 time, 140.2 real, 1748.0 MB
[runlim] sample:		150.0 time, 150.2 real, 1732.3 MB
[runlim] sample:		160.0 time, 160.2 real, 1721.2 MB
[runlim] sample:		170.0 time, 170.2 real, 1749.4 MB
[runlim] sample:		180.0 time, 180.2 real, 2018.0 MB
[runlim] sample:		190.0 time, 190.2 real, 1699.1 MB
[runlim] sample:		200.0 time, 200.2 real, 1743.9 MB
[runlim] sample:		210.0 time, 210.2 real, 1745.6 MB
[runlim] sample:		220.0 time, 220.2 real, 2017.4 MB
[runlim] sample:		230.0 time, 230.2 real, 1747.2 MB
[runlim] sample:		240.0 time, 240.2 real, 1747.3 MB
[runlim] sample:		250.0 time, 250.2 real, 1702.5 MB
[runlim] sample:		260.0 time, 260.2 real, 1748.8 MB
[runlim] sample:		270.0 time, 270.2 real, 1750.5 MB
[runlim] sample:		280.0 time, 280.2 real, 1750.5 MB
[runlim] sample:		290.0 time, 290.2 real, 1750.5 MB
[runlim] sample:		300.0 time, 300.2 real, 1754.3 MB
[runlim] sample:		310.0 time, 310.2 real, 1706.6 MB
[runlim] sample:		320.0 time, 320.2 real, 1760.2 MB
[runlim] sample:		330.0 time, 330.2 real, 1759.8 MB
[runlim] sample:		340.0 time, 340.2 real, 1715.6 MB
[runlim] sample:		350.0 time, 350.2 real, 1714.9 MB
[runlim] sample:		360.0 time, 360.2 real, 1998.2 MB
[runlim] sample:		370.0 time, 370.2 real, 1712.1 MB
[runlim] sample:		380.0 time, 380.2 real, 1712.1 MB
[runlim] sample:		390.0 time, 390.2 real, 1757.0 MB
[runlim] sample:		400.0 time, 400.2 real, 1757.0 MB
[runlim] sample:		410.0 time, 410.2 real, 1759.0 MB
[runlim] sample:		420.0 time, 420.2 real, 1759.6 MB
