[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/hvanh28/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/hvanh28/AntiBandwidthReconstruct/build/Benchmarks/K-dwt__234.mtx.rnd
[runlim] argv[2]:		--seq
[runlim] argv[3]:		-symetry-break
[runlim] argv[4]:		l
[runlim] start:			Tue Sep 17 19:27:10 2024
[runlim] main pid:		139759
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the lowest degree node.
c Solving strategy: from LB to UB.
c LB-w = 46 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 58 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 46 ( K-dwt__234.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Sequential encoder with n = 117.
c Encoding starts with w = 46:
c	Encode symmetry breaking with option: l.
c	Encoding duration: 2s
c	Number of clauses: 3242200
c	Number of irredundant clauses: 3238658
c	Number of variables: 1090359
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.9 real, 594.6 MB
[runlim] sample:		20.0 time, 20.9 real, 665.3 MB
[runlim] sample:		30.0 time, 30.9 real, 709.4 MB
[runlim] sample:		40.0 time, 40.9 real, 613.6 MB
[runlim] sample:		50.0 time, 50.9 real, 579.7 MB
[runlim] sample:		60.0 time, 60.9 real, 582.6 MB
[runlim] sample:		70.0 time, 70.9 real, 585.6 MB
[runlim] sample:		80.0 time, 80.9 real, 587.5 MB
[runlim] sample:		90.0 time, 90.9 real, 589.4 MB
[runlim] sample:		100.0 time, 100.9 real, 594.5 MB
[runlim] sample:		110.0 time, 110.9 real, 666.8 MB
[runlim] sample:		120.0 time, 120.9 real, 591.5 MB
[runlim] sample:		130.0 time, 130.9 real, 592.0 MB
[runlim] sample:		140.0 time, 140.9 real, 601.6 MB
[runlim] sample:		150.0 time, 150.9 real, 601.6 MB
[runlim] sample:		160.0 time, 160.9 real, 604.4 MB
[runlim] sample:		170.0 time, 170.9 real, 601.7 MB
[runlim] sample:		180.0 time, 180.9 real, 601.5 MB
[runlim] sample:		190.0 time, 190.9 real, 598.6 MB
[runlim] sample:		200.0 time, 200.9 real, 599.9 MB
