[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/X-can__715.mtx.rnd
[runlim] argv[2]:		--duplex
[runlim] start:			Thu Aug 15 21:00:06 2024
[runlim] main pid:		26093
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 112 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 142 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 112 ( X-can__715.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Duplex encoder with n = 715.
c Encoding starts with w = 112:
c	Labels and Vertices aux var: 74360
c	Labels and Vertices constraints:  1147575
c	Obj k aux var: 1806090
c	Obj k constraints: 12946400
c	Obj k glue staircase constraints: 7137025
c	Encoding duration: 4s
c	Number of clauses: 14094332
c	Number of irredundant clauses: 13221467
c	Number of variables: 2391675
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.7 real, 1869.5 MB
[runlim] sample:		20.0 time, 20.7 real, 2432.1 MB
[runlim] sample:		30.0 time, 30.7 real, 2198.4 MB
[runlim] sample:		40.0 time, 40.7 real, 2426.6 MB
[runlim] sample:		50.0 time, 50.7 real, 2204.5 MB
[runlim] sample:		60.0 time, 60.7 real, 2212.9 MB
[runlim] sample:		70.0 time, 70.7 real, 2210.5 MB
[runlim] sample:		80.0 time, 80.7 real, 2218.7 MB
[runlim] sample:		90.0 time, 90.7 real, 2127.0 MB
[runlim] sample:		100.0 time, 100.7 real, 2192.7 MB
[runlim] sample:		110.0 time, 110.7 real, 2191.0 MB
[runlim] sample:		120.0 time, 120.7 real, 2213.1 MB
[runlim] sample:		130.0 time, 130.7 real, 2167.7 MB
[runlim] sample:		140.0 time, 140.7 real, 2209.6 MB
[runlim] sample:		150.0 time, 150.7 real, 2210.0 MB
[runlim] sample:		160.0 time, 160.7 real, 2210.0 MB
[runlim] sample:		170.0 time, 170.7 real, 2208.2 MB
[runlim] sample:		180.0 time, 180.7 real, 2262.9 MB
[runlim] sample:		190.0 time, 190.7 real, 2262.9 MB
[runlim] sample:		200.0 time, 200.7 real, 2208.7 MB
[runlim] sample:		210.0 time, 210.7 real, 2208.6 MB
[runlim] sample:		220.0 time, 220.7 real, 2499.5 MB
[runlim] sample:		230.0 time, 230.7 real, 2166.4 MB
[runlim] sample:		240.0 time, 240.7 real, 2173.6 MB
[runlim] sample:		250.0 time, 250.7 real, 2175.7 MB
[runlim] sample:		260.0 time, 260.7 real, 2214.7 MB
[runlim] sample:		270.0 time, 270.7 real, 2215.4 MB
[runlim] sample:		280.0 time, 280.7 real, 2175.0 MB
[runlim] sample:		290.0 time, 290.7 real, 2180.8 MB
[runlim] sample:		300.0 time, 300.7 real, 2180.7 MB
[runlim] sample:		310.0 time, 310.7 real, 2192.5 MB
[runlim] sample:		320.0 time, 320.7 real, 2179.0 MB
[runlim] sample:		330.0 time, 330.7 real, 2179.0 MB
[runlim] sample:		340.0 time, 340.7 real, 2220.8 MB
[runlim] sample:		350.0 time, 350.7 real, 2195.1 MB
[runlim] sample:		360.0 time, 360.7 real, 2236.9 MB
[runlim] sample:		370.0 time, 370.7 real, 2235.6 MB
[runlim] sample:		380.0 time, 380.7 real, 2220.0 MB
[runlim] sample:		390.0 time, 390.7 real, 2220.1 MB
[runlim] sample:		400.0 time, 400.7 real, 2220.1 MB
[runlim] sample:		410.0 time, 410.7 real, 2220.0 MB
[runlim] sample:		420.0 time, 420.7 real, 2220.0 MB
[runlim] sample:		430.0 time, 430.7 real, 2226.0 MB
[runlim] sample:		440.0 time, 440.7 real, 2229.8 MB
[runlim] sample:		450.0 time, 450.7 real, 2229.7 MB
[runlim] sample:		460.0 time, 460.7 real, 2180.0 MB
[runlim] sample:		470.0 time, 470.7 real, 2193.6 MB
[runlim] sample:		480.0 time, 480.7 real, 2193.6 MB
[runlim] sample:		490.0 time, 490.7 real, 2193.6 MB
[runlim] sample:		500.0 time, 500.7 real, 2189.9 MB
[runlim] sample:		510.0 time, 510.7 real, 2613.4 MB
[runlim] sample:		520.0 time, 520.7 real, 2254.4 MB
[runlim] sample:		530.0 time, 530.7 real, 2254.4 MB
[runlim] sample:		540.0 time, 540.7 real, 2206.8 MB
[runlim] sample:		550.0 time, 550.7 real, 2248.7 MB
[runlim] sample:		560.0 time, 560.7 real, 2220.2 MB
[runlim] sample:		570.0 time, 570.7 real, 2221.5 MB
[runlim] sample:		580.0 time, 580.7 real, 2221.7 MB
[runlim] sample:		589.9 time, 590.7 real, 2226.3 MB
[runlim] sample:		599.9 time, 600.7 real, 2260.1 MB
[runlim] sample:		609.9 time, 610.7 real, 2213.7 MB
[runlim] sample:		619.9 time, 620.7 real, 2258.6 MB
[runlim] sample:		629.9 time, 630.7 real, 2244.4 MB
[runlim] sample:		639.9 time, 640.7 real, 2244.4 MB
[runlim] sample:		649.9 time, 650.7 real, 2244.3 MB
[runlim] sample:		659.9 time, 660.7 real, 2244.3 MB
[runlim] sample:		669.9 time, 670.7 real, 2338.3 MB
[runlim] sample:		679.9 time, 680.7 real, 2338.3 MB
[runlim] sample:		689.9 time, 690.7 real, 2338.3 MB
[runlim] sample:		699.9 time, 700.7 real, 2344.3 MB
[runlim] sample:		709.9 time, 710.7 real, 2344.6 MB
[runlim] sample:		719.9 time, 720.7 real, 2347.5 MB
[runlim] sample:		729.9 time, 730.7 real, 2346.9 MB
[runlim] sample:		739.9 time, 740.7 real, 2512.0 MB
[runlim] sample:		749.9 time, 750.7 real, 2231.0 MB
[runlim] sample:		759.9 time, 760.7 real, 2183.8 MB
[runlim] sample:		769.9 time, 770.7 real, 2209.9 MB
[runlim] sample:		779.9 time, 780.7 real, 2209.9 MB
[runlim] sample:		789.9 time, 790.7 real, 2209.9 MB
[runlim] sample:		799.9 time, 800.7 real, 2245.8 MB
[runlim] sample:		809.9 time, 810.7 real, 2277.0 MB
[runlim] sample:		819.9 time, 820.7 real, 2288.9 MB
[runlim] sample:		829.9 time, 830.7 real, 2288.8 MB
[runlim] sample:		839.9 time, 840.7 real, 2309.8 MB
[runlim] sample:		849.9 time, 850.7 real, 2309.8 MB
[runlim] sample:		859.9 time, 860.7 real, 2309.8 MB
[runlim] sample:		869.9 time, 870.7 real, 2309.8 MB
[runlim] sample:		879.9 time, 880.7 real, 2309.8 MB
[runlim] sample:		889.9 time, 890.7 real, 2301.0 MB
[runlim] sample:		899.9 time, 900.7 real, 2427.6 MB
[runlim] sample:		909.9 time, 910.7 real, 2427.6 MB
[runlim] sample:		919.9 time, 920.7 real, 2380.4 MB
[runlim] sample:		929.9 time, 930.7 real, 2203.6 MB
[runlim] sample:		939.9 time, 940.7 real, 2203.6 MB
[runlim] sample:		949.9 time, 950.7 real, 2203.6 MB
[runlim] sample:		959.9 time, 960.7 real, 2510.1 MB
[runlim] sample:		969.9 time, 970.7 real, 2510.1 MB
[runlim] sample:		979.9 time, 980.7 real, 2557.5 MB
[runlim] sample:		989.9 time, 990.7 real, 2546.0 MB
[runlim] sample:		999.9 time, 1000.7 real, 2449.8 MB
[runlim] sample:		1009.9 time, 1010.7 real, 2413.8 MB
[runlim] sample:		1019.9 time, 1020.7 real, 2413.8 MB
[runlim] sample:		1029.9 time, 1030.7 real, 2717.2 MB
[runlim] sample:		1039.9 time, 1040.7 real, 2188.9 MB
[runlim] sample:		1049.9 time, 1050.7 real, 2188.9 MB
[runlim] sample:		1059.9 time, 1060.7 real, 2188.9 MB
[runlim] sample:		1069.9 time, 1070.7 real, 2462.9 MB
[runlim] sample:		1079.9 time, 1080.7 real, 2510.6 MB
[runlim] sample:		1089.9 time, 1090.7 real, 2510.6 MB
[runlim] sample:		1099.9 time, 1100.7 real, 2510.5 MB
[runlim] sample:		1109.9 time, 1110.7 real, 2375.7 MB
[runlim] sample:		1119.9 time, 1120.7 real, 2375.7 MB
[runlim] sample:		1129.9 time, 1130.7 real, 2252.0 MB
[runlim] sample:		1139.9 time, 1140.7 real, 2252.0 MB
[runlim] sample:		1149.9 time, 1150.7 real, 2252.0 MB
[runlim] sample:		1159.9 time, 1160.7 real, 2565.0 MB
[runlim] sample:		1169.9 time, 1170.7 real, 2246.3 MB
[runlim] sample:		1179.9 time, 1180.7 real, 2253.1 MB
[runlim] sample:		1189.9 time, 1190.7 real, 2253.1 MB
[runlim] sample:		1199.9 time, 1200.7 real, 2253.1 MB
[runlim] sample:		1209.9 time, 1210.7 real, 2253.1 MB
