[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak_min_node_hybrid_NSC_binomial
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/Q-494_bus.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] argv[3]:		-split-size
[runlim] argv[4]:		10
[runlim] start:			Fri Aug 30 05:28:04 2024
[runlim] main pid:		5291
[runlim] log captured:
c DuplexEncoder 0.8.
c Splitting clauses at length 10.
c Solving strategy: from LB to UB.
c LB-w = 219 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 246 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 219 ( Q-494_bus.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 494.
c Encoding starts with w = 219:
c	Labels and Vertices aux var: 42484
c	Labels and Vertices constraints:  552292
c	Obj k aux var: 270218
c	Obj k constraints: 1913008
c	Obj k glue staircase constraints: 643428
c	Encoding duration: 0s
c	Number of clauses: 2501115
c	Number of irredundant clauses: 2499656
c	Number of variables: 592306
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 516.4 MB
[runlim] sample:		20.0 time, 20.1 real, 497.6 MB
[runlim] sample:		30.0 time, 30.1 real, 537.7 MB
[runlim] sample:		40.0 time, 40.1 real, 539.6 MB
[runlim] sample:		50.0 time, 50.1 real, 537.9 MB
[runlim] sample:		60.0 time, 60.1 real, 547.7 MB
[runlim] sample:		70.0 time, 70.1 real, 548.5 MB
[runlim] sample:		80.0 time, 80.1 real, 522.0 MB
[runlim] sample:		90.0 time, 90.1 real, 527.1 MB
[runlim] sample:		100.0 time, 100.1 real, 519.6 MB
[runlim] sample:		110.0 time, 110.1 real, 521.8 MB
[runlim] sample:		120.0 time, 120.1 real, 557.2 MB
[runlim] sample:		130.0 time, 130.1 real, 580.2 MB
[runlim] sample:		140.0 time, 140.1 real, 595.5 MB
[runlim] sample:		150.0 time, 150.1 real, 595.5 MB
[runlim] sample:		160.0 time, 160.1 real, 597.1 MB
[runlim] sample:		170.0 time, 170.1 real, 679.8 MB
[runlim] sample:		180.0 time, 180.1 real, 584.4 MB
[runlim] sample:		190.0 time, 190.1 real, 608.4 MB
[runlim] sample:		200.0 time, 200.1 real, 606.1 MB
[runlim] sample:		210.0 time, 210.1 real, 636.7 MB
[runlim] sample:		220.0 time, 220.1 real, 624.2 MB
[runlim] sample:		230.0 time, 230.1 real, 650.0 MB
[runlim] sample:		240.0 time, 240.1 real, 627.6 MB
[runlim] sample:		250.0 time, 250.1 real, 640.3 MB
[runlim] sample:		260.0 time, 260.1 real, 659.9 MB
[runlim] sample:		270.0 time, 270.1 real, 667.3 MB
[runlim] sample:		280.0 time, 280.1 real, 667.3 MB
[runlim] sample:		290.0 time, 290.1 real, 662.0 MB
[runlim] sample:		300.0 time, 300.1 real, 652.8 MB
[runlim] sample:		310.0 time, 310.1 real, 652.8 MB
[runlim] sample:		320.0 time, 320.1 real, 654.0 MB
[runlim] sample:		330.0 time, 330.1 real, 655.0 MB
[runlim] sample:		340.0 time, 340.1 real, 677.1 MB
[runlim] sample:		350.0 time, 350.1 real, 677.1 MB
[runlim] sample:		360.0 time, 360.1 real, 674.5 MB
[runlim] sample:		370.0 time, 370.1 real, 660.3 MB
[runlim] sample:		380.0 time, 380.1 real, 702.6 MB
[runlim] sample:		390.0 time, 390.1 real, 702.6 MB
[runlim] sample:		400.0 time, 400.1 real, 726.5 MB
[runlim] sample:		410.0 time, 410.1 real, 732.4 MB
[runlim] sample:		420.0 time, 420.1 real, 710.0 MB
[runlim] sample:		430.0 time, 430.1 real, 727.8 MB
[runlim] sample:		440.0 time, 440.1 real, 727.8 MB
[runlim] sample:		450.0 time, 450.1 real, 907.3 MB
[runlim] sample:		460.0 time, 460.1 real, 750.1 MB
[runlim] sample:		470.0 time, 470.1 real, 709.3 MB
[runlim] sample:		480.0 time, 480.1 real, 686.3 MB
[runlim] sample:		490.0 time, 490.1 real, 688.3 MB
[runlim] sample:		500.0 time, 500.1 real, 716.7 MB
[runlim] sample:		510.0 time, 510.1 real, 716.7 MB
[runlim] sample:		520.0 time, 520.1 real, 716.7 MB
[runlim] sample:		530.0 time, 530.1 real, 875.9 MB
[runlim] sample:		540.0 time, 540.1 real, 875.9 MB
[runlim] sample:		550.0 time, 550.1 real, 875.9 MB
[runlim] sample:		560.0 time, 560.1 real, 831.2 MB
[runlim] sample:		570.0 time, 570.1 real, 831.2 MB
[runlim] sample:		580.0 time, 580.1 real, 697.7 MB
[runlim] sample:		590.0 time, 590.1 real, 675.5 MB
[runlim] sample:		600.0 time, 600.1 real, 701.8 MB
[runlim] sample:		610.0 time, 610.1 real, 701.8 MB
[runlim] sample:		620.0 time, 620.1 real, 738.7 MB
[runlim] sample:		630.0 time, 630.1 real, 703.3 MB
[runlim] sample:		640.0 time, 640.1 real, 703.3 MB
[runlim] sample:		650.0 time, 650.1 real, 721.3 MB
[runlim] sample:		660.0 time, 660.1 real, 721.3 MB
[runlim] sample:		670.0 time, 670.1 real, 719.4 MB
[runlim] sample:		680.0 time, 680.1 real, 719.4 MB
[runlim] sample:		690.0 time, 690.1 real, 775.2 MB
[runlim] sample:		700.0 time, 700.1 real, 722.4 MB
[runlim] sample:		710.0 time, 710.1 real, 726.4 MB
[runlim] sample:		720.0 time, 720.1 real, 730.9 MB
[runlim] sample:		730.0 time, 730.1 real, 730.9 MB
[runlim] sample:		740.0 time, 740.1 real, 750.5 MB
[runlim] sample:		750.0 time, 750.1 real, 747.0 MB
[runlim] sample:		760.0 time, 760.1 real, 747.0 MB
[runlim] sample:		770.0 time, 770.1 real, 751.0 MB
[runlim] sample:		780.0 time, 780.1 real, 751.0 MB
[runlim] sample:		790.0 time, 790.1 real, 831.9 MB
[runlim] sample:		800.0 time, 800.1 real, 831.9 MB
[runlim] sample:		810.0 time, 810.1 real, 807.9 MB
[runlim] sample:		820.0 time, 820.1 real, 752.6 MB
[runlim] sample:		830.0 time, 830.1 real, 752.6 MB
[runlim] sample:		840.0 time, 840.1 real, 752.6 MB
[runlim] sample:		850.0 time, 850.1 real, 735.8 MB
[runlim] sample:		860.0 time, 860.1 real, 735.8 MB
[runlim] sample:		870.0 time, 870.1 real, 795.2 MB
[runlim] sample:		880.0 time, 880.1 real, 795.2 MB
[runlim] sample:		890.0 time, 890.1 real, 830.1 MB
[runlim] sample:		900.0 time, 900.1 real, 830.1 MB
[runlim] sample:		910.0 time, 910.1 real, 830.1 MB
[runlim] sample:		920.0 time, 920.1 real, 780.5 MB
[runlim] sample:		930.0 time, 930.1 real, 780.5 MB
[runlim] sample:		940.0 time, 940.1 real, 794.6 MB
[runlim] sample:		950.0 time, 950.1 real, 794.6 MB
[runlim] sample:		960.0 time, 960.1 real, 784.9 MB
[runlim] sample:		970.0 time, 970.1 real, 784.9 MB
[runlim] sample:		979.9 time, 980.1 real, 796.9 MB
[runlim] sample:		989.9 time, 990.1 real, 796.9 MB
[runlim] sample:		999.9 time, 1000.1 real, 796.9 MB
[runlim] sample:		1009.9 time, 1010.1 real, 860.0 MB
[runlim] sample:		1019.9 time, 1020.1 real, 1001.2 MB
[runlim] sample:		1029.9 time, 1030.1 real, 710.4 MB
[runlim] sample:		1039.9 time, 1040.1 real, 710.4 MB
[runlim] sample:		1049.9 time, 1050.1 real, 776.9 MB
[runlim] sample:		1059.9 time, 1060.1 real, 941.4 MB
[runlim] sample:		1069.9 time, 1070.1 real, 1107.7 MB
[runlim] sample:		1079.9 time, 1080.1 real, 1257.7 MB
[runlim] sample:		1089.9 time, 1090.1 real, 1389.7 MB
[runlim] sample:		1099.9 time, 1100.1 real, 1524.8 MB
[runlim] sample:		1109.9 time, 1110.1 real, 1664.5 MB
[runlim] sample:		1119.9 time, 1120.1 real, 1790.6 MB
[runlim] sample:		1129.9 time, 1130.1 real, 2925.0 MB
[runlim] sample:		1139.9 time, 1140.1 real, 2925.0 MB
[runlim] sample:		1149.9 time, 1150.1 real, 1346.0 MB
[runlim] sample:		1159.9 time, 1160.1 real, 1346.0 MB
[runlim] sample:		1169.9 time, 1170.1 real, 1331.0 MB
[runlim] sample:		1179.9 time, 1180.1 real, 1296.7 MB
[runlim] sample:		1189.9 time, 1190.1 real, 1296.7 MB
[runlim] sample:		1199.9 time, 1200.1 real, 1361.0 MB
[runlim] sample:		1209.9 time, 1210.1 real, 1361.0 MB
[runlim] sample:		1219.9 time, 1220.1 real, 1361.0 MB
