[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak_min_node_hybrid_NSC_binomial
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/T-dwt__592.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] argv[3]:		-split-size
[runlim] argv[4]:		10
[runlim] start:			Fri Aug 30 08:28:21 2024
[runlim] main pid:		7589
[runlim] log captured:
c DuplexEncoder 0.8.
c Splitting clauses at length 10.
c Solving strategy: from LB to UB.
c LB-w = 103 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 150 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 103 ( T-dwt__592.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 592.
c Encoding starts with w = 103:
c	Labels and Vertices aux var: 55648
c	Labels and Vertices constraints:  792096
c	Obj k aux var: 571872
c	Obj k constraints: 6758880
c	Obj k glue staircase constraints: 4387920
c	Encoding duration: 2s
c	Number of clauses: 7590936
c	Number of irredundant clauses: 7589146
c	Number of variables: 1017648
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 1155.0 MB
[runlim] sample:		20.0 time, 20.1 real, 1156.0 MB
[runlim] sample:		30.0 time, 30.1 real, 1174.0 MB
[runlim] sample:		40.0 time, 40.1 real, 1156.5 MB
[runlim] sample:		50.0 time, 50.1 real, 1150.6 MB
[runlim] sample:		60.0 time, 60.1 real, 1200.5 MB
[runlim] sample:		70.0 time, 70.1 real, 1202.2 MB
[runlim] sample:		80.0 time, 80.1 real, 1202.3 MB
[runlim] sample:		90.0 time, 90.1 real, 1207.3 MB
[runlim] sample:		100.0 time, 100.1 real, 1221.8 MB
[runlim] sample:		110.0 time, 110.1 real, 1155.6 MB
[runlim] sample:		120.0 time, 120.1 real, 1195.0 MB
[runlim] sample:		130.0 time, 130.1 real, 1153.5 MB
[runlim] sample:		140.0 time, 140.1 real, 1188.9 MB
[runlim] sample:		150.0 time, 150.1 real, 1177.4 MB
[runlim] sample:		160.0 time, 160.1 real, 1190.0 MB
[runlim] sample:		170.0 time, 170.1 real, 1209.8 MB
[runlim] sample:		180.0 time, 180.1 real, 1210.7 MB
[runlim] sample:		190.0 time, 190.1 real, 1210.7 MB
[runlim] sample:		200.0 time, 200.1 real, 1166.1 MB
[runlim] sample:		210.0 time, 210.1 real, 1161.4 MB
[runlim] sample:		220.0 time, 220.1 real, 1208.3 MB
[runlim] sample:		230.0 time, 230.1 real, 1226.3 MB
[runlim] sample:		240.0 time, 240.1 real, 1228.3 MB
[runlim] sample:		250.0 time, 250.1 real, 1228.3 MB
[runlim] sample:		260.0 time, 260.1 real, 1456.3 MB
[runlim] sample:		270.0 time, 270.1 real, 1247.4 MB
[runlim] sample:		280.0 time, 280.1 real, 1223.7 MB
[runlim] sample:		290.0 time, 290.1 real, 1192.8 MB
[runlim] sample:		300.0 time, 300.1 real, 1192.8 MB
[runlim] sample:		310.0 time, 310.1 real, 1171.2 MB
[runlim] sample:		320.0 time, 320.1 real, 1175.1 MB
[runlim] sample:		330.0 time, 330.1 real, 1221.4 MB
[runlim] sample:		340.0 time, 340.1 real, 1221.5 MB
[runlim] sample:		350.0 time, 350.1 real, 1329.2 MB
[runlim] sample:		360.0 time, 360.1 real, 1329.2 MB
[runlim] sample:		370.0 time, 370.1 real, 1291.6 MB
[runlim] sample:		380.0 time, 380.1 real, 1218.9 MB
[runlim] sample:		390.0 time, 390.1 real, 1208.4 MB
[runlim] sample:		400.0 time, 400.1 real, 1208.4 MB
[runlim] sample:		410.0 time, 410.1 real, 1223.7 MB
[runlim] sample:		420.0 time, 420.1 real, 1217.3 MB
[runlim] sample:		430.0 time, 430.1 real, 1229.0 MB
[runlim] sample:		440.0 time, 440.1 real, 1252.9 MB
[runlim] sample:		450.0 time, 450.1 real, 1221.3 MB
[runlim] sample:		460.0 time, 460.1 real, 1221.3 MB
[runlim] sample:		470.0 time, 470.1 real, 1241.4 MB
[runlim] sample:		480.0 time, 480.1 real, 1449.4 MB
[runlim] sample:		490.0 time, 490.1 real, 1449.4 MB
[runlim] sample:		500.0 time, 500.1 real, 1496.6 MB
[runlim] sample:		510.0 time, 510.1 real, 1439.0 MB
[runlim] sample:		520.0 time, 520.1 real, 1485.2 MB
[runlim] sample:		530.0 time, 530.1 real, 1283.4 MB
[runlim] sample:		540.0 time, 540.1 real, 1317.4 MB
[runlim] sample:		550.0 time, 550.1 real, 1340.3 MB
[runlim] sample:		560.0 time, 560.1 real, 1347.1 MB
[runlim] sample:		570.0 time, 570.1 real, 1347.1 MB
[runlim] sample:		580.0 time, 580.1 real, 1466.2 MB
[runlim] sample:		590.0 time, 590.1 real, 1502.1 MB
[runlim] sample:		600.0 time, 600.1 real, 1502.1 MB
[runlim] sample:		610.0 time, 610.1 real, 1390.9 MB
[runlim] sample:		620.0 time, 620.1 real, 1396.8 MB
[runlim] sample:		630.0 time, 630.1 real, 1420.4 MB
[runlim] sample:		640.0 time, 640.1 real, 1420.4 MB
[runlim] sample:		650.0 time, 650.1 real, 1603.6 MB
[runlim] sample:		660.0 time, 660.1 real, 1561.6 MB
[runlim] sample:		670.0 time, 670.1 real, 1595.3 MB
[runlim] sample:		680.0 time, 680.1 real, 1383.7 MB
[runlim] sample:		690.0 time, 690.1 real, 1383.7 MB
[runlim] sample:		700.0 time, 700.1 real, 1827.4 MB
[runlim] sample:		710.0 time, 710.1 real, 1570.6 MB
[runlim] sample:		720.0 time, 720.1 real, 1626.6 MB
[runlim] sample:		730.0 time, 730.1 real, 1649.7 MB
[runlim] sample:		740.0 time, 740.1 real, 1339.7 MB
[runlim] sample:		750.0 time, 750.1 real, 1339.7 MB
[runlim] sample:		760.0 time, 760.1 real, 1339.7 MB
[runlim] sample:		770.0 time, 770.1 real, 1351.7 MB
[runlim] sample:		780.0 time, 780.1 real, 1702.2 MB
[runlim] sample:		790.0 time, 790.1 real, 1398.0 MB
[runlim] sample:		800.0 time, 800.1 real, 1419.4 MB
[runlim] sample:		810.0 time, 810.1 real, 1419.4 MB
[runlim] sample:		820.0 time, 820.1 real, 1419.4 MB
[runlim] sample:		829.9 time, 830.1 real, 1413.5 MB
[runlim] sample:		840.0 time, 840.1 real, 1413.0 MB
[runlim] sample:		850.0 time, 850.1 real, 1413.0 MB
[runlim] sample:		860.0 time, 860.1 real, 1413.0 MB
[runlim] sample:		869.9 time, 870.1 real, 1426.0 MB
[runlim] sample:		879.9 time, 880.1 real, 1426.2 MB
[runlim] sample:		889.9 time, 890.1 real, 1430.7 MB
[runlim] sample:		899.9 time, 900.1 real, 1543.4 MB
[runlim] sample:		909.9 time, 910.1 real, 1678.7 MB
[runlim] sample:		919.9 time, 920.1 real, 2265.1 MB
[runlim] sample:		929.9 time, 930.1 real, 2265.1 MB
[runlim] sample:		939.9 time, 940.1 real, 2265.1 MB
[runlim] sample:		949.9 time, 950.1 real, 2265.1 MB
[runlim] sample:		959.9 time, 960.1 real, 2311.4 MB
[runlim] sample:		969.9 time, 970.1 real, 2311.4 MB
[runlim] sample:		979.9 time, 980.1 real, 2311.9 MB
[runlim] sample:		989.9 time, 990.1 real, 2519.4 MB
[runlim] sample:		999.9 time, 1000.1 real, 2519.4 MB
[runlim] sample:		1009.9 time, 1010.1 real, 2334.4 MB
[runlim] sample:		1019.9 time, 1020.1 real, 2374.2 MB
[runlim] sample:		1029.9 time, 1030.1 real, 1725.0 MB
[runlim] sample:		1039.9 time, 1040.1 real, 1725.0 MB
[runlim] sample:		1049.9 time, 1050.1 real, 1621.2 MB
[runlim] sample:		1059.9 time, 1060.1 real, 1771.7 MB
[runlim] sample:		1069.9 time, 1070.1 real, 1771.7 MB
[runlim] sample:		1079.9 time, 1080.1 real, 1568.6 MB
[runlim] sample:		1089.9 time, 1090.1 real, 1528.7 MB
[runlim] sample:		1099.9 time, 1100.1 real, 1568.5 MB
[runlim] sample:		1109.9 time, 1110.1 real, 1586.0 MB
[runlim] sample:		1119.9 time, 1120.1 real, 1586.0 MB
[runlim] sample:		1129.9 time, 1130.1 real, 1630.8 MB
[runlim] sample:		1139.9 time, 1140.1 real, 1630.8 MB
[runlim] sample:		1149.9 time, 1150.1 real, 1780.9 MB
[runlim] sample:		1159.9 time, 1160.1 real, 1780.9 MB
[runlim] sample:		1169.9 time, 1170.1 real, 1780.9 MB
[runlim] sample:		1179.9 time, 1180.1 real, 1843.6 MB
[runlim] sample:		1189.9 time, 1190.1 real, 1843.6 MB
