[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_no_symbreak
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/P-can__445.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Mon Aug 19 18:08:39 2024
[runlim] main pid:		8223
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 78 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 120 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 78 ( P-can__445.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 445.
c Encoding starts with w = 78:
c	Labels and Vertices aux var: 36490
c	Labels and Vertices constraints:  456570
c	Obj k aux var: 330635
c	Obj k constraints: 3804809
c	Obj k glue staircase constraints: 2450674
c	Encoding duration: 1s
c	Number of clauses: 4261379
c	Number of irredundant clauses: 4261379
c	Number of variables: 565150
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.6 real, 835.8 MB
[runlim] sample:		20.0 time, 20.6 real, 810.9 MB
[runlim] sample:		30.0 time, 30.6 real, 681.4 MB
[runlim] sample:		40.0 time, 40.6 real, 691.8 MB
[runlim] sample:		50.0 time, 50.6 real, 721.8 MB
[runlim] sample:		60.0 time, 60.6 real, 708.1 MB
[runlim] sample:		70.0 time, 70.6 real, 736.9 MB
[runlim] sample:		80.0 time, 80.6 real, 795.5 MB
[runlim] sample:		90.0 time, 90.6 real, 845.8 MB
[runlim] sample:		100.0 time, 100.6 real, 773.4 MB
[runlim] sample:		110.0 time, 110.6 real, 811.9 MB
[runlim] sample:		120.0 time, 120.6 real, 863.4 MB
[runlim] sample:		130.0 time, 130.6 real, 768.2 MB
[runlim] sample:		140.0 time, 140.6 real, 758.9 MB
[runlim] sample:		150.0 time, 150.6 real, 874.2 MB
[runlim] sample:		160.0 time, 160.6 real, 769.9 MB
[runlim] sample:		170.0 time, 170.6 real, 742.8 MB
[runlim] sample:		180.0 time, 180.6 real, 844.9 MB
[runlim] sample:		190.0 time, 190.6 real, 832.9 MB
[runlim] sample:		200.0 time, 200.6 real, 861.8 MB
[runlim] sample:		210.0 time, 210.6 real, 765.8 MB
[runlim] sample:		220.0 time, 220.6 real, 757.8 MB
[runlim] sample:		230.0 time, 230.6 real, 769.9 MB
[runlim] sample:		240.0 time, 240.6 real, 960.1 MB
[runlim] sample:		250.0 time, 250.6 real, 960.1 MB
[runlim] sample:		260.0 time, 260.6 real, 801.4 MB
[runlim] sample:		270.0 time, 270.6 real, 821.0 MB
[runlim] sample:		280.0 time, 280.6 real, 821.0 MB
[runlim] sample:		290.0 time, 290.6 real, 918.5 MB
[runlim] sample:		300.0 time, 300.6 real, 918.5 MB
[runlim] sample:		310.0 time, 310.6 real, 994.9 MB
[runlim] sample:		320.0 time, 320.6 real, 948.3 MB
[runlim] sample:		330.0 time, 330.6 real, 877.7 MB
[runlim] sample:		340.0 time, 340.6 real, 892.9 MB
[runlim] sample:		350.0 time, 350.6 real, 1233.6 MB
[runlim] sample:		360.0 time, 360.6 real, 1233.6 MB
[runlim] sample:		370.0 time, 370.6 real, 1256.9 MB
[runlim] sample:		380.0 time, 380.6 real, 1257.1 MB
[runlim] sample:		390.0 time, 390.6 real, 1166.5 MB
[runlim] sample:		400.0 time, 400.6 real, 973.2 MB
[runlim] sample:		410.0 time, 410.6 real, 905.1 MB
[runlim] sample:		420.0 time, 420.6 real, 823.1 MB
[runlim] sample:		430.0 time, 430.6 real, 941.3 MB
[runlim] sample:		440.0 time, 440.6 real, 869.4 MB
[runlim] sample:		450.0 time, 450.6 real, 1036.7 MB
[runlim] sample:		460.0 time, 460.6 real, 1084.7 MB
[runlim] sample:		470.0 time, 470.6 real, 1035.9 MB
[runlim] sample:		480.0 time, 480.6 real, 924.6 MB
[runlim] sample:		490.0 time, 490.6 real, 924.6 MB
[runlim] sample:		500.0 time, 500.6 real, 971.8 MB
[runlim] sample:		510.0 time, 510.6 real, 1165.4 MB
[runlim] sample:		520.0 time, 520.6 real, 1047.5 MB
[runlim] sample:		530.0 time, 530.6 real, 1047.5 MB
[runlim] sample:		540.0 time, 540.6 real, 1047.4 MB
[runlim] sample:		550.0 time, 550.6 real, 1101.2 MB
[runlim] sample:		560.0 time, 560.6 real, 1053.2 MB
[runlim] sample:		570.0 time, 570.6 real, 1079.9 MB
[runlim] sample:		580.0 time, 580.6 real, 1074.9 MB
[runlim] sample:		590.0 time, 590.6 real, 1074.9 MB
[runlim] sample:		600.0 time, 600.6 real, 1161.7 MB
[runlim] sample:		610.0 time, 610.6 real, 1160.8 MB
[runlim] sample:		620.0 time, 620.6 real, 1108.3 MB
[runlim] sample:		630.0 time, 630.6 real, 1156.3 MB
[runlim] sample:		640.0 time, 640.6 real, 1108.3 MB
[runlim] sample:		650.0 time, 650.6 real, 940.9 MB
[runlim] sample:		660.0 time, 660.6 real, 940.9 MB
[runlim] sample:		670.0 time, 670.6 real, 940.9 MB
[runlim] sample:		679.9 time, 680.6 real, 1032.6 MB
[runlim] sample:		689.9 time, 690.6 real, 1032.6 MB
[runlim] sample:		699.9 time, 700.6 real, 1032.6 MB
[runlim] sample:		709.9 time, 710.6 real, 1062.8 MB
[runlim] sample:		719.9 time, 720.6 real, 1062.8 MB
[runlim] sample:		729.9 time, 730.6 real, 932.4 MB
[runlim] sample:		739.9 time, 740.6 real, 933.1 MB
[runlim] sample:		749.9 time, 750.6 real, 959.7 MB
[runlim] sample:		759.9 time, 760.6 real, 1141.9 MB
[runlim] sample:		769.9 time, 770.6 real, 965.6 MB
[runlim] sample:		779.9 time, 780.6 real, 965.6 MB
[runlim] sample:		789.9 time, 790.6 real, 968.3 MB
[runlim] sample:		799.9 time, 800.6 real, 1104.7 MB
[runlim] sample:		809.9 time, 810.6 real, 981.6 MB
[runlim] sample:		819.9 time, 820.6 real, 981.6 MB
[runlim] sample:		829.9 time, 830.6 real, 976.4 MB
[runlim] sample:		839.9 time, 840.6 real, 966.0 MB
[runlim] sample:		849.9 time, 850.6 real, 966.0 MB
[runlim] sample:		859.9 time, 860.6 real, 966.0 MB
[runlim] sample:		869.9 time, 870.6 real, 1165.2 MB
[runlim] sample:		879.9 time, 880.6 real, 1165.2 MB
[runlim] sample:		889.9 time, 890.6 real, 1165.2 MB
[runlim] sample:		899.9 time, 900.6 real, 1207.2 MB
[runlim] sample:		909.9 time, 910.6 real, 1355.3 MB
[runlim] sample:		919.9 time, 920.6 real, 1355.5 MB
[runlim] sample:		929.9 time, 930.6 real, 1377.9 MB
[runlim] sample:		939.9 time, 940.6 real, 1302.8 MB
[runlim] sample:		949.9 time, 950.6 real, 1122.3 MB
[runlim] sample:		959.9 time, 960.6 real, 1122.3 MB
[runlim] sample:		969.9 time, 970.6 real, 1075.9 MB
[runlim] sample:		979.9 time, 980.6 real, 1099.7 MB
[runlim] sample:		989.9 time, 990.6 real, 1183.7 MB
[runlim] sample:		999.9 time, 1000.6 real, 1183.7 MB
[runlim] sample:		1009.9 time, 1010.6 real, 1027.1 MB
[runlim] sample:		1019.9 time, 1020.6 real, 1033.7 MB
[runlim] sample:		1029.9 time, 1030.6 real, 1166.1 MB
[runlim] sample:		1039.9 time, 1040.6 real, 1166.1 MB
[runlim] sample:		1049.9 time, 1050.6 real, 1190.0 MB
[runlim] sample:		1059.8 time, 1060.6 real, 1549.8 MB
[runlim] sample:		1069.9 time, 1070.6 real, 1549.8 MB
[runlim] sample:		1079.8 time, 1080.6 real, 1299.2 MB
[runlim] sample:		1089.9 time, 1090.6 real, 1044.9 MB
[runlim] sample:		1099.8 time, 1100.6 real, 1020.7 MB
[runlim] sample:		1109.8 time, 1110.6 real, 994.7 MB
[runlim] sample:		1119.8 time, 1120.6 real, 994.7 MB
[runlim] sample:		1129.8 time, 1130.6 real, 994.7 MB
[runlim] sample:		1139.8 time, 1140.6 real, 994.7 MB
[runlim] sample:		1149.8 time, 1150.6 real, 1282.2 MB
[runlim] sample:		1159.8 time, 1160.6 real, 1282.2 MB
[runlim] sample:		1169.8 time, 1170.6 real, 1282.2 MB
[runlim] sample:		1179.8 time, 1180.6 real, 1162.4 MB
[runlim] sample:		1189.8 time, 1190.6 real, 1162.4 MB
[runlim] sample:		1199.8 time, 1200.6 real, 1162.4 MB
[runlim] sample:		1209.8 time, 1210.6 real, 1200.8 MB
[runlim] sample:		1219.8 time, 1220.6 real, 1200.8 MB
