[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/S-sherman4.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Thu Aug 15 23:09:20 2024
[runlim] main pid:		38654
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 256 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 272 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 256 ( S-sherman4.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 546.
c Encoding starts with w = 256:
c	Labels and Vertices aux var: 49140
c	Labels and Vertices constraints:  670488
c	Obj k aux var: 435162
c	Obj k constraints: 3314274
c	Obj k glue staircase constraints: 1552878
c	Encoding duration: 1s
c	Number of clauses: 3985035
c	Number of irredundant clauses: 3983404
c	Number of variables: 782418
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.4 real, 711.6 MB
[runlim] sample:		20.0 time, 20.4 real, 712.8 MB
[runlim] sample:		30.0 time, 30.5 real, 684.4 MB
[runlim] sample:		40.0 time, 40.4 real, 683.7 MB
[runlim] sample:		50.0 time, 50.5 real, 686.1 MB
[runlim] sample:		60.0 time, 60.4 real, 687.2 MB
[runlim] sample:		70.0 time, 70.4 real, 779.2 MB
[runlim] sample:		80.0 time, 80.4 real, 688.1 MB
[runlim] sample:		90.0 time, 90.4 real, 734.6 MB
[runlim] sample:		100.0 time, 100.4 real, 765.7 MB
[runlim] sample:		110.0 time, 110.4 real, 763.8 MB
[runlim] sample:		120.0 time, 120.4 real, 765.5 MB
[runlim] sample:		130.0 time, 130.4 real, 767.2 MB
[runlim] sample:		140.0 time, 140.4 real, 767.0 MB
[runlim] sample:		150.0 time, 150.4 real, 769.4 MB
[runlim] sample:		160.0 time, 160.4 real, 772.4 MB
[runlim] sample:		170.0 time, 170.4 real, 743.9 MB
[runlim] sample:		180.0 time, 180.4 real, 773.7 MB
[runlim] sample:		190.0 time, 190.4 real, 767.3 MB
[runlim] sample:		200.0 time, 200.4 real, 740.7 MB
[runlim] sample:		210.0 time, 210.5 real, 798.1 MB
[runlim] sample:		220.0 time, 220.4 real, 747.1 MB
[runlim] sample:		230.0 time, 230.4 real, 861.2 MB
[runlim] sample:		240.0 time, 240.4 real, 763.1 MB
[runlim] sample:		250.0 time, 250.4 real, 732.9 MB
[runlim] sample:		260.0 time, 260.4 real, 887.8 MB
[runlim] sample:		270.0 time, 270.4 real, 773.7 MB
[runlim] sample:		280.0 time, 280.4 real, 786.6 MB
[runlim] sample:		290.0 time, 290.4 real, 756.6 MB
[runlim] sample:		300.0 time, 300.4 real, 791.2 MB
[runlim] sample:		310.0 time, 310.4 real, 897.1 MB
[runlim] sample:		320.0 time, 320.4 real, 938.2 MB
[runlim] sample:		330.0 time, 330.4 real, 819.3 MB
[runlim] sample:		340.0 time, 340.4 real, 819.3 MB
[runlim] sample:		350.0 time, 350.4 real, 830.1 MB
[runlim] sample:		360.0 time, 360.4 real, 830.1 MB
[runlim] sample:		370.0 time, 370.4 real, 831.2 MB
[runlim] sample:		380.0 time, 380.5 real, 849.8 MB
[runlim] sample:		390.0 time, 390.5 real, 854.9 MB
[runlim] sample:		400.0 time, 400.4 real, 832.4 MB
[runlim] sample:		410.0 time, 410.4 real, 842.0 MB
[runlim] sample:		420.0 time, 420.4 real, 842.0 MB
[runlim] sample:		430.0 time, 430.4 real, 838.0 MB
[runlim] sample:		440.0 time, 440.4 real, 847.7 MB
[runlim] sample:		450.0 time, 450.5 real, 841.1 MB
[runlim] sample:		460.0 time, 460.4 real, 841.1 MB
[runlim] sample:		470.0 time, 470.4 real, 839.9 MB
[runlim] sample:		480.0 time, 480.4 real, 842.3 MB
[runlim] sample:		490.0 time, 490.4 real, 842.3 MB
[runlim] sample:		500.0 time, 500.4 real, 846.3 MB
[runlim] sample:		510.0 time, 510.4 real, 846.3 MB
[runlim] sample:		520.0 time, 520.4 real, 846.9 MB
[runlim] sample:		530.0 time, 530.4 real, 847.5 MB
[runlim] sample:		540.0 time, 540.4 real, 847.5 MB
[runlim] sample:		550.0 time, 550.4 real, 867.2 MB
[runlim] sample:		560.0 time, 560.4 real, 847.1 MB
[runlim] sample:		570.0 time, 570.4 real, 847.1 MB
[runlim] sample:		580.0 time, 580.4 real, 847.1 MB
[runlim] sample:		590.0 time, 590.4 real, 852.0 MB
[runlim] sample:		600.0 time, 600.5 real, 849.9 MB
[runlim] sample:		610.0 time, 610.5 real, 841.0 MB
[runlim] sample:		620.0 time, 620.4 real, 841.0 MB
[runlim] sample:		630.0 time, 630.4 real, 836.2 MB
[runlim] sample:		640.0 time, 640.4 real, 834.9 MB
[runlim] sample:		650.0 time, 650.4 real, 835.1 MB
[runlim] sample:		660.0 time, 660.4 real, 835.1 MB
[runlim] sample:		670.0 time, 670.4 real, 842.4 MB
[runlim] sample:		680.0 time, 680.4 real, 842.4 MB
[runlim] sample:		690.0 time, 690.4 real, 856.6 MB
[runlim] sample:		699.9 time, 700.4 real, 856.6 MB
[runlim] sample:		709.9 time, 710.4 real, 863.9 MB
[runlim] sample:		720.0 time, 720.4 real, 863.9 MB
[runlim] sample:		729.9 time, 730.4 real, 863.9 MB
[runlim] sample:		739.9 time, 740.4 real, 882.5 MB
[runlim] sample:		749.9 time, 750.5 real, 1011.9 MB
[runlim] sample:		759.9 time, 760.4 real, 877.9 MB
[runlim] sample:		769.9 time, 770.4 real, 877.9 MB
[runlim] sample:		779.9 time, 780.4 real, 864.5 MB
[runlim] sample:		789.9 time, 790.4 real, 864.5 MB
[runlim] sample:		799.9 time, 800.4 real, 844.2 MB
[runlim] sample:		809.9 time, 810.4 real, 844.2 MB
[runlim] sample:		819.9 time, 820.4 real, 861.4 MB
[runlim] sample:		829.9 time, 830.4 real, 861.4 MB
[runlim] sample:		839.9 time, 840.4 real, 863.7 MB
[runlim] sample:		849.9 time, 850.4 real, 863.7 MB
[runlim] sample:		859.9 time, 860.5 real, 863.7 MB
[runlim] sample:		869.9 time, 870.4 real, 1030.4 MB
[runlim] sample:		879.9 time, 880.4 real, 873.5 MB
[runlim] sample:		889.9 time, 890.4 real, 873.5 MB
[runlim] sample:		899.9 time, 900.4 real, 870.1 MB
[runlim] sample:		909.9 time, 910.4 real, 870.1 MB
[runlim] sample:		919.9 time, 920.4 real, 878.9 MB
[runlim] sample:		929.9 time, 930.4 real, 878.9 MB
[runlim] sample:		939.9 time, 940.5 real, 878.9 MB
[runlim] sample:		949.9 time, 950.5 real, 878.9 MB
[runlim] sample:		959.9 time, 960.4 real, 871.8 MB
[runlim] sample:		969.9 time, 970.4 real, 871.8 MB
[runlim] sample:		979.9 time, 980.4 real, 907.5 MB
[runlim] sample:		989.9 time, 990.4 real, 877.7 MB
[runlim] sample:		999.9 time, 1000.4 real, 877.7 MB
[runlim] sample:		1009.9 time, 1010.4 real, 877.7 MB
[runlim] sample:		1019.9 time, 1020.4 real, 873.2 MB
[runlim] sample:		1029.9 time, 1030.4 real, 873.2 MB
[runlim] sample:		1039.9 time, 1040.4 real, 873.2 MB
[runlim] sample:		1049.9 time, 1050.4 real, 873.8 MB
[runlim] sample:		1059.9 time, 1060.4 real, 855.0 MB
[runlim] sample:		1069.9 time, 1070.4 real, 855.0 MB
[runlim] sample:		1079.9 time, 1080.4 real, 853.6 MB
[runlim] sample:		1089.9 time, 1090.4 real, 853.6 MB
[runlim] sample:		1099.9 time, 1100.4 real, 853.6 MB
[runlim] sample:		1109.9 time, 1110.4 real, 857.6 MB
[runlim] sample:		1119.9 time, 1120.4 real, 857.6 MB
[runlim] sample:		1129.9 time, 1130.4 real, 871.5 MB
[runlim] sample:		1139.9 time, 1140.4 real, 871.5 MB
[runlim] sample:		1149.9 time, 1150.4 real, 871.5 MB
[runlim] sample:		1159.9 time, 1160.4 real, 871.5 MB
[runlim] sample:		1169.9 time, 1170.4 real, 863.9 MB
[runlim] sample:		1179.9 time, 1180.4 real, 925.1 MB
[runlim] sample:		1189.9 time, 1190.4 real, 868.9 MB
[runlim] sample:		1199.9 time, 1200.4 real, 868.9 MB
[runlim] sample:		1209.9 time, 1210.4 real, 889.0 MB
[runlim] sample:		1219.9 time, 1220.4 real, 889.0 MB
[runlim] sample:		1229.9 time, 1230.4 real, 889.0 MB
[runlim] sample:		1239.9 time, 1240.4 real, 889.4 MB
