[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/T-dwt__592.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Thu Aug 15 22:09:20 2024
[runlim] main pid:		33302
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 103 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 150 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 103 ( T-dwt__592.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 592.
c Encoding starts with w = 103:
c	Labels and Vertices aux var: 55648
c	Labels and Vertices constraints:  792096
c	Obj k aux var: 586080
c	Obj k constraints: 6787296
c	Obj k glue staircase constraints: 4387920
c	Encoding duration: 2s
c	Number of clauses: 7579688
c	Number of irredundant clauses: 7577816
c	Number of variables: 992192
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.0 real, 1128.2 MB
[runlim] sample:		20.0 time, 20.0 real, 1159.8 MB
[runlim] sample:		30.0 time, 30.0 real, 1336.4 MB
[runlim] sample:		40.0 time, 40.0 real, 1161.4 MB
[runlim] sample:		50.0 time, 50.0 real, 1189.7 MB
[runlim] sample:		60.0 time, 60.0 real, 1171.7 MB
[runlim] sample:		70.0 time, 70.0 real, 1189.7 MB
[runlim] sample:		80.0 time, 80.0 real, 1248.4 MB
[runlim] sample:		90.0 time, 90.0 real, 1536.6 MB
[runlim] sample:		100.0 time, 100.0 real, 1526.2 MB
[runlim] sample:		110.0 time, 110.0 real, 1196.9 MB
[runlim] sample:		120.0 time, 120.0 real, 1123.3 MB
[runlim] sample:		130.0 time, 130.0 real, 1154.9 MB
[runlim] sample:		140.0 time, 140.0 real, 1155.7 MB
[runlim] sample:		150.0 time, 150.0 real, 1155.9 MB
[runlim] sample:		160.0 time, 160.0 real, 1199.2 MB
[runlim] sample:		170.0 time, 170.0 real, 1199.2 MB
[runlim] sample:		180.0 time, 180.0 real, 1260.2 MB
[runlim] sample:		190.0 time, 190.0 real, 1248.0 MB
[runlim] sample:		200.0 time, 200.0 real, 1587.5 MB
[runlim] sample:		210.0 time, 210.0 real, 1268.6 MB
[runlim] sample:		220.0 time, 220.0 real, 1226.0 MB
[runlim] sample:		230.0 time, 230.0 real, 1226.0 MB
[runlim] sample:		240.0 time, 240.0 real, 1775.4 MB
[runlim] sample:		250.0 time, 250.0 real, 1450.7 MB
[runlim] sample:		260.0 time, 260.0 real, 1387.9 MB
[runlim] sample:		270.0 time, 270.0 real, 1491.5 MB
[runlim] sample:		280.0 time, 280.0 real, 1602.3 MB
[runlim] sample:		290.0 time, 290.0 real, 1598.7 MB
[runlim] sample:		300.0 time, 300.0 real, 1516.1 MB
[runlim] sample:		310.0 time, 310.0 real, 1516.1 MB
[runlim] sample:		320.0 time, 320.0 real, 1492.6 MB
[runlim] sample:		330.0 time, 330.0 real, 1415.1 MB
[runlim] sample:		340.0 time, 340.0 real, 1415.1 MB
[runlim] sample:		350.0 time, 350.0 real, 1334.1 MB
[runlim] sample:		360.0 time, 360.0 real, 1410.9 MB
[runlim] sample:		370.0 time, 370.0 real, 1432.3 MB
[runlim] sample:		380.0 time, 380.0 real, 1411.2 MB
[runlim] sample:		390.0 time, 390.0 real, 1411.2 MB
[runlim] sample:		400.0 time, 400.0 real, 1520.2 MB
[runlim] sample:		410.0 time, 410.0 real, 1520.2 MB
[runlim] sample:		420.0 time, 420.0 real, 1453.6 MB
[runlim] sample:		430.0 time, 430.0 real, 1304.7 MB
[runlim] sample:		440.0 time, 440.0 real, 1304.7 MB
[runlim] sample:		450.0 time, 450.0 real, 1304.7 MB
[runlim] sample:		460.0 time, 460.0 real, 1435.9 MB
[runlim] sample:		470.0 time, 470.0 real, 1336.3 MB
[runlim] sample:		480.0 time, 480.0 real, 1188.5 MB
[runlim] sample:		490.0 time, 490.0 real, 1212.3 MB
[runlim] sample:		500.0 time, 500.0 real, 1203.5 MB
[runlim] sample:		510.0 time, 510.0 real, 1203.5 MB
[runlim] sample:		520.0 time, 520.0 real, 1203.5 MB
[runlim] sample:		530.0 time, 530.0 real, 1405.9 MB
[runlim] sample:		540.0 time, 540.0 real, 1405.9 MB
[runlim] sample:		550.0 time, 550.0 real, 1328.2 MB
[runlim] sample:		560.0 time, 560.0 real, 1281.1 MB
[runlim] sample:		570.0 time, 570.0 real, 1281.1 MB
[runlim] sample:		580.0 time, 580.0 real, 1164.2 MB
[runlim] sample:		590.0 time, 590.0 real, 1164.2 MB
[runlim] sample:		600.0 time, 600.0 real, 1278.1 MB
[runlim] sample:		610.0 time, 610.0 real, 1325.6 MB
[runlim] sample:		620.0 time, 620.0 real, 1313.9 MB
[runlim] sample:		630.0 time, 630.0 real, 1173.3 MB
[runlim] sample:		640.0 time, 640.0 real, 1173.3 MB
[runlim] sample:		650.0 time, 650.0 real, 1169.3 MB
[runlim] sample:		660.0 time, 660.0 real, 1113.4 MB
[runlim] sample:		670.0 time, 670.0 real, 1206.8 MB
[runlim] sample:		680.0 time, 680.0 real, 1238.7 MB
[runlim] sample:		690.0 time, 690.0 real, 1435.1 MB
[runlim] sample:		700.0 time, 700.0 real, 1198.2 MB
[runlim] sample:		710.0 time, 710.0 real, 1209.4 MB
[runlim] sample:		720.0 time, 720.0 real, 1209.4 MB
[runlim] sample:		730.0 time, 730.0 real, 1213.5 MB
[runlim] sample:		740.0 time, 740.0 real, 1213.5 MB
[runlim] sample:		750.0 time, 750.0 real, 1214.1 MB
[runlim] sample:		760.0 time, 760.0 real, 1214.1 MB
[runlim] sample:		770.0 time, 770.0 real, 1222.1 MB
[runlim] sample:		780.0 time, 780.0 real, 1222.1 MB
[runlim] sample:		790.0 time, 790.0 real, 1232.1 MB
[runlim] sample:		800.0 time, 800.0 real, 1237.8 MB
[runlim] sample:		810.0 time, 810.0 real, 1230.0 MB
[runlim] sample:		820.0 time, 820.0 real, 1326.8 MB
[runlim] sample:		830.0 time, 830.0 real, 1456.0 MB
[runlim] sample:		840.0 time, 840.0 real, 1597.3 MB
[runlim] sample:		850.0 time, 850.0 real, 1741.1 MB
[runlim] sample:		860.0 time, 860.0 real, 1810.2 MB
[runlim] sample:		870.0 time, 870.0 real, 1810.2 MB
[runlim] sample:		880.0 time, 880.0 real, 1810.2 MB
[runlim] sample:		890.0 time, 890.0 real, 1810.2 MB
[runlim] sample:		900.0 time, 900.0 real, 1946.5 MB
[runlim] sample:		910.0 time, 910.0 real, 1949.1 MB
[runlim] sample:		920.0 time, 920.0 real, 1949.1 MB
[runlim] sample:		930.0 time, 930.0 real, 1949.1 MB
[runlim] sample:		940.0 time, 940.0 real, 1949.1 MB
[runlim] sample:		950.0 time, 950.0 real, 2000.9 MB
[runlim] sample:		960.0 time, 960.0 real, 2158.2 MB
[runlim] sample:		970.0 time, 970.0 real, 2322.6 MB
[runlim] sample:		979.9 time, 980.0 real, 2299.8 MB
[runlim] sample:		990.0 time, 990.0 real, 2517.8 MB
[runlim] sample:		1000.0 time, 1000.0 real, 2524.2 MB
[runlim] sample:		1010.0 time, 1010.0 real, 2524.2 MB
[runlim] sample:		1020.0 time, 1020.0 real, 2524.2 MB
[runlim] sample:		1030.0 time, 1030.0 real, 2524.2 MB
[runlim] sample:		1039.9 time, 1040.0 real, 2524.2 MB
[runlim] sample:		1049.9 time, 1050.0 real, 2524.2 MB
[runlim] sample:		1059.9 time, 1060.0 real, 2524.2 MB
[runlim] sample:		1069.9 time, 1070.0 real, 2428.2 MB
[runlim] sample:		1079.9 time, 1080.0 real, 2428.2 MB
[runlim] sample:		1089.9 time, 1090.0 real, 2428.2 MB
[runlim] sample:		1099.9 time, 1100.0 real, 2428.2 MB
[runlim] sample:		1109.9 time, 1110.0 real, 2428.2 MB
[runlim] sample:		1119.9 time, 1120.0 real, 2312.9 MB
[runlim] sample:		1129.9 time, 1130.0 real, 2312.9 MB
[runlim] sample:		1139.9 time, 1140.0 real, 2313.2 MB
[runlim] sample:		1149.9 time, 1150.0 real, 2313.2 MB
[runlim] sample:		1159.9 time, 1160.0 real, 2313.2 MB
[runlim] sample:		1169.9 time, 1170.0 real, 2266.0 MB
[runlim] sample:		1179.9 time, 1180.0 real, 2140.6 MB
[runlim] sample:		1189.9 time, 1190.0 real, 2140.6 MB
[runlim] sample:		1199.9 time, 1200.0 real, 1835.7 MB
[runlim] sample:		1209.9 time, 1210.0 real, 1862.1 MB
