[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak_first_node_hybrid_NSC_binomial
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/BenchmarkAdd/V-nos6.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] argv[3]:		-split-size
[runlim] argv[4]:		10
[runlim] start:			Mon Sep  9 03:41:27 2024
[runlim] main pid:		3584
[runlim] log captured:
c DuplexEncoder 0.8.
c Splitting clauses at length 10.
c Solving strategy: from LB to UB.
c LB-w = 326 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 337 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 326 ( V-nos6.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 675.
c Encoding starts with w = 326:
c	Labels and Vertices aux var: 67500
c	Labels and Vertices constraints:  1013175
c	Obj k aux var: 469125
c	Obj k constraints: 4099335
c	Obj k glue staircase constraints: 1798260
c	Encoding duration: 1s
c	Number of clauses: 5185072
c	Number of irredundant clauses: 5183001
c	Number of variables: 1064475
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.3 real, 899.9 MB
[runlim] sample:		20.0 time, 20.3 real, 885.9 MB
[runlim] sample:		30.0 time, 30.3 real, 889.7 MB
[runlim] sample:		40.0 time, 40.3 real, 890.3 MB
[runlim] sample:		50.0 time, 50.3 real, 893.3 MB
[runlim] sample:		60.0 time, 60.3 real, 852.3 MB
[runlim] sample:		70.0 time, 70.3 real, 921.0 MB
[runlim] sample:		80.0 time, 80.3 real, 920.6 MB
[runlim] sample:		90.0 time, 90.3 real, 920.6 MB
[runlim] sample:		100.0 time, 100.3 real, 921.7 MB
[runlim] sample:		110.0 time, 110.3 real, 945.4 MB
[runlim] sample:		120.0 time, 120.3 real, 911.6 MB
[runlim] sample:		130.0 time, 130.3 real, 913.8 MB
[runlim] sample:		140.0 time, 140.3 real, 879.3 MB
[runlim] sample:		150.0 time, 150.3 real, 927.0 MB
[runlim] sample:		160.0 time, 160.3 real, 929.4 MB
[runlim] sample:		170.0 time, 170.3 real, 935.1 MB
[runlim] sample:		180.0 time, 180.3 real, 887.4 MB
[runlim] sample:		190.0 time, 190.3 real, 869.5 MB
[runlim] sample:		200.0 time, 200.3 real, 1087.0 MB
[runlim] sample:		210.0 time, 210.3 real, 908.7 MB
[runlim] sample:		220.0 time, 220.3 real, 927.7 MB
[runlim] sample:		230.0 time, 230.3 real, 971.5 MB
[runlim] sample:		240.0 time, 240.3 real, 1118.3 MB
[runlim] sample:		250.0 time, 250.3 real, 930.3 MB
[runlim] sample:		259.9 time, 260.3 real, 930.4 MB
[runlim] sample:		269.9 time, 270.3 real, 934.8 MB
[runlim] sample:		279.9 time, 280.3 real, 928.4 MB
[runlim] sample:		289.9 time, 290.3 real, 928.8 MB
[runlim] sample:		299.9 time, 300.3 real, 974.3 MB
[runlim] sample:		309.9 time, 310.3 real, 1024.8 MB
[runlim] sample:		319.9 time, 320.3 real, 1112.4 MB
[runlim] sample:		329.9 time, 330.3 real, 1126.1 MB
[runlim] sample:		339.9 time, 340.3 real, 1124.0 MB
[runlim] sample:		349.9 time, 350.3 real, 1037.0 MB
[runlim] sample:		359.9 time, 360.3 real, 1039.0 MB
[runlim] sample:		369.9 time, 370.3 real, 1102.7 MB
[runlim] sample:		379.9 time, 380.3 real, 1106.4 MB
[runlim] sample:		389.9 time, 390.3 real, 1106.4 MB
[runlim] sample:		399.9 time, 400.3 real, 1150.2 MB
[runlim] sample:		409.9 time, 410.3 real, 1150.2 MB
[runlim] sample:		419.9 time, 420.3 real, 1150.2 MB
[runlim] sample:		429.9 time, 430.3 real, 1135.8 MB
[runlim] sample:		439.9 time, 440.3 real, 1138.9 MB
[runlim] sample:		449.9 time, 450.3 real, 1128.4 MB
[runlim] sample:		459.9 time, 460.3 real, 1131.2 MB
[runlim] sample:		469.9 time, 470.3 real, 1140.6 MB
[runlim] sample:		479.9 time, 480.3 real, 1140.6 MB
[runlim] sample:		489.9 time, 490.3 real, 1147.4 MB
[runlim] sample:		499.9 time, 500.3 real, 1147.4 MB
[runlim] sample:		509.9 time, 510.3 real, 1147.7 MB
[runlim] sample:		519.9 time, 520.3 real, 1148.4 MB
[runlim] sample:		529.9 time, 530.3 real, 1148.4 MB
[runlim] sample:		539.9 time, 540.3 real, 1141.9 MB
[runlim] sample:		549.9 time, 550.3 real, 1141.4 MB
[runlim] sample:		559.9 time, 560.3 real, 1101.5 MB
[runlim] sample:		569.9 time, 570.3 real, 1141.3 MB
[runlim] sample:		579.9 time, 580.3 real, 1141.8 MB
[runlim] sample:		589.9 time, 590.3 real, 1155.6 MB
[runlim] sample:		599.9 time, 600.3 real, 1155.6 MB
[runlim] sample:		609.9 time, 610.3 real, 1125.5 MB
[runlim] sample:		619.9 time, 620.3 real, 1165.7 MB
[runlim] sample:		629.9 time, 630.3 real, 1152.5 MB
[runlim] sample:		639.9 time, 640.3 real, 1153.0 MB
[runlim] sample:		649.9 time, 650.3 real, 1436.2 MB
[runlim] sample:		659.9 time, 660.3 real, 1231.8 MB
[runlim] sample:		669.9 time, 670.3 real, 1160.6 MB
[runlim] sample:		679.9 time, 680.3 real, 1184.6 MB
[runlim] sample:		689.9 time, 690.3 real, 1165.0 MB
[runlim] sample:		699.9 time, 700.3 real, 1133.0 MB
[runlim] sample:		709.9 time, 710.3 real, 1197.8 MB
[runlim] sample:		719.9 time, 720.3 real, 1164.5 MB
[runlim] sample:		729.9 time, 730.3 real, 1158.2 MB
[runlim] sample:		739.9 time, 740.3 real, 1176.7 MB
[runlim] sample:		749.9 time, 750.3 real, 1176.7 MB
[runlim] sample:		759.9 time, 760.3 real, 1207.6 MB
[runlim] sample:		769.9 time, 770.3 real, 1173.9 MB
[runlim] sample:		779.9 time, 780.3 real, 1186.7 MB
[runlim] sample:		789.9 time, 790.3 real, 1180.5 MB
[runlim] sample:		799.9 time, 800.3 real, 1203.8 MB
[runlim] sample:		809.9 time, 810.3 real, 1205.0 MB
[runlim] sample:		819.9 time, 820.3 real, 1238.8 MB
[runlim] sample:		829.9 time, 830.3 real, 1238.8 MB
[runlim] sample:		839.9 time, 840.3 real, 1245.7 MB
[runlim] sample:		849.9 time, 850.3 real, 1245.7 MB
[runlim] sample:		859.9 time, 860.3 real, 1237.0 MB
[runlim] sample:		869.9 time, 870.3 real, 1251.8 MB
[runlim] sample:		879.9 time, 880.3 real, 1206.3 MB
[runlim] sample:		889.9 time, 890.3 real, 1240.1 MB
[runlim] sample:		899.9 time, 900.3 real, 1240.1 MB
[runlim] sample:		909.9 time, 910.3 real, 1248.0 MB
[runlim] sample:		919.9 time, 920.3 real, 1248.0 MB
[runlim] sample:		929.9 time, 930.3 real, 1214.2 MB
[runlim] sample:		939.9 time, 940.3 real, 1384.5 MB
[runlim] sample:		949.9 time, 950.3 real, 1384.5 MB
[runlim] sample:		959.9 time, 960.3 real, 1418.3 MB
[runlim] sample:		969.9 time, 970.3 real, 1255.1 MB
[runlim] sample:		979.9 time, 980.3 real, 1158.6 MB
[runlim] sample:		989.9 time, 990.3 real, 1158.6 MB
[runlim] sample:		999.9 time, 1000.3 real, 1158.1 MB
[runlim] sample:		1009.9 time, 1010.3 real, 1188.1 MB
[runlim] sample:		1019.9 time, 1020.3 real, 1243.7 MB
[runlim] sample:		1029.9 time, 1030.3 real, 1210.2 MB
[runlim] sample:		1039.9 time, 1040.3 real, 1224.9 MB
[runlim] sample:		1049.9 time, 1050.3 real, 1224.9 MB
[runlim] sample:		1059.9 time, 1060.3 real, 1214.5 MB
[runlim] sample:		1069.9 time, 1070.3 real, 1214.5 MB
[runlim] sample:		1079.9 time, 1080.3 real, 1214.5 MB
[runlim] sample:		1089.9 time, 1090.3 real, 1216.2 MB
[runlim] sample:		1099.9 time, 1100.3 real, 1216.2 MB
[runlim] sample:		1109.9 time, 1110.3 real, 1205.7 MB
[runlim] sample:		1119.9 time, 1120.3 real, 1452.2 MB
[runlim] sample:		1129.9 time, 1130.3 real, 1164.5 MB
[runlim] sample:		1139.9 time, 1140.3 real, 1164.5 MB
[runlim] sample:		1149.9 time, 1150.3 real, 1174.8 MB
[runlim] sample:		1159.9 time, 1160.3 real, 1187.5 MB
[runlim] sample:		1169.9 time, 1170.3 real, 1187.5 MB
[runlim] sample:		1179.9 time, 1180.3 real, 1177.3 MB
[runlim] sample:		1189.9 time, 1190.3 real, 1177.3 MB
[runlim] sample:		1199.9 time, 1200.3 real, 1213.3 MB
