[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak_min_node
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/BenchmarksAdd/X-can__715.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Wed Aug 21 20:46:04 2024
[runlim] main pid:		2514
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 112 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 142 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 112 ( X-can__715.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 715.
c Encoding starts with w = 112:
c	Labels and Vertices aux var: 74360
c	Labels and Vertices constraints:  1147575
c	Obj k aux var: 899470
c	Obj k constraints: 10776975
c	Obj k glue staircase constraints: 7134050
c	Encoding duration: 3s
c	Number of clauses: 11924907
c	Number of irredundant clauses: 11922775
c	Number of variables: 1485055
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.5 real, 1637.6 MB
[runlim] sample:		20.0 time, 20.5 real, 1638.8 MB
[runlim] sample:		30.0 time, 30.5 real, 1676.7 MB
[runlim] sample:		40.0 time, 40.5 real, 1721.2 MB
[runlim] sample:		50.0 time, 50.5 real, 2083.4 MB
[runlim] sample:		60.0 time, 60.5 real, 1727.3 MB
[runlim] sample:		70.0 time, 70.5 real, 1720.6 MB
[runlim] sample:		80.0 time, 80.5 real, 1693.7 MB
[runlim] sample:		90.0 time, 90.5 real, 1726.1 MB
[runlim] sample:		100.0 time, 100.5 real, 1677.6 MB
[runlim] sample:		110.0 time, 110.5 real, 1974.9 MB
[runlim] sample:		120.0 time, 120.5 real, 1727.4 MB
[runlim] sample:		130.0 time, 130.5 real, 1657.9 MB
[runlim] sample:		139.9 time, 140.5 real, 1634.4 MB
[runlim] sample:		149.9 time, 150.5 real, 1635.6 MB
[runlim] sample:		159.9 time, 160.5 real, 1658.7 MB
[runlim] sample:		169.9 time, 170.5 real, 1658.7 MB
[runlim] sample:		179.9 time, 180.5 real, 1619.5 MB
[runlim] sample:		189.9 time, 190.5 real, 1731.7 MB
[runlim] sample:		199.9 time, 200.5 real, 1726.5 MB
[runlim] sample:		209.9 time, 210.5 real, 1660.0 MB
[runlim] sample:		219.9 time, 220.5 real, 1660.0 MB
[runlim] sample:		229.9 time, 230.5 real, 1615.7 MB
[runlim] sample:		239.9 time, 240.5 real, 1729.1 MB
[runlim] sample:		249.9 time, 250.5 real, 1659.8 MB
[runlim] sample:		259.9 time, 260.5 real, 1942.9 MB
[runlim] sample:		269.9 time, 270.5 real, 1614.6 MB
[runlim] sample:		279.9 time, 280.5 real, 1656.5 MB
[runlim] sample:		289.9 time, 290.5 real, 1735.8 MB
[runlim] sample:		299.9 time, 300.5 real, 1735.8 MB
[runlim] sample:		309.9 time, 310.5 real, 1754.4 MB
[runlim] sample:		319.9 time, 320.5 real, 1631.4 MB
[runlim] sample:		329.9 time, 330.5 real, 1650.0 MB
[runlim] sample:		339.9 time, 340.5 real, 1719.8 MB
[runlim] sample:		349.9 time, 350.5 real, 2009.2 MB
[runlim] sample:		359.9 time, 360.5 real, 1716.3 MB
[runlim] sample:		369.9 time, 370.5 real, 1732.9 MB
[runlim] sample:		379.9 time, 380.5 real, 1714.1 MB
[runlim] sample:		389.9 time, 390.5 real, 1786.3 MB
[runlim] sample:		399.9 time, 400.5 real, 1752.6 MB
[runlim] sample:		409.9 time, 410.5 real, 1742.0 MB
[runlim] sample:		419.9 time, 420.5 real, 1742.0 MB
[runlim] sample:		429.9 time, 430.5 real, 1744.1 MB
[runlim] sample:		439.9 time, 440.5 real, 1695.8 MB
[runlim] sample:		449.9 time, 450.5 real, 1626.0 MB
[runlim] sample:		459.9 time, 460.5 real, 1672.4 MB
[runlim] sample:		469.9 time, 470.5 real, 1793.9 MB
[runlim] sample:		479.9 time, 480.5 real, 1701.3 MB
[runlim] sample:		489.9 time, 490.5 real, 1701.3 MB
[runlim] sample:		499.8 time, 500.5 real, 1701.3 MB
[runlim] sample:		509.8 time, 510.5 real, 1725.9 MB
[runlim] sample:		519.8 time, 520.5 real, 1725.9 MB
[runlim] sample:		529.8 time, 530.5 real, 2132.2 MB
[runlim] sample:		539.8 time, 540.5 real, 2104.2 MB
[runlim] sample:		549.8 time, 550.5 real, 2146.1 MB
[runlim] sample:		559.8 time, 560.5 real, 2146.1 MB
[runlim] sample:		569.8 time, 570.5 real, 2146.1 MB
[runlim] sample:		579.8 time, 580.5 real, 2228.7 MB
[runlim] sample:		589.8 time, 590.5 real, 2345.8 MB
[runlim] sample:		599.8 time, 600.5 real, 2463.9 MB
[runlim] sample:		609.8 time, 610.5 real, 2575.7 MB
[runlim] sample:		619.8 time, 620.5 real, 2680.2 MB
[runlim] sample:		629.8 time, 630.5 real, 2786.4 MB
[runlim] sample:		639.8 time, 640.5 real, 2885.1 MB
[runlim] sample:		649.8 time, 650.5 real, 3468.2 MB
[runlim] sample:		659.8 time, 660.5 real, 3468.2 MB
[runlim] sample:		669.8 time, 670.5 real, 3468.2 MB
[runlim] sample:		679.8 time, 680.5 real, 3468.2 MB
[runlim] sample:		689.8 time, 690.5 real, 3468.5 MB
[runlim] sample:		699.8 time, 700.5 real, 3469.2 MB
[runlim] sample:		709.8 time, 710.5 real, 2898.6 MB
[runlim] sample:		719.8 time, 720.5 real, 2898.6 MB
[runlim] sample:		729.8 time, 730.5 real, 2902.0 MB
[runlim] sample:		739.8 time, 740.5 real, 2902.0 MB
[runlim] sample:		749.8 time, 750.5 real, 2149.2 MB
[runlim] sample:		759.8 time, 760.5 real, 2149.2 MB
[runlim] sample:		769.8 time, 770.5 real, 2107.0 MB
[runlim] sample:		779.8 time, 780.5 real, 2037.1 MB
[runlim] sample:		789.8 time, 790.5 real, 2053.3 MB
[runlim] sample:		799.8 time, 800.5 real, 2123.1 MB
[runlim] sample:		809.8 time, 810.5 real, 2123.7 MB
[runlim] sample:		819.8 time, 820.5 real, 2162.3 MB
[runlim] sample:		829.8 time, 830.5 real, 2162.3 MB
[runlim] sample:		839.8 time, 840.5 real, 2044.9 MB
[runlim] sample:		849.8 time, 850.5 real, 2058.5 MB
[runlim] sample:		859.8 time, 860.5 real, 2058.5 MB
[runlim] sample:		869.8 time, 870.5 real, 2105.9 MB
[runlim] sample:		879.8 time, 880.5 real, 2105.9 MB
[runlim] sample:		889.8 time, 890.5 real, 2172.5 MB
[runlim] sample:		899.8 time, 900.5 real, 2172.5 MB
[runlim] sample:		909.8 time, 910.5 real, 2172.5 MB
[runlim] sample:		919.8 time, 920.5 real, 2398.4 MB
[runlim] sample:		929.8 time, 930.5 real, 2055.1 MB
[runlim] sample:		939.8 time, 940.5 real, 2055.1 MB
[runlim] sample:		949.8 time, 950.5 real, 2232.3 MB
[runlim] sample:		959.8 time, 960.5 real, 2232.3 MB
[runlim] sample:		969.8 time, 970.5 real, 2232.2 MB
[runlim] sample:		979.8 time, 980.5 real, 2279.3 MB
[runlim] sample:		989.8 time, 990.5 real, 2302.9 MB
[runlim] sample:		999.8 time, 1000.5 real, 2302.9 MB
[runlim] sample:		1009.8 time, 1010.5 real, 2302.9 MB
[runlim] sample:		1019.8 time, 1020.5 real, 2608.4 MB
[runlim] sample:		1029.8 time, 1030.5 real, 2064.4 MB
[runlim] sample:		1039.8 time, 1040.5 real, 2064.4 MB
[runlim] sample:		1049.8 time, 1050.5 real, 2145.5 MB
[runlim] sample:		1059.8 time, 1060.5 real, 2139.6 MB
[runlim] sample:		1069.8 time, 1070.5 real, 2139.6 MB
[runlim] sample:		1079.8 time, 1080.5 real, 2072.5 MB
[runlim] sample:		1089.8 time, 1090.5 real, 2072.5 MB
[runlim] sample:		1099.8 time, 1100.5 real, 2072.5 MB
[runlim] sample:		1109.8 time, 1110.5 real, 2129.5 MB
[runlim] sample:		1119.8 time, 1120.5 real, 2118.6 MB
[runlim] sample:		1129.8 time, 1130.5 real, 2118.6 MB
[runlim] sample:		1139.8 time, 1140.5 real, 2436.5 MB
[runlim] sample:		1149.8 time, 1150.5 real, 2063.6 MB
[runlim] sample:		1159.8 time, 1160.5 real, 2063.6 MB
[runlim] sample:		1169.8 time, 1170.5 real, 2063.6 MB
[runlim] sample:		1179.8 time, 1180.5 real, 2063.6 MB
[runlim] sample:		1189.8 time, 1190.5 real, 2063.6 MB
[runlim] sample:		1199.8 time, 1200.5 real, 2063.6 MB
