[runlim] version:		1.10
[runlim] time limit:		900 seconds
[runlim] real time limit:	900 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/P-can__445.mtx.rnd
[runlim] argv[2]:		--duplex
[runlim] start:			Wed Aug 14 03:38:03 2024
[runlim] main pid:		3302
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 78 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 120 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 78 ( P-can__445.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Duplex encoder with n = 445.
c Encoding starts with w = 78:
c	Labels and Vertices aux var: 36490
c	Labels and Vertices constraints:  456570
c	Obj k aux var: 664830
c	Obj k constraints: 4604821
c	Obj k glue staircase constraints: 2452356
c	Encoding duration: 1s
c	Number of clauses: 5061613
c	Number of irredundant clauses: 4726662
c	Number of variables: 899345
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.7 real, 787.2 MB
[runlim] sample:		20.0 time, 20.7 real, 807.0 MB
[runlim] sample:		30.0 time, 30.7 real, 819.1 MB
[runlim] sample:		40.0 time, 40.7 real, 826.1 MB
[runlim] sample:		50.0 time, 50.7 real, 830.2 MB
[runlim] sample:		60.0 time, 60.7 real, 822.3 MB
[runlim] sample:		70.0 time, 70.7 real, 859.7 MB
[runlim] sample:		80.0 time, 80.7 real, 808.2 MB
[runlim] sample:		90.0 time, 90.7 real, 835.2 MB
[runlim] sample:		100.0 time, 100.7 real, 829.4 MB
[runlim] sample:		110.0 time, 110.7 real, 870.2 MB
[runlim] sample:		120.0 time, 120.7 real, 933.8 MB
[runlim] sample:		130.0 time, 130.7 real, 854.6 MB
[runlim] sample:		140.0 time, 140.7 real, 843.9 MB
[runlim] sample:		150.0 time, 150.7 real, 822.7 MB
[runlim] sample:		160.0 time, 160.7 real, 939.5 MB
[runlim] sample:		170.0 time, 170.7 real, 897.5 MB
[runlim] sample:		180.0 time, 180.7 real, 1050.6 MB
[runlim] sample:		190.0 time, 190.7 real, 870.5 MB
[runlim] sample:		199.9 time, 200.7 real, 916.4 MB
[runlim] sample:		209.9 time, 210.7 real, 864.6 MB
[runlim] sample:		219.9 time, 220.7 real, 889.0 MB
[runlim] sample:		229.9 time, 230.7 real, 949.9 MB
[runlim] sample:		239.9 time, 240.7 real, 945.8 MB
[runlim] sample:		249.9 time, 250.7 real, 946.1 MB
[runlim] sample:		259.9 time, 260.7 real, 1089.4 MB
[runlim] sample:		269.9 time, 270.7 real, 1131.2 MB
[runlim] sample:		279.9 time, 280.7 real, 1101.6 MB
[runlim] sample:		289.9 time, 290.7 real, 988.3 MB
[runlim] sample:		299.9 time, 300.7 real, 830.3 MB
[runlim] sample:		309.9 time, 310.7 real, 858.3 MB
[runlim] sample:		319.9 time, 320.7 real, 1054.5 MB
[runlim] sample:		329.9 time, 330.7 real, 1054.5 MB
[runlim] sample:		339.9 time, 340.7 real, 1175.6 MB
[runlim] sample:		349.9 time, 350.7 real, 1407.8 MB
[runlim] sample:		359.9 time, 360.7 real, 1329.2 MB
[runlim] sample:		369.9 time, 370.7 real, 915.0 MB
[runlim] sample:		379.9 time, 380.7 real, 881.8 MB
[runlim] sample:		389.9 time, 390.7 real, 902.8 MB
[runlim] sample:		399.9 time, 400.7 real, 840.4 MB
[runlim] sample:		409.9 time, 410.7 real, 1085.6 MB
[runlim] sample:		419.9 time, 420.7 real, 964.2 MB
[runlim] sample:		429.9 time, 430.7 real, 924.8 MB
[runlim] sample:		439.9 time, 440.7 real, 930.5 MB
[runlim] sample:		449.9 time, 450.7 real, 899.8 MB
[runlim] sample:		459.9 time, 460.7 real, 942.0 MB
[runlim] sample:		469.9 time, 470.7 real, 942.0 MB
[runlim] sample:		479.9 time, 480.7 real, 942.0 MB
[runlim] sample:		489.9 time, 490.7 real, 942.0 MB
[runlim] sample:		499.9 time, 500.7 real, 1307.6 MB
[runlim] sample:		509.9 time, 510.7 real, 1130.2 MB
[runlim] sample:		519.9 time, 520.7 real, 917.8 MB
[runlim] sample:		529.9 time, 530.7 real, 885.8 MB
[runlim] sample:		539.9 time, 540.7 real, 921.7 MB
[runlim] sample:		549.9 time, 550.7 real, 925.6 MB
[runlim] sample:		559.9 time, 560.7 real, 937.2 MB
[runlim] sample:		569.9 time, 570.7 real, 961.0 MB
[runlim] sample:		579.9 time, 580.7 real, 874.8 MB
[runlim] sample:		589.9 time, 590.7 real, 874.8 MB
[runlim] sample:		599.9 time, 600.7 real, 951.5 MB
[runlim] sample:		609.9 time, 610.7 real, 1120.9 MB
[runlim] sample:		619.9 time, 620.7 real, 1309.6 MB
[runlim] sample:		629.9 time, 630.7 real, 1951.0 MB
[runlim] sample:		639.9 time, 640.7 real, 1382.6 MB
[runlim] sample:		649.9 time, 650.7 real, 1331.0 MB
[runlim] sample:		659.9 time, 660.7 real, 1348.6 MB
[runlim] sample:		669.9 time, 670.7 real, 1368.9 MB
[runlim] sample:		679.9 time, 680.7 real, 1578.1 MB
[runlim] sample:		689.9 time, 690.7 real, 1437.0 MB
[runlim] sample:		699.9 time, 700.7 real, 1437.0 MB
[runlim] sample:		709.9 time, 710.7 real, 1437.0 MB
[runlim] sample:		719.9 time, 720.7 real, 1437.0 MB
[runlim] sample:		729.9 time, 730.7 real, 1843.5 MB
[runlim] sample:		739.9 time, 740.7 real, 1795.6 MB
[runlim] sample:		749.9 time, 750.7 real, 1449.7 MB
[runlim] sample:		759.9 time, 760.7 real, 1421.6 MB
[runlim] sample:		769.9 time, 770.7 real, 1421.6 MB
[runlim] sample:		779.9 time, 780.7 real, 1492.2 MB
[runlim] sample:		789.9 time, 790.7 real, 1241.6 MB
[runlim] sample:		799.9 time, 800.7 real, 1241.6 MB
[runlim] sample:		809.9 time, 810.7 real, 1567.1 MB
[runlim] sample:		819.9 time, 820.7 real, 1586.9 MB
[runlim] sample:		829.9 time, 830.7 real, 1684.2 MB
[runlim] sample:		839.9 time, 840.7 real, 1505.6 MB
[runlim] sample:		849.9 time, 850.7 real, 1505.6 MB
[runlim] sample:		859.9 time, 860.7 real, 1449.2 MB
[runlim] sample:		869.9 time, 870.7 real, 1449.2 MB
[runlim] sample:		879.9 time, 880.7 real, 1449.2 MB
[runlim] sample:		889.9 time, 890.7 real, 1473.0 MB
c Signal interruption.
[runlim] end:			Wed Aug 14 03:53:03 2024
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			900.15 seconds
[runlim] time:			899.26 seconds
[runlim] space:			2109.1 MB
[runlim] samples:		8994
