[runlim] version:		1.10
[runlim] time limit:		900 seconds
[runlim] real time limit:	900 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/T-dwt__592.mtx.rnd
[runlim] argv[2]:		--duplex
[runlim] start:			Wed Aug 14 04:38:21 2024
[runlim] main pid:		3899
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 103 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 150 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 103 ( T-dwt__592.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Duplex encoder with n = 592.
c Encoding starts with w = 103:
c	Labels and Vertices aux var: 55648
c	Labels and Vertices constraints:  792096
c	Obj k aux var: 1176896
c	Obj k constraints: 8201472
c	Obj k glue staircase constraints: 4390176
c	Encoding duration: 3s
c	Number of clauses: 8993864
c	Number of irredundant clauses: 8404691
c	Number of variables: 1583008
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.1 real, 1451.8 MB
[runlim] sample:		20.0 time, 20.1 real, 1475.1 MB
[runlim] sample:		30.0 time, 30.1 real, 1430.4 MB
[runlim] sample:		40.0 time, 40.1 real, 1651.7 MB
[runlim] sample:		50.0 time, 50.1 real, 1464.3 MB
[runlim] sample:		60.0 time, 60.1 real, 1483.5 MB
[runlim] sample:		70.0 time, 70.1 real, 1438.7 MB
[runlim] sample:		80.0 time, 80.1 real, 1499.8 MB
[runlim] sample:		90.0 time, 90.1 real, 1476.5 MB
[runlim] sample:		100.0 time, 100.1 real, 1529.5 MB
[runlim] sample:		110.0 time, 110.1 real, 1495.7 MB
[runlim] sample:		120.0 time, 120.1 real, 1517.0 MB
[runlim] sample:		130.0 time, 130.1 real, 1516.9 MB
[runlim] sample:		140.0 time, 140.1 real, 1546.4 MB
[runlim] sample:		150.0 time, 150.1 real, 1546.4 MB
[runlim] sample:		160.0 time, 160.1 real, 1493.1 MB
[runlim] sample:		170.0 time, 170.1 real, 1491.5 MB
[runlim] sample:		180.0 time, 180.1 real, 1677.3 MB
[runlim] sample:		190.0 time, 190.1 real, 1444.3 MB
[runlim] sample:		200.0 time, 200.1 real, 1482.5 MB
[runlim] sample:		210.0 time, 210.1 real, 1482.5 MB
[runlim] sample:		220.0 time, 220.1 real, 1489.4 MB
[runlim] sample:		230.0 time, 230.1 real, 1490.5 MB
[runlim] sample:		240.0 time, 240.1 real, 1501.5 MB
[runlim] sample:		250.0 time, 250.1 real, 1464.2 MB
[runlim] sample:		260.0 time, 260.1 real, 1464.2 MB
[runlim] sample:		270.0 time, 270.1 real, 1463.6 MB
[runlim] sample:		280.0 time, 280.1 real, 1501.0 MB
[runlim] sample:		290.0 time, 290.1 real, 1686.9 MB
[runlim] sample:		300.0 time, 300.1 real, 1493.0 MB
[runlim] sample:		310.0 time, 310.1 real, 1493.0 MB
[runlim] sample:		320.0 time, 320.1 real, 1493.0 MB
[runlim] sample:		330.0 time, 330.1 real, 1521.7 MB
[runlim] sample:		340.0 time, 340.1 real, 1493.6 MB
[runlim] sample:		350.0 time, 350.1 real, 1493.6 MB
[runlim] sample:		360.0 time, 360.1 real, 1491.3 MB
[runlim] sample:		370.0 time, 370.1 real, 1491.3 MB
[runlim] sample:		380.0 time, 380.1 real, 1491.3 MB
[runlim] sample:		390.0 time, 390.1 real, 1632.4 MB
[runlim] sample:		400.0 time, 400.1 real, 1623.6 MB
[runlim] sample:		410.0 time, 410.1 real, 1625.0 MB
[runlim] sample:		420.0 time, 420.1 real, 1598.8 MB
[runlim] sample:		430.0 time, 430.1 real, 1598.8 MB
[runlim] sample:		440.0 time, 440.1 real, 1871.4 MB
[runlim] sample:		450.0 time, 450.1 real, 1713.0 MB
[runlim] sample:		460.0 time, 460.1 real, 1713.0 MB
[runlim] sample:		470.0 time, 470.1 real, 2295.5 MB
[runlim] sample:		480.0 time, 480.1 real, 1852.1 MB
[runlim] sample:		490.0 time, 490.1 real, 1899.4 MB
[runlim] sample:		500.0 time, 500.1 real, 1903.6 MB
[runlim] sample:		509.9 time, 510.1 real, 1499.6 MB
[runlim] sample:		520.0 time, 520.1 real, 1477.4 MB
[runlim] sample:		530.0 time, 530.1 real, 1736.7 MB
[runlim] sample:		540.0 time, 540.1 real, 1530.1 MB
[runlim] sample:		549.9 time, 550.1 real, 1515.6 MB
[runlim] sample:		559.9 time, 560.1 real, 1501.6 MB
[runlim] sample:		569.9 time, 570.1 real, 1501.6 MB
[runlim] sample:		579.9 time, 580.1 real, 1479.5 MB
[runlim] sample:		589.9 time, 590.1 real, 1497.7 MB
[runlim] sample:		599.9 time, 600.1 real, 1497.7 MB
[runlim] sample:		609.9 time, 610.1 real, 1497.7 MB
[runlim] sample:		619.9 time, 620.1 real, 1534.4 MB
[runlim] sample:		629.9 time, 630.1 real, 1534.4 MB
[runlim] sample:		639.9 time, 640.1 real, 1547.6 MB
[runlim] sample:		649.9 time, 650.1 real, 1751.8 MB
[runlim] sample:		659.9 time, 660.1 real, 1751.8 MB
[runlim] sample:		669.9 time, 670.1 real, 1751.8 MB
[runlim] sample:		679.9 time, 680.1 real, 1752.5 MB
[runlim] sample:		689.9 time, 690.1 real, 2226.9 MB
[runlim] sample:		699.9 time, 700.1 real, 1791.7 MB
[runlim] sample:		709.9 time, 710.1 real, 1507.9 MB
[runlim] sample:		719.9 time, 720.1 real, 1471.9 MB
[runlim] sample:		729.9 time, 730.1 real, 1483.6 MB
[runlim] sample:		739.9 time, 740.1 real, 1530.6 MB
[runlim] sample:		749.9 time, 750.1 real, 1530.6 MB
[runlim] sample:		759.9 time, 760.1 real, 1478.4 MB
[runlim] sample:		769.9 time, 770.1 real, 1478.4 MB
[runlim] sample:		779.9 time, 780.1 real, 1490.6 MB
[runlim] sample:		789.9 time, 790.1 real, 1490.6 MB
[runlim] sample:		799.9 time, 800.1 real, 1432.0 MB
[runlim] sample:		809.9 time, 810.1 real, 1513.8 MB
[runlim] sample:		819.9 time, 820.1 real, 1735.6 MB
[runlim] sample:		829.9 time, 830.1 real, 1471.4 MB
[runlim] sample:		839.9 time, 840.1 real, 1470.4 MB
[runlim] sample:		849.9 time, 850.1 real, 1516.8 MB
[runlim] sample:		859.9 time, 860.1 real, 1540.7 MB
[runlim] sample:		869.9 time, 870.1 real, 1762.7 MB
[runlim] sample:		879.9 time, 880.1 real, 1563.1 MB
[runlim] sample:		889.9 time, 890.1 real, 1596.1 MB
[runlim] sample:		899.9 time, 900.1 real, 1596.1 MB
c Signal interruption.
[runlim] end:			Wed Aug 14 04:53:21 2024
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			900.10 seconds
[runlim] time:			899.89 seconds
[runlim] space:			2355.2 MB
[runlim] samples:		9000
