[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_hybrid_NSC_binomial
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/Q-494_bus.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Mon Aug 26 10:55:29 2024
[runlim] main pid:		6385
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 219 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 246 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 219 ( Q-494_bus.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 494.
c Encoding starts with w = 219:
c	Labels and Vertices aux var: 42484
c	Labels and Vertices constraints:  552292
c	Obj k aux var: 270218
c	Obj k constraints: 1913008
c	Obj k glue staircase constraints: 643428
c	Encoding duration: 0s
c	Number of clauses: 2465547
c	Number of irredundant clauses: 2464042
c	Number of variables: 556738
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.2 real, 461.1 MB
[runlim] sample:		20.0 time, 20.2 real, 462.0 MB
[runlim] sample:		30.0 time, 30.2 real, 469.3 MB
[runlim] sample:		40.0 time, 40.2 real, 461.7 MB
[runlim] sample:		50.0 time, 50.2 real, 474.2 MB
[runlim] sample:		60.0 time, 60.2 real, 470.0 MB
[runlim] sample:		70.0 time, 70.2 real, 497.1 MB
[runlim] sample:		80.0 time, 80.2 real, 496.0 MB
[runlim] sample:		90.0 time, 90.2 real, 478.0 MB
[runlim] sample:		100.0 time, 100.2 real, 492.5 MB
[runlim] sample:		110.0 time, 110.2 real, 474.3 MB
[runlim] sample:		120.0 time, 120.2 real, 506.1 MB
[runlim] sample:		129.9 time, 130.2 real, 516.7 MB
[runlim] sample:		139.9 time, 140.2 real, 483.1 MB
[runlim] sample:		149.9 time, 150.2 real, 502.0 MB
[runlim] sample:		159.9 time, 160.2 real, 491.5 MB
[runlim] sample:		169.9 time, 170.2 real, 452.9 MB
[runlim] sample:		179.9 time, 180.2 real, 622.7 MB
[runlim] sample:		189.9 time, 190.2 real, 529.6 MB
[runlim] sample:		199.9 time, 200.2 real, 506.4 MB
[runlim] sample:		209.9 time, 210.2 real, 553.4 MB
[runlim] sample:		219.9 time, 220.2 real, 552.7 MB
[runlim] sample:		229.9 time, 230.2 real, 552.7 MB
[runlim] sample:		239.9 time, 240.2 real, 513.0 MB
[runlim] sample:		249.9 time, 250.2 real, 544.7 MB
[runlim] sample:		259.9 time, 260.2 real, 585.5 MB
[runlim] sample:		269.9 time, 270.2 real, 593.7 MB
[runlim] sample:		279.9 time, 280.2 real, 593.7 MB
[runlim] sample:		289.9 time, 290.2 real, 640.8 MB
[runlim] sample:		299.9 time, 300.2 real, 550.3 MB
[runlim] sample:		309.9 time, 310.2 real, 582.7 MB
[runlim] sample:		319.9 time, 320.2 real, 575.5 MB
[runlim] sample:		329.9 time, 330.2 real, 565.7 MB
[runlim] sample:		339.9 time, 340.2 real, 689.4 MB
[runlim] sample:		349.9 time, 350.2 real, 576.1 MB
[runlim] sample:		359.9 time, 360.2 real, 576.1 MB
[runlim] sample:		369.9 time, 370.2 real, 571.4 MB
[runlim] sample:		379.9 time, 380.2 real, 573.4 MB
[runlim] sample:		389.9 time, 390.2 real, 605.4 MB
[runlim] sample:		399.9 time, 400.2 real, 596.3 MB
[runlim] sample:		409.9 time, 410.2 real, 537.3 MB
[runlim] sample:		419.9 time, 420.2 real, 560.1 MB
[runlim] sample:		429.9 time, 430.2 real, 569.9 MB
[runlim] sample:		439.9 time, 440.2 real, 586.6 MB
[runlim] sample:		449.9 time, 450.2 real, 576.5 MB
[runlim] sample:		459.9 time, 460.2 real, 589.8 MB
[runlim] sample:		469.9 time, 470.2 real, 596.8 MB
[runlim] sample:		479.9 time, 480.2 real, 595.4 MB
[runlim] sample:		489.9 time, 490.2 real, 634.4 MB
[runlim] sample:		499.9 time, 500.2 real, 634.4 MB
[runlim] sample:		509.9 time, 510.2 real, 676.9 MB
[runlim] sample:		519.9 time, 520.2 real, 585.7 MB
[runlim] sample:		529.9 time, 530.2 real, 583.8 MB
[runlim] sample:		539.9 time, 540.2 real, 583.8 MB
[runlim] sample:		549.9 time, 550.2 real, 658.2 MB
[runlim] sample:		559.9 time, 560.2 real, 658.2 MB
[runlim] sample:		569.9 time, 570.2 real, 646.0 MB
[runlim] sample:		579.9 time, 580.2 real, 638.1 MB
[runlim] sample:		589.9 time, 590.2 real, 607.6 MB
[runlim] sample:		599.9 time, 600.2 real, 563.8 MB
[runlim] sample:		609.9 time, 610.2 real, 571.8 MB
[runlim] sample:		619.9 time, 620.2 real, 595.0 MB
[runlim] sample:		629.9 time, 630.2 real, 588.7 MB
[runlim] sample:		639.9 time, 640.2 real, 561.1 MB
[runlim] sample:		649.9 time, 650.2 real, 563.1 MB
[runlim] sample:		659.9 time, 660.2 real, 591.0 MB
[runlim] sample:		669.9 time, 670.2 real, 609.2 MB
[runlim] sample:		679.9 time, 680.2 real, 611.2 MB
[runlim] sample:		689.9 time, 690.2 real, 604.7 MB
[runlim] sample:		699.9 time, 700.2 real, 604.7 MB
[runlim] sample:		709.9 time, 710.2 real, 611.9 MB
[runlim] sample:		719.9 time, 720.2 real, 611.9 MB
[runlim] sample:		729.9 time, 730.2 real, 657.3 MB
[runlim] sample:		739.9 time, 740.2 real, 657.3 MB
[runlim] sample:		749.9 time, 750.2 real, 703.6 MB
[runlim] sample:		759.9 time, 760.2 real, 838.2 MB
[runlim] sample:		769.9 time, 770.2 real, 838.2 MB
[runlim] sample:		779.9 time, 780.2 real, 723.9 MB
[runlim] sample:		789.9 time, 790.2 real, 731.5 MB
[runlim] sample:		799.9 time, 800.2 real, 721.2 MB
[runlim] sample:		809.9 time, 810.2 real, 721.2 MB
[runlim] sample:		819.9 time, 820.2 real, 739.4 MB
[runlim] sample:		829.9 time, 830.2 real, 752.0 MB
[runlim] sample:		839.9 time, 840.2 real, 739.1 MB
[runlim] sample:		849.9 time, 850.2 real, 697.3 MB
[runlim] sample:		859.9 time, 860.2 real, 614.4 MB
[runlim] sample:		869.9 time, 870.2 real, 614.4 MB
[runlim] sample:		879.9 time, 880.2 real, 601.8 MB
[runlim] sample:		889.9 time, 890.2 real, 603.8 MB
[runlim] sample:		899.9 time, 900.2 real, 597.0 MB
[runlim] sample:		909.9 time, 910.2 real, 597.0 MB
[runlim] sample:		919.9 time, 920.2 real, 651.1 MB
[runlim] sample:		929.9 time, 930.2 real, 651.1 MB
[runlim] sample:		939.9 time, 940.2 real, 609.5 MB
[runlim] sample:		949.9 time, 950.2 real, 609.5 MB
[runlim] sample:		959.9 time, 960.2 real, 609.5 MB
[runlim] sample:		969.9 time, 970.2 real, 646.5 MB
[runlim] sample:		979.9 time, 980.2 real, 646.5 MB
[runlim] sample:		989.9 time, 990.2 real, 726.6 MB
[runlim] sample:		999.9 time, 1000.2 real, 726.6 MB
[runlim] sample:		1009.9 time, 1010.2 real, 700.2 MB
[runlim] sample:		1019.9 time, 1020.2 real, 663.8 MB
[runlim] sample:		1029.9 time, 1030.2 real, 631.7 MB
[runlim] sample:		1039.9 time, 1040.2 real, 631.7 MB
[runlim] sample:		1049.9 time, 1050.2 real, 617.4 MB
[runlim] sample:		1059.9 time, 1060.2 real, 617.4 MB
[runlim] sample:		1069.9 time, 1070.2 real, 650.4 MB
[runlim] sample:		1079.9 time, 1080.2 real, 594.3 MB
[runlim] sample:		1089.9 time, 1090.2 real, 594.3 MB
[runlim] sample:		1099.9 time, 1100.2 real, 661.5 MB
[runlim] sample:		1109.9 time, 1110.2 real, 663.5 MB
[runlim] sample:		1119.9 time, 1120.2 real, 809.0 MB
[runlim] sample:		1129.9 time, 1130.2 real, 638.0 MB
[runlim] sample:		1139.9 time, 1140.2 real, 638.0 MB
[runlim] sample:		1149.9 time, 1150.2 real, 727.0 MB
[runlim] sample:		1159.9 time, 1160.2 real, 727.0 MB
[runlim] sample:		1169.9 time, 1170.2 real, 752.9 MB
[runlim] sample:		1179.9 time, 1180.2 real, 793.7 MB
[runlim] sample:		1189.9 time, 1190.2 real, 767.8 MB
[runlim] sample:		1199.9 time, 1200.2 real, 687.1 MB
[runlim] sample:		1209.9 time, 1210.2 real, 687.1 MB
[runlim] sample:		1219.9 time, 1220.2 real, 741.9 MB
[runlim] sample:		1229.9 time, 1230.2 real, 692.1 MB
[runlim] sample:		1239.9 time, 1240.2 real, 692.1 MB
