[runlim] version:		1.10
[runlim] time limit:		3600 seconds
[runlim] real time limit:	3600 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc_symbreak_min_node
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/BenchmarksAdd/S-sherman4.mtx.rnd
[runlim] argv[2]:		--duplexNSC
[runlim] start:			Wed Aug 21 22:46:04 2024
[runlim] main pid:		3464
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 256 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 272 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 256 ( S-sherman4.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a DuplexNSC encoder with n = 546.
c Encoding starts with w = 256:
c	Labels and Vertices aux var: 49140
c	Labels and Vertices constraints:  670488
c	Obj k aux var: 435162
c	Obj k constraints: 3314274
c	Obj k glue staircase constraints: 1552878
c	Encoding duration: 1s
c	Number of clauses: 3985035
c	Number of irredundant clauses: 3983420
c	Number of variables: 782418
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.5 real, 757.3 MB
[runlim] sample:		20.0 time, 20.5 real, 748.7 MB
[runlim] sample:		30.0 time, 30.5 real, 749.7 MB
[runlim] sample:		40.0 time, 40.5 real, 748.9 MB
[runlim] sample:		50.0 time, 50.5 real, 751.4 MB
[runlim] sample:		60.0 time, 60.5 real, 752.5 MB
[runlim] sample:		70.0 time, 70.5 real, 872.1 MB
[runlim] sample:		80.0 time, 80.5 real, 794.7 MB
[runlim] sample:		90.0 time, 90.5 real, 784.3 MB
[runlim] sample:		100.0 time, 100.5 real, 793.4 MB
[runlim] sample:		110.0 time, 110.5 real, 782.1 MB
[runlim] sample:		120.0 time, 120.5 real, 782.2 MB
[runlim] sample:		130.0 time, 130.5 real, 782.2 MB
[runlim] sample:		140.0 time, 140.5 real, 779.8 MB
[runlim] sample:		150.0 time, 150.5 real, 780.0 MB
[runlim] sample:		160.0 time, 160.5 real, 779.2 MB
[runlim] sample:		170.0 time, 170.5 real, 777.6 MB
[runlim] sample:		180.0 time, 180.5 real, 777.5 MB
[runlim] sample:		190.0 time, 190.5 real, 780.6 MB
[runlim] sample:		200.0 time, 200.5 real, 780.6 MB
[runlim] sample:		210.0 time, 210.5 real, 784.8 MB
[runlim] sample:		220.0 time, 220.5 real, 787.3 MB
[runlim] sample:		230.0 time, 230.5 real, 789.6 MB
[runlim] sample:		240.0 time, 240.5 real, 791.6 MB
[runlim] sample:		250.0 time, 250.5 real, 791.8 MB
[runlim] sample:		260.0 time, 260.5 real, 897.8 MB
[runlim] sample:		270.0 time, 270.5 real, 790.9 MB
[runlim] sample:		280.0 time, 280.5 real, 741.9 MB
[runlim] sample:		290.0 time, 290.5 real, 741.3 MB
[runlim] sample:		300.0 time, 300.5 real, 744.8 MB
[runlim] sample:		310.0 time, 310.5 real, 744.8 MB
[runlim] sample:		320.0 time, 320.5 real, 793.9 MB
[runlim] sample:		330.0 time, 330.5 real, 790.6 MB
[runlim] sample:		340.0 time, 340.5 real, 812.2 MB
[runlim] sample:		349.9 time, 350.5 real, 805.8 MB
[runlim] sample:		360.0 time, 360.5 real, 830.5 MB
[runlim] sample:		369.9 time, 370.5 real, 833.4 MB
[runlim] sample:		379.9 time, 380.5 real, 833.4 MB
[runlim] sample:		389.9 time, 390.5 real, 851.6 MB
[runlim] sample:		399.9 time, 400.5 real, 866.0 MB
[runlim] sample:		409.9 time, 410.5 real, 866.0 MB
[runlim] sample:		419.9 time, 420.5 real, 868.9 MB
[runlim] sample:		429.9 time, 430.5 real, 907.3 MB
[runlim] sample:		439.9 time, 440.5 real, 907.3 MB
[runlim] sample:		449.9 time, 450.5 real, 908.7 MB
[runlim] sample:		459.9 time, 460.5 real, 909.9 MB
[runlim] sample:		469.9 time, 470.5 real, 915.7 MB
[runlim] sample:		479.9 time, 480.5 real, 914.7 MB
[runlim] sample:		489.9 time, 490.5 real, 911.1 MB
[runlim] sample:		499.9 time, 500.5 real, 912.2 MB
[runlim] sample:		509.9 time, 510.5 real, 911.1 MB
[runlim] sample:		519.9 time, 520.5 real, 903.4 MB
[runlim] sample:		529.9 time, 530.5 real, 903.4 MB
[runlim] sample:		539.9 time, 540.5 real, 903.4 MB
[runlim] sample:		549.9 time, 550.5 real, 902.9 MB
[runlim] sample:		559.9 time, 560.5 real, 904.7 MB
[runlim] sample:		569.9 time, 570.5 real, 904.7 MB
[runlim] sample:		579.9 time, 580.5 real, 911.6 MB
[runlim] sample:		589.9 time, 590.5 real, 911.6 MB
[runlim] sample:		599.9 time, 600.5 real, 907.8 MB
[runlim] sample:		609.9 time, 610.5 real, 910.6 MB
[runlim] sample:		619.9 time, 620.5 real, 910.6 MB
[runlim] sample:		629.9 time, 630.5 real, 915.8 MB
[runlim] sample:		639.9 time, 640.5 real, 927.3 MB
[runlim] sample:		649.9 time, 650.5 real, 927.3 MB
[runlim] sample:		659.9 time, 660.5 real, 1097.0 MB
[runlim] sample:		669.9 time, 670.5 real, 932.3 MB
[runlim] sample:		679.9 time, 680.5 real, 922.5 MB
[runlim] sample:		689.9 time, 690.5 real, 910.8 MB
[runlim] sample:		699.9 time, 700.5 real, 912.0 MB
[runlim] sample:		709.9 time, 710.5 real, 903.4 MB
[runlim] sample:		719.9 time, 720.5 real, 913.4 MB
[runlim] sample:		729.9 time, 730.5 real, 914.1 MB
[runlim] sample:		739.9 time, 740.5 real, 908.0 MB
[runlim] sample:		749.9 time, 750.5 real, 902.3 MB
[runlim] sample:		759.9 time, 760.5 real, 907.9 MB
[runlim] sample:		769.9 time, 770.5 real, 907.9 MB
[runlim] sample:		779.9 time, 780.5 real, 907.9 MB
[runlim] sample:		789.9 time, 790.5 real, 927.2 MB
[runlim] sample:		799.9 time, 800.5 real, 927.2 MB
[runlim] sample:		809.9 time, 810.5 real, 944.2 MB
[runlim] sample:		819.9 time, 820.5 real, 944.2 MB
[runlim] sample:		829.9 time, 830.5 real, 944.2 MB
[runlim] sample:		839.9 time, 840.5 real, 911.9 MB
[runlim] sample:		849.9 time, 850.5 real, 911.9 MB
[runlim] sample:		859.9 time, 860.5 real, 925.0 MB
[runlim] sample:		869.9 time, 870.5 real, 921.2 MB
[runlim] sample:		879.9 time, 880.5 real, 921.2 MB
[runlim] sample:		889.9 time, 890.5 real, 921.2 MB
[runlim] sample:		899.9 time, 900.5 real, 923.7 MB
[runlim] sample:		909.9 time, 910.5 real, 923.7 MB
[runlim] sample:		919.9 time, 920.5 real, 917.5 MB
[runlim] sample:		929.9 time, 930.5 real, 917.5 MB
[runlim] sample:		939.9 time, 940.5 real, 916.1 MB
[runlim] sample:		949.9 time, 950.5 real, 922.1 MB
[runlim] sample:		959.9 time, 960.5 real, 922.1 MB
[runlim] sample:		969.9 time, 970.5 real, 922.1 MB
[runlim] sample:		979.9 time, 980.5 real, 928.7 MB
[runlim] sample:		989.9 time, 990.5 real, 928.7 MB
[runlim] sample:		999.9 time, 1000.5 real, 932.3 MB
[runlim] sample:		1009.9 time, 1010.5 real, 932.3 MB
[runlim] sample:		1019.9 time, 1020.5 real, 932.3 MB
[runlim] sample:		1029.9 time, 1030.5 real, 932.3 MB
[runlim] sample:		1039.9 time, 1040.5 real, 916.7 MB
[runlim] sample:		1049.9 time, 1050.5 real, 1097.1 MB
[runlim] sample:		1059.9 time, 1060.5 real, 945.2 MB
[runlim] sample:		1069.9 time, 1070.5 real, 945.2 MB
[runlim] sample:		1079.9 time, 1080.5 real, 945.2 MB
[runlim] sample:		1089.9 time, 1090.5 real, 907.9 MB
[runlim] sample:		1099.9 time, 1100.5 real, 895.8 MB
[runlim] sample:		1109.8 time, 1110.5 real, 906.2 MB
[runlim] sample:		1119.8 time, 1120.5 real, 906.2 MB
[runlim] sample:		1129.8 time, 1130.5 real, 906.2 MB
[runlim] sample:		1139.9 time, 1140.5 real, 906.6 MB
[runlim] sample:		1149.9 time, 1150.5 real, 914.8 MB
[runlim] sample:		1159.9 time, 1160.5 real, 914.8 MB
[runlim] sample:		1169.9 time, 1170.5 real, 764.5 MB
[runlim] sample:		1179.9 time, 1180.5 real, 764.5 MB
[runlim] sample:		1189.9 time, 1190.5 real, 905.2 MB
[runlim] sample:		1199.9 time, 1200.5 real, 905.2 MB
[runlim] sample:		1209.8 time, 1210.5 real, 933.0 MB
[runlim] sample:		1219.8 time, 1220.5 real, 933.0 MB
[runlim] sample:		1229.8 time, 1230.5 real, 933.0 MB
[runlim] sample:		1239.8 time, 1240.5 real, 933.0 MB
