[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		10000 MB
[runlim] argv[0]:		/home/hieu/work/StaircaseAMO/cpaior20_duplex_encoder/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/hieu/work/StaircaseAMO/cpaior20_duplex_encoder/AntiBandwidthReconstruct/build/Benchmarks/T-dwt__592.mtx.rnd
[runlim] argv[2]:		--duplex
[runlim] start:			Tue Jul 30 01:14:00 2024
[runlim] main pid:		4447
[runlim] log captured:
c DuplexEncoder 0.8.
c Solving strategy: from LB to UB.
c LB-w = 103 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 150 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 103 ( T-dwt__592.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Duplex encoder with n = 592.
c Encoding starts with w = 103:
Labels and Vertices aux var: 55648
Labels and Vertices constraints:  792096
Obj k aux var: 1176896
Obj k constraints: 8201472
c	Encoding duration: 3s
c	Number of clauses: 8993864
c	Number of irredundant clauses: 8404691
c	Number of variables: 1583008
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.3 real, 1406.7 MB
[runlim] sample:		20.0 time, 20.3 real, 1639.3 MB
[runlim] sample:		30.0 time, 30.3 real, 1476.3 MB
[runlim] sample:		40.0 time, 40.3 real, 1477.9 MB
[runlim] sample:		50.0 time, 50.3 real, 1474.8 MB
[runlim] sample:		60.0 time, 60.3 real, 1476.6 MB
[runlim] sample:		70.0 time, 70.3 real, 1446.9 MB
[runlim] sample:		80.0 time, 80.3 real, 1655.0 MB
[runlim] sample:		90.0 time, 90.3 real, 1466.0 MB
[runlim] sample:		100.0 time, 100.3 real, 1425.5 MB
[runlim] sample:		110.0 time, 110.3 real, 1508.1 MB
[runlim] sample:		120.0 time, 120.3 real, 1537.7 MB
[runlim] sample:		130.0 time, 130.3 real, 1494.5 MB
[runlim] sample:		140.0 time, 140.3 real, 1485.8 MB
[runlim] sample:		150.0 time, 150.3 real, 1476.5 MB
[runlim] sample:		160.0 time, 160.3 real, 1391.7 MB
[runlim] sample:		170.0 time, 170.3 real, 1385.1 MB
[runlim] sample:		180.0 time, 180.3 real, 1478.0 MB
