[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/hvanh28/Minizinc/MiniZincIDE-2.8.6-bundle-linux-x86_64/bin/minizinc
[runlim] argv[1]:		--solver
[runlim] argv[2]:		Chuffed
[runlim] argv[3]:		--time-limit
[runlim] argv[4]:		1800000
[runlim] argv[5]:		--output-to-file
[runlim] argv[6]:		2/J-nos4-1.log
[runlim] argv[7]:		--output-time
[runlim] argv[8]:		--statistics
[runlim] argv[9]:		CP-MZ-Chuffed.mzn
[runlim] argv[10]:		J-nos4.dzn
[runlim] start:			Mon Oct  7 08:27:37 2024
[runlim] main pid:		545342
[runlim] log captured:
% Generated FlatZinc statistics:
%%%mzn-stat: paths=0
%%%mzn-stat: flatIntVars=595
%%%mzn-stat: flatIntConstraints=742
%%%mzn-stat: method="maximize"
%%%mzn-stat: flatTime=0.185276
%%%mzn-stat-end
WARNING: the --time-out flag has recently been changed.The time-out is now provided in milliseconds instead of seconds
[runlim] sample:		10.0 time, 10.1 real, 81.8 MB
[runlim] sample:		20.0 time, 20.1 real, 96.6 MB
[runlim] sample:		30.0 time, 30.1 real, 115.7 MB
[runlim] sample:		40.0 time, 40.1 real, 141.8 MB
[runlim] sample:		50.0 time, 50.1 real, 148.9 MB
[runlim] sample:		60.0 time, 60.1 real, 162.4 MB
[runlim] sample:		69.9 time, 70.1 real, 187.4 MB
[runlim] sample:		79.9 time, 80.1 real, 187.6 MB
[runlim] sample:		89.9 time, 90.1 real, 187.8 MB
[runlim] sample:		99.9 time, 100.1 real, 194.0 MB
[runlim] sample:		109.9 time, 110.1 real, 194.2 MB
[runlim] sample:		119.9 time, 120.1 real, 195.1 MB
[runlim] sample:		129.9 time, 130.1 real, 197.2 MB
[runlim] sample:		139.9 time, 140.1 real, 197.2 MB
[runlim] sample:		149.9 time, 150.1 real, 199.0 MB
[runlim] sample:		159.9 time, 160.1 real, 199.0 MB
[runlim] sample:		169.9 time, 170.1 real, 199.2 MB
[runlim] sample:		179.9 time, 180.1 real, 199.2 MB
[runlim] sample:		189.9 time, 190.1 real, 199.2 MB
[runlim] sample:		199.9 time, 200.1 real, 199.2 MB
[runlim] sample:		209.9 time, 210.1 real, 199.2 MB
[runlim] sample:		219.9 time, 220.1 real, 199.2 MB
[runlim] sample:		229.9 time, 230.1 real, 199.2 MB
[runlim] sample:		239.9 time, 240.1 real, 199.2 MB
[runlim] sample:		249.9 time, 250.1 real, 199.2 MB
[runlim] sample:		259.9 time, 260.1 real, 199.2 MB
[runlim] sample:		269.9 time, 270.1 real, 199.2 MB
[runlim] sample:		279.9 time, 280.1 real, 199.2 MB
[runlim] sample:		289.9 time, 290.1 real, 210.3 MB
[runlim] sample:		299.9 time, 300.1 real, 210.8 MB
[runlim] sample:		309.9 time, 310.1 real, 214.4 MB
[runlim] sample:		319.9 time, 320.1 real, 228.4 MB
[runlim] sample:		329.9 time, 330.1 real, 244.4 MB
[runlim] sample:		339.9 time, 340.1 real, 261.4 MB
[runlim] sample:		349.9 time, 350.1 real, 276.1 MB
[runlim] sample:		359.9 time, 360.1 real, 291.3 MB
[runlim] sample:		369.9 time, 370.1 real, 306.5 MB
[runlim] sample:		379.9 time, 380.1 real, 319.1 MB
[runlim] sample:		389.9 time, 390.1 real, 319.4 MB
[runlim] sample:		399.9 time, 400.1 real, 319.4 MB
[runlim] sample:		409.9 time, 410.1 real, 319.4 MB
[runlim] sample:		419.9 time, 420.1 real, 319.4 MB
[runlim] sample:		429.9 time, 430.1 real, 333.0 MB
[runlim] sample:		439.9 time, 440.1 real, 343.9 MB
[runlim] sample:		449.9 time, 450.1 real, 343.9 MB
[runlim] sample:		459.9 time, 460.1 real, 343.9 MB
[runlim] sample:		469.9 time, 470.1 real, 343.9 MB
[runlim] sample:		479.9 time, 480.1 real, 343.9 MB
[runlim] sample:		489.9 time, 490.1 real, 343.9 MB
[runlim] sample:		499.9 time, 500.1 real, 343.9 MB
[runlim] sample:		509.9 time, 510.1 real, 343.9 MB
[runlim] sample:		519.9 time, 520.1 real, 343.9 MB
[runlim] sample:		529.9 time, 530.1 real, 343.9 MB
[runlim] sample:		539.9 time, 540.1 real, 343.9 MB
[runlim] sample:		549.9 time, 550.1 real, 343.9 MB
[runlim] sample:		559.9 time, 560.1 real, 343.9 MB
%%%mzn-stat: nSolutions=1
%%%mzn-stat-end
[runlim] end:			Mon Oct  7 08:37:01 2024
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		5638
[runlim] real:			564.01 seconds
[runlim] time:			563.77 seconds
[runlim] space:			343.9 MB
[runlim] samples:		5639
