[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		I-ash85.mtx.rnd
[runlim] start:			Mon May 12 02:30:51 2025
[runlim] main pid:		725064
[runlim] sample:		12.4 time, 10.2 real, 313.9 MB
[runlim] sample:		41.4 time, 20.2 real, 455.2 MB
[runlim] sample:		60.3 time, 30.2 real, 511.6 MB
[runlim] sample:		90.2 time, 40.2 real, 540.8 MB
[runlim] sample:		120.3 time, 50.2 real, 536.8 MB
[runlim] sample:		150.3 time, 60.2 real, 543.6 MB
[runlim] sample:		162.9 time, 70.2 real, 534.6 MB
[runlim] sample:		177.4 time, 80.2 real, 553.6 MB
[runlim] sample:		217.4 time, 90.2 real, 584.1 MB
[runlim] sample:		257.4 time, 100.2 real, 624.1 MB
[runlim] sample:		297.4 time, 110.2 real, 638.6 MB
[runlim] sample:		337.4 time, 120.2 real, 648.1 MB
[runlim] sample:		371.4 time, 130.2 real, 578.9 MB
[runlim] sample:		393.1 time, 140.2 real, 683.6 MB
[runlim] sample:		423.1 time, 150.2 real, 662.6 MB
[runlim] sample:		453.1 time, 160.2 real, 707.3 MB
[runlim] sample:		483.1 time, 170.2 real, 723.0 MB
[runlim] sample:		511.4 time, 180.2 real, 704.7 MB
[runlim] sample:		521.8 time, 190.2 real, 724.3 MB
[runlim] sample:		552.1 time, 200.2 real, 683.2 MB
[runlim] sample:		592.0 time, 210.2 real, 687.4 MB
[runlim] sample:		632.0 time, 220.2 real, 697.0 MB
[runlim] sample:		672.0 time, 230.2 real, 728.4 MB
[runlim] sample:		712.0 time, 240.2 real, 713.4 MB
[runlim] sample:		751.9 time, 250.2 real, 721.9 MB
[runlim] sample:		791.9 time, 260.2 real, 723.9 MB
[runlim] sample:		831.9 time, 270.2 real, 723.7 MB
[runlim] sample:		871.7 time, 280.2 real, 721.5 MB
[runlim] sample:		911.7 time, 290.2 real, 760.3 MB
[runlim] sample:		951.7 time, 300.2 real, 764.4 MB
[runlim] sample:		991.7 time, 310.2 real, 767.0 MB
[runlim] sample:		1031.7 time, 320.2 real, 767.2 MB
[runlim] sample:		1071.6 time, 330.2 real, 782.8 MB
[runlim] sample:		1111.6 time, 340.2 real, 785.5 MB
[runlim] sample:		1151.2 time, 350.2 real, 798.4 MB
[runlim] sample:		1191.2 time, 360.2 real, 808.9 MB
[runlim] sample:		1230.8 time, 370.2 real, 807.4 MB
[runlim] sample:		1270.8 time, 380.2 real, 794.7 MB
[runlim] sample:		1310.8 time, 390.2 real, 794.7 MB
[runlim] sample:		1350.8 time, 400.2 real, 801.5 MB
[runlim] sample:		1390.8 time, 410.2 real, 805.7 MB
[runlim] sample:		1423.2 time, 420.2 real, 828.7 MB
[runlim] sample:		1433.7 time, 430.2 real, 835.7 MB
[runlim] sample:		1452.9 time, 440.2 real, 860.2 MB
[runlim] sample:		1463.4 time, 450.2 real, 826.9 MB
[runlim] sample:		1473.9 time, 460.2 real, 877.0 MB
[runlim] sample:		1484.4 time, 470.2 real, 877.0 MB
[runlim] sample:		1500.4 time, 480.2 real, 1022.7 MB
[runlim] sample:		1530.5 time, 490.2 real, 1009.2 MB
[runlim] sample:		1560.7 time, 500.2 real, 980.1 MB
[runlim] sample:		1586.1 time, 510.2 real, 1005.6 MB
[runlim] sample:		1616.3 time, 520.2 real, 978.0 MB
[runlim] sample:		1646.5 time, 530.2 real, 978.2 MB
[runlim] sample:		1676.6 time, 540.2 real, 1078.7 MB
[runlim] sample:		1706.8 time, 550.2 real, 1042.3 MB
[runlim] sample:		1736.9 time, 560.2 real, 989.4 MB
[runlim] sample:		1767.1 time, 570.2 real, 1011.6 MB
[runlim] sample:		1797.2 time, 580.2 real, 1011.6 MB
[runlim] sample:		1827.5 time, 590.2 real, 1134.8 MB
[runlim] sample:		1857.6 time, 600.2 real, 1170.3 MB
[runlim] sample:		1887.8 time, 610.2 real, 1033.4 MB
[runlim] sample:		1917.9 time, 620.2 real, 1046.6 MB
[runlim] sample:		1948.0 time, 630.2 real, 989.6 MB
[runlim] sample:		1978.2 time, 640.2 real, 996.6 MB
[runlim] sample:		2008.3 time, 650.2 real, 976.5 MB
[runlim] sample:		2038.5 time, 660.2 real, 982.9 MB
[runlim] sample:		2068.6 time, 670.2 real, 988.2 MB
[runlim] sample:		2098.8 time, 680.2 real, 990.8 MB
[runlim] sample:		2128.9 time, 690.2 real, 991.6 MB
[runlim] sample:		2159.1 time, 700.2 real, 993.8 MB
[runlim] sample:		2189.2 time, 710.2 real, 1030.3 MB
[runlim] sample:		2219.4 time, 720.2 real, 987.9 MB
[runlim] sample:		2249.5 time, 730.2 real, 990.1 MB
[runlim] sample:		2279.7 time, 740.2 real, 991.3 MB
[runlim] sample:		2309.8 time, 750.2 real, 993.8 MB
[runlim] sample:		2339.9 time, 760.2 real, 1061.3 MB
[runlim] sample:		2370.1 time, 770.2 real, 988.3 MB
[runlim] sample:		2400.2 time, 780.2 real, 993.3 MB
[runlim] sample:		2430.4 time, 790.2 real, 1110.5 MB
[runlim] sample:		2460.6 time, 800.2 real, 1031.4 MB
[runlim] sample:		2490.7 time, 810.2 real, 989.7 MB
[runlim] sample:		2520.9 time, 820.2 real, 1114.9 MB
[runlim] sample:		2551.0 time, 830.2 real, 989.4 MB
[runlim] sample:		2581.2 time, 840.2 real, 1052.3 MB
[runlim] sample:		2611.3 time, 850.2 real, 1035.5 MB
[runlim] sample:		2641.5 time, 860.2 real, 1035.5 MB
[runlim] sample:		2671.6 time, 870.2 real, 1087.9 MB
[runlim] sample:		2701.7 time, 880.2 real, 981.5 MB
[runlim] sample:		2731.9 time, 890.2 real, 981.5 MB
[runlim] sample:		2762.0 time, 900.2 real, 984.2 MB
[runlim] sample:		2792.2 time, 910.2 real, 990.4 MB
[runlim] sample:		2822.4 time, 920.2 real, 1041.7 MB
[runlim] sample:		2852.5 time, 930.2 real, 980.7 MB
[runlim] sample:		2882.7 time, 940.2 real, 987.7 MB
[runlim] sample:		2912.8 time, 950.2 real, 1009.6 MB
[runlim] sample:		2943.0 time, 960.2 real, 986.8 MB
[runlim] sample:		2969.8 time, 970.2 real, 1038.3 MB
[runlim] sample:		2980.4 time, 980.2 real, 990.3 MB
[runlim] sample:		2990.9 time, 990.2 real, 990.3 MB
[runlim] sample:		3001.4 time, 1000.2 real, 931.9 MB
[runlim] sample:		3011.9 time, 1010.2 real, 935.5 MB
[runlim] sample:		3024.0 time, 1020.2 real, 928.7 MB
[runlim] sample:		3034.5 time, 1030.2 real, 928.7 MB
[runlim] sample:		3054.2 time, 1040.2 real, 914.0 MB
[runlim] sample:		3088.1 time, 1050.2 real, 914.0 MB
[runlim] sample:		3128.1 time, 1060.2 real, 914.0 MB
[runlim] sample:		3167.2 time, 1070.2 real, 914.0 MB
[runlim] sample:		3207.2 time, 1080.2 real, 916.3 MB
[runlim] sample:		3244.0 time, 1090.2 real, 917.6 MB
[runlim] sample:		3281.2 time, 1100.2 real, 917.6 MB
[runlim] sample:		3321.2 time, 1110.2 real, 917.6 MB
[runlim] sample:		3361.2 time, 1120.2 real, 917.6 MB
[runlim] sample:		3399.1 time, 1130.2 real, 917.6 MB
[runlim] sample:		3439.1 time, 1140.2 real, 918.2 MB
[runlim] sample:		3479.1 time, 1150.2 real, 918.2 MB
[runlim] sample:		3515.6 time, 1160.2 real, 918.2 MB
[runlim] sample:		3555.6 time, 1170.2 real, 918.2 MB
[runlim] sample:		3595.6 time, 1180.2 real, 918.2 MB
[runlim] sample:		3635.6 time, 1190.2 real, 918.2 MB
[runlim] sample:		3672.3 time, 1200.2 real, 918.2 MB
[runlim] sample:		3712.3 time, 1210.2 real, 918.2 MB
[runlim] sample:		3752.3 time, 1220.2 real, 918.2 MB
[runlim] sample:		3792.3 time, 1230.2 real, 918.2 MB
[runlim] sample:		3828.5 time, 1240.2 real, 918.2 MB
[runlim] sample:		3868.5 time, 1250.2 real, 918.2 MB
[runlim] sample:		3908.5 time, 1260.2 real, 918.2 MB
[runlim] sample:		3948.5 time, 1270.2 real, 918.2 MB
[runlim] sample:		3973.4 time, 1280.2 real, 918.2 MB
[runlim] sample:		4013.4 time, 1290.2 real, 918.2 MB
[runlim] sample:		4053.4 time, 1300.2 real, 919.2 MB
[runlim] sample:		4093.4 time, 1310.2 real, 919.2 MB
[runlim] sample:		4133.4 time, 1320.2 real, 919.2 MB
[runlim] sample:		4168.8 time, 1330.2 real, 919.2 MB
[runlim] sample:		4208.8 time, 1340.2 real, 919.2 MB
[runlim] sample:		4248.8 time, 1350.2 real, 919.2 MB
[runlim] sample:		4288.8 time, 1360.2 real, 919.2 MB
[runlim] sample:		4326.1 time, 1370.2 real, 919.2 MB
[runlim] sample:		4366.1 time, 1380.2 real, 919.2 MB
[runlim] sample:		4406.1 time, 1390.2 real, 919.2 MB
[runlim] sample:		4446.1 time, 1400.2 real, 919.2 MB
[runlim] sample:		4485.2 time, 1410.2 real, 919.2 MB
[runlim] sample:		4525.2 time, 1420.2 real, 919.2 MB
[runlim] sample:		4565.2 time, 1430.2 real, 919.2 MB
[runlim] sample:		4605.2 time, 1440.2 real, 919.2 MB
[runlim] sample:		4640.9 time, 1450.2 real, 919.2 MB
[runlim] sample:		4680.9 time, 1460.2 real, 919.2 MB
[runlim] sample:		4720.9 time, 1470.2 real, 919.2 MB
[runlim] sample:		4760.9 time, 1480.2 real, 919.2 MB
[runlim] sample:		4798.6 time, 1490.2 real, 919.2 MB
[runlim] sample:		4838.6 time, 1500.2 real, 919.2 MB
[runlim] sample:		4878.6 time, 1510.2 real, 919.2 MB
[runlim] sample:		4918.6 time, 1520.2 real, 919.2 MB
[runlim] sample:		4958.6 time, 1530.2 real, 919.2 MB
[runlim] sample:		4987.2 time, 1540.2 real, 919.2 MB
[runlim] sample:		5015.2 time, 1550.2 real, 919.2 MB
[runlim] sample:		5055.2 time, 1560.2 real, 919.2 MB
[runlim] sample:		5095.2 time, 1570.2 real, 919.2 MB
[runlim] sample:		5135.2 time, 1580.2 real, 919.2 MB
[runlim] sample:		5170.8 time, 1590.2 real, 919.2 MB
[runlim] sample:		5210.8 time, 1600.2 real, 919.2 MB
[runlim] sample:		5250.8 time, 1610.2 real, 919.2 MB
[runlim] sample:		5290.8 time, 1620.2 real, 919.2 MB
[runlim] sample:		5330.3 time, 1630.2 real, 919.2 MB
[runlim] sample:		5370.3 time, 1640.2 real, 919.2 MB
[runlim] sample:		5410.3 time, 1650.2 real, 919.2 MB
[runlim] sample:		5448.9 time, 1660.2 real, 919.2 MB
[runlim] sample:		5488.6 time, 1670.2 real, 919.2 MB
[runlim] sample:		5528.6 time, 1680.2 real, 919.2 MB
[runlim] sample:		5568.6 time, 1690.2 real, 919.2 MB
[runlim] sample:		5608.6 time, 1700.2 real, 919.2 MB
[runlim] sample:		5648.6 time, 1710.2 real, 919.2 MB
[runlim] sample:		5688.6 time, 1720.2 real, 919.2 MB
[runlim] sample:		5727.7 time, 1730.2 real, 919.2 MB
[runlim] sample:		5767.7 time, 1740.2 real, 919.2 MB
[runlim] sample:		5807.7 time, 1750.2 real, 919.2 MB
[runlim] sample:		5847.7 time, 1760.2 real, 919.2 MB
[runlim] sample:		5887.7 time, 1770.2 real, 919.2 MB
[runlim] sample:		5927.7 time, 1780.2 real, 919.2 MB
[runlim] sample:		5967.4 time, 1790.2 real, 919.2 MB
[runlim] end:			Mon May 12 03:00:51 2025
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			1800.10 seconds
[runlim] time:			6007.05 seconds
[runlim] space:			1219.8 MB
[runlim] samples:		17999
