[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		K-dwt__234.mtx.rnd
[runlim] start:			Mon May 12 03:30:51 2025
[runlim] main pid:		733420
[runlim] sample:		13.5 time, 10.0 real, 171.3 MB
[runlim] sample:		23.9 time, 20.0 real, 171.6 MB
[runlim] sample:		34.2 time, 30.0 real, 171.6 MB
[runlim] sample:		44.6 time, 40.0 real, 171.6 MB
[runlim] sample:		60.2 time, 50.0 real, 330.9 MB
[runlim] sample:		90.2 time, 60.0 real, 611.3 MB
[runlim] sample:		120.2 time, 70.0 real, 624.6 MB
[runlim] sample:		150.2 time, 80.0 real, 651.1 MB
[runlim] sample:		180.2 time, 90.0 real, 651.1 MB
[runlim] sample:		210.2 time, 100.0 real, 651.1 MB
[runlim] sample:		240.2 time, 110.0 real, 651.1 MB
[runlim] sample:		270.2 time, 120.0 real, 663.1 MB
[runlim] sample:		300.2 time, 130.0 real, 667.4 MB
[runlim] sample:		330.2 time, 140.0 real, 673.4 MB
[runlim] sample:		360.2 time, 150.0 real, 673.4 MB
[runlim] sample:		390.2 time, 160.0 real, 674.7 MB
[runlim] sample:		420.2 time, 170.0 real, 676.9 MB
[runlim] sample:		450.2 time, 180.0 real, 676.9 MB
[runlim] sample:		480.2 time, 190.0 real, 676.9 MB
[runlim] sample:		510.2 time, 200.0 real, 676.9 MB
[runlim] sample:		540.2 time, 210.0 real, 677.2 MB
[runlim] sample:		570.2 time, 220.0 real, 677.2 MB
[runlim] sample:		600.2 time, 230.0 real, 679.0 MB
[runlim] sample:		630.2 time, 240.0 real, 679.1 MB
[runlim] sample:		660.2 time, 250.0 real, 679.1 MB
[runlim] sample:		690.2 time, 260.0 real, 679.7 MB
[runlim] sample:		720.2 time, 270.0 real, 679.8 MB
[runlim] sample:		750.2 time, 280.0 real, 681.2 MB
[runlim] sample:		780.2 time, 290.0 real, 681.2 MB
[runlim] sample:		810.2 time, 300.0 real, 681.2 MB
[runlim] sample:		840.2 time, 310.0 real, 681.2 MB
[runlim] sample:		870.2 time, 320.0 real, 681.3 MB
[runlim] sample:		900.2 time, 330.0 real, 689.8 MB
[runlim] sample:		930.2 time, 340.0 real, 692.9 MB
[runlim] sample:		960.2 time, 350.0 real, 704.9 MB
[runlim] sample:		990.2 time, 360.0 real, 698.9 MB
[runlim] sample:		1020.1 time, 370.0 real, 699.0 MB
[runlim] sample:		1050.2 time, 380.0 real, 699.0 MB
[runlim] sample:		1080.1 time, 390.0 real, 699.2 MB
[runlim] sample:		1110.1 time, 400.0 real, 705.2 MB
[runlim] sample:		1140.1 time, 410.0 real, 716.4 MB
[runlim] sample:		1170.1 time, 420.0 real, 717.8 MB
[runlim] sample:		1200.1 time, 430.0 real, 719.7 MB
[runlim] sample:		1225.5 time, 440.0 real, 685.6 MB
[runlim] sample:		1235.9 time, 450.0 real, 685.6 MB
[runlim] sample:		1246.3 time, 460.0 real, 685.6 MB
[runlim] sample:		1256.7 time, 470.0 real, 685.8 MB
[runlim] sample:		1268.7 time, 480.0 real, 688.4 MB
[runlim] sample:		1294.6 time, 490.0 real, 778.6 MB
[runlim] sample:		1334.6 time, 500.0 real, 784.4 MB
[runlim] sample:		1374.6 time, 510.0 real, 779.2 MB
[runlim] sample:		1407.7 time, 520.0 real, 771.0 MB
[runlim] sample:		1446.0 time, 530.0 real, 780.6 MB
[runlim] sample:		1478.1 time, 540.0 real, 782.6 MB
[runlim] sample:		1500.3 time, 550.0 real, 783.6 MB
[runlim] sample:		1526.6 time, 560.0 real, 783.6 MB
[runlim] sample:		1564.7 time, 570.0 real, 783.6 MB
[runlim] sample:		1604.6 time, 580.0 real, 783.6 MB
[runlim] sample:		1631.4 time, 590.0 real, 646.3 MB
[runlim] sample:		1644.9 time, 600.0 real, 646.3 MB
[runlim] sample:		1655.3 time, 610.0 real, 646.5 MB
[runlim] sample:		1665.6 time, 620.0 real, 646.5 MB
[runlim] sample:		1676.0 time, 630.0 real, 646.5 MB
[runlim] sample:		1693.7 time, 640.0 real, 606.8 MB
[runlim] sample:		1723.7 time, 650.0 real, 630.5 MB
[runlim] sample:		1753.7 time, 660.0 real, 646.8 MB
[runlim] sample:		1783.7 time, 670.0 real, 668.9 MB
[runlim] sample:		1813.7 time, 680.0 real, 670.1 MB
[runlim] sample:		1843.7 time, 690.0 real, 670.1 MB
[runlim] sample:		1873.7 time, 700.0 real, 670.1 MB
[runlim] sample:		1903.6 time, 710.0 real, 670.1 MB
[runlim] sample:		1931.3 time, 720.0 real, 670.1 MB
[runlim] sample:		1951.5 time, 730.0 real, 670.1 MB
[runlim] sample:		1971.7 time, 740.0 real, 670.1 MB
[runlim] sample:		1991.9 time, 750.0 real, 670.1 MB
[runlim] sample:		2002.7 time, 760.0 real, 670.1 MB
[runlim] sample:		2016.0 time, 770.0 real, 589.1 MB
[runlim] sample:		2026.3 time, 780.0 real, 589.1 MB
[runlim] sample:		2036.7 time, 790.0 real, 589.1 MB
[runlim] sample:		2047.0 time, 800.0 real, 589.1 MB
[runlim] sample:		2073.2 time, 810.0 real, 667.3 MB
[runlim] sample:		2103.2 time, 820.0 real, 678.0 MB
[runlim] sample:		2133.2 time, 830.0 real, 686.3 MB
[runlim] sample:		2163.2 time, 840.0 real, 690.5 MB
[runlim] sample:		2193.2 time, 850.0 real, 714.3 MB
[runlim] sample:		2223.2 time, 860.0 real, 714.3 MB
[runlim] sample:		2253.2 time, 870.0 real, 714.3 MB
[runlim] sample:		2283.2 time, 880.0 real, 714.3 MB
[runlim] sample:		2313.2 time, 890.0 real, 714.3 MB
[runlim] sample:		2343.2 time, 900.0 real, 714.3 MB
[runlim] sample:		2373.2 time, 910.0 real, 714.3 MB
[runlim] sample:		2403.2 time, 920.0 real, 682.1 MB
[runlim] sample:		2433.2 time, 930.0 real, 682.1 MB
[runlim] sample:		2463.2 time, 940.0 real, 682.1 MB
[runlim] sample:		2493.2 time, 950.0 real, 682.1 MB
[runlim] sample:		2523.2 time, 960.0 real, 686.4 MB
[runlim] sample:		2553.2 time, 970.0 real, 686.4 MB
[runlim] sample:		2581.3 time, 980.0 real, 686.6 MB
[runlim] sample:		2601.4 time, 990.0 real, 694.6 MB
[runlim] sample:		2621.6 time, 1000.0 real, 694.6 MB
[runlim] sample:		2641.8 time, 1010.0 real, 694.6 MB
[runlim] sample:		2661.9 time, 1020.0 real, 694.6 MB
[runlim] sample:		2682.1 time, 1030.0 real, 694.6 MB
[runlim] sample:		2700.9 time, 1040.0 real, 611.2 MB
[runlim] sample:		2714.9 time, 1050.0 real, 609.2 MB
[runlim] sample:		2725.3 time, 1060.0 real, 609.2 MB
[runlim] sample:		2735.7 time, 1070.0 real, 609.2 MB
[runlim] sample:		2746.1 time, 1080.0 real, 609.2 MB
[runlim] sample:		2764.7 time, 1090.0 real, 611.5 MB
[runlim] sample:		2794.7 time, 1100.0 real, 642.9 MB
[runlim] sample:		2824.7 time, 1110.0 real, 646.9 MB
[runlim] sample:		2854.7 time, 1120.0 real, 691.0 MB
[runlim] sample:		2884.7 time, 1130.0 real, 691.0 MB
[runlim] sample:		2914.7 time, 1140.0 real, 691.0 MB
[runlim] sample:		2944.7 time, 1150.0 real, 691.0 MB
[runlim] sample:		2974.7 time, 1160.0 real, 691.0 MB
[runlim] sample:		3004.7 time, 1170.0 real, 691.0 MB
[runlim] sample:		3034.7 time, 1180.0 real, 691.0 MB
[runlim] sample:		3064.7 time, 1190.0 real, 691.0 MB
[runlim] sample:		3094.7 time, 1200.0 real, 691.0 MB
[runlim] sample:		3124.7 time, 1210.0 real, 691.0 MB
[runlim] sample:		3154.7 time, 1220.0 real, 691.0 MB
[runlim] sample:		3184.7 time, 1230.0 real, 691.0 MB
[runlim] sample:		3214.7 time, 1240.0 real, 691.0 MB
[runlim] sample:		3244.7 time, 1250.0 real, 691.0 MB
[runlim] sample:		3274.7 time, 1260.0 real, 691.0 MB
[runlim] sample:		3304.7 time, 1270.0 real, 691.0 MB
[runlim] sample:		3334.7 time, 1280.0 real, 691.0 MB
[runlim] sample:		3364.7 time, 1290.0 real, 691.0 MB
[runlim] sample:		3394.7 time, 1300.0 real, 691.0 MB
[runlim] sample:		3424.7 time, 1310.0 real, 691.0 MB
[runlim] sample:		3454.6 time, 1320.0 real, 691.0 MB
[runlim] sample:		3484.6 time, 1330.0 real, 691.0 MB
[runlim] sample:		3514.6 time, 1340.0 real, 691.0 MB
[runlim] sample:		3540.4 time, 1350.0 real, 647.1 MB
[runlim] sample:		3550.8 time, 1360.0 real, 647.1 MB
[runlim] sample:		3561.1 time, 1370.0 real, 647.1 MB
[runlim] sample:		3571.5 time, 1380.0 real, 647.1 MB
[runlim] sample:		3583.4 time, 1390.0 real, 650.9 MB
[runlim] sample:		3593.9 time, 1400.0 real, 650.9 MB
[runlim] sample:		3626.4 time, 1410.0 real, 738.8 MB
[runlim] sample:		3656.5 time, 1420.0 real, 745.8 MB
[runlim] sample:		3683.9 time, 1430.0 real, 701.0 MB
[runlim] sample:		3709.1 time, 1440.0 real, 703.0 MB
[runlim] sample:		3719.6 time, 1450.0 real, 703.0 MB
[runlim] sample:		3746.4 time, 1460.0 real, 720.4 MB
[runlim] sample:		3773.7 time, 1470.0 real, 722.4 MB
[runlim] sample:		3788.0 time, 1480.0 real, 707.0 MB
[runlim] sample:		3798.5 time, 1490.0 real, 707.0 MB
[runlim] sample:		3816.4 time, 1500.0 real, 707.0 MB
[runlim] sample:		3856.4 time, 1510.0 real, 707.0 MB
[runlim] sample:		3869.8 time, 1520.0 real, 707.2 MB
[runlim] sample:		3907.7 time, 1530.0 real, 707.2 MB
[runlim] sample:		3947.7 time, 1540.0 real, 709.0 MB
[runlim] sample:		3987.7 time, 1550.0 real, 726.6 MB
[runlim] sample:		4017.1 time, 1560.0 real, 726.6 MB
[runlim] sample:		4031.2 time, 1570.0 real, 582.6 MB
[runlim] sample:		4041.4 time, 1580.0 real, 582.6 MB
[runlim] sample:		4051.6 time, 1590.0 real, 582.6 MB
[runlim] sample:		4080.9 time, 1600.0 real, 656.5 MB
[runlim] sample:		4110.9 time, 1610.0 real, 656.5 MB
[runlim] sample:		4140.9 time, 1620.0 real, 656.5 MB
[runlim] sample:		4170.9 time, 1630.0 real, 693.4 MB
[runlim] sample:		4200.9 time, 1640.0 real, 715.4 MB
[runlim] sample:		4230.9 time, 1650.0 real, 700.5 MB
[runlim] sample:		4260.9 time, 1660.0 real, 700.5 MB
[runlim] sample:		4290.9 time, 1670.0 real, 700.5 MB
[runlim] sample:		4320.9 time, 1680.0 real, 700.5 MB
[runlim] sample:		4350.9 time, 1690.0 real, 700.5 MB
[runlim] sample:		4380.9 time, 1700.0 real, 702.4 MB
[runlim] sample:		4410.9 time, 1710.0 real, 702.4 MB
[runlim] sample:		4440.9 time, 1720.0 real, 702.4 MB
[runlim] sample:		4470.9 time, 1730.0 real, 702.4 MB
[runlim] sample:		4500.9 time, 1740.0 real, 702.4 MB
[runlim] sample:		4530.9 time, 1750.0 real, 702.4 MB
[runlim] sample:		4560.9 time, 1760.0 real, 702.4 MB
[runlim] sample:		4590.9 time, 1770.0 real, 702.4 MB
[runlim] sample:		4620.9 time, 1780.0 real, 702.4 MB
[runlim] sample:		4650.9 time, 1790.0 real, 702.4 MB
[runlim] sample:		4680.9 time, 1800.0 real, 702.4 MB
[runlim] end:			Mon May 12 04:00:51 2025
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			1800.07 seconds
[runlim] time:			4680.85 seconds
[runlim] space:			784.4 MB
[runlim] samples:		18000
