[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		N-bcsstk07.mtx.rnd
[runlim] start:			Mon May 12 04:07:16 2025
[runlim] main pid:		738448
[runlim] sample:		10.0 time, 10.4 real, 174.5 MB
[runlim] sample:		20.0 time, 20.4 real, 255.5 MB
[runlim] sample:		30.0 time, 30.4 real, 339.9 MB
[runlim] sample:		40.0 time, 40.4 real, 432.9 MB
[runlim] sample:		50.0 time, 50.4 real, 512.2 MB
[runlim] sample:		60.0 time, 60.4 real, 598.6 MB
[runlim] sample:		70.0 time, 70.4 real, 679.2 MB
[runlim] sample:		80.0 time, 80.4 real, 777.8 MB
[runlim] sample:		90.0 time, 90.4 real, 857.5 MB
[runlim] sample:		100.0 time, 100.4 real, 938.0 MB
[runlim] sample:		110.0 time, 110.4 real, 1021.4 MB
[runlim] sample:		120.0 time, 120.4 real, 1103.4 MB
[runlim] sample:		130.0 time, 130.4 real, 1188.4 MB
[runlim] sample:		140.0 time, 140.4 real, 1267.2 MB
[runlim] sample:		150.0 time, 150.4 real, 1347.5 MB
[runlim] sample:		160.0 time, 160.4 real, 3395.9 MB
[runlim] sample:		170.0 time, 170.4 real, 6235.2 MB
[runlim] sample:		180.0 time, 180.4 real, 8162.0 MB
[runlim] sample:		190.0 time, 190.4 real, 6316.9 MB
[runlim] sample:		200.0 time, 200.4 real, 8198.4 MB
[runlim] sample:		210.0 time, 210.4 real, 6290.2 MB
[runlim] sample:		220.0 time, 220.4 real, 6320.3 MB
[runlim] sample:		230.0 time, 230.4 real, 7972.9 MB
[runlim] sample:		240.0 time, 240.4 real, 6798.1 MB
[runlim] sample:		250.0 time, 250.4 real, 6312.5 MB
[runlim] sample:		260.0 time, 260.4 real, 6298.4 MB
[runlim] sample:		270.0 time, 270.4 real, 5754.5 MB
[runlim] sample:		280.0 time, 280.4 real, 7742.8 MB
[runlim] sample:		290.0 time, 290.4 real, 7836.8 MB
[runlim] sample:		305.3 time, 300.4 real, 19350.9 MB
[runlim] end:			Mon May 12 04:12:20 2025
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		0
[runlim] real:			304.12 seconds
[runlim] time:			319.49 seconds
[runlim] space:			30016.1 MB
[runlim] samples:		3037
