[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		R-dwt__503.mtx.rnd
[runlim] start:			Mon May 12 04:54:52 2025
[runlim] main pid:		745521
[runlim] sample:		10.0 time, 10.2 real, 190.8 MB
[runlim] sample:		20.0 time, 20.2 real, 266.0 MB
[runlim] sample:		30.0 time, 30.2 real, 342.5 MB
[runlim] sample:		40.0 time, 40.2 real, 418.9 MB
[runlim] sample:		50.0 time, 50.2 real, 491.5 MB
[runlim] sample:		60.0 time, 60.2 real, 569.5 MB
[runlim] sample:		70.0 time, 70.2 real, 637.1 MB
[runlim] sample:		80.0 time, 80.2 real, 708.6 MB
[runlim] sample:		90.0 time, 90.2 real, 788.0 MB
[runlim] sample:		100.0 time, 100.2 real, 858.8 MB
[runlim] sample:		110.0 time, 110.2 real, 934.4 MB
[runlim] sample:		120.0 time, 120.2 real, 1006.3 MB
[runlim] sample:		129.9 time, 130.2 real, 1082.4 MB
[runlim] sample:		139.9 time, 140.2 real, 1154.5 MB
[runlim] sample:		149.9 time, 150.2 real, 1226.0 MB
[runlim] sample:		159.9 time, 160.2 real, 1295.9 MB
[runlim] sample:		169.9 time, 170.2 real, 1366.2 MB
[runlim] sample:		179.9 time, 180.2 real, 1438.4 MB
[runlim] sample:		189.9 time, 190.2 real, 1518.9 MB
[runlim] sample:		199.9 time, 200.2 real, 1595.4 MB
[runlim] sample:		209.9 time, 210.2 real, 1670.8 MB
[runlim] sample:		219.9 time, 220.2 real, 1741.8 MB
[runlim] sample:		229.9 time, 230.2 real, 3148.3 MB
[runlim] sample:		239.9 time, 240.2 real, 4548.8 MB
[runlim] sample:		249.9 time, 250.2 real, 8554.1 MB
[runlim] sample:		259.9 time, 260.2 real, 11277.2 MB
[runlim] sample:		269.9 time, 270.2 real, 9503.9 MB
[runlim] sample:		279.9 time, 280.2 real, 11299.7 MB
[runlim] sample:		289.9 time, 290.2 real, 11300.0 MB
[runlim] sample:		299.9 time, 300.2 real, 8604.8 MB
[runlim] sample:		309.9 time, 310.2 real, 11274.1 MB
[runlim] sample:		319.9 time, 320.2 real, 8610.9 MB
[runlim] sample:		329.9 time, 330.2 real, 13123.2 MB
[runlim] sample:		339.9 time, 340.2 real, 9107.0 MB
[runlim] sample:		349.9 time, 350.2 real, 8625.7 MB
[runlim] sample:		359.9 time, 360.2 real, 8606.3 MB
[runlim] sample:		369.9 time, 370.2 real, 9274.6 MB
[runlim] sample:		379.9 time, 380.2 real, 10423.4 MB
[runlim] sample:		389.9 time, 390.2 real, 10426.0 MB
[runlim] sample:		399.9 time, 400.2 real, 10426.0 MB
[runlim] sample:		409.9 time, 410.2 real, 10497.6 MB
[runlim] sample:		422.3 time, 420.2 real, 17069.3 MB
[runlim] end:			Mon May 12 05:01:56 2025
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		0
[runlim] real:			424.56 seconds
[runlim] time:			438.33 seconds
[runlim] space:			30107.0 MB
[runlim] samples:		4244
