[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		U-662_bus.mtx.rnd
[runlim] start:			Mon May 12 05:33:20 2025
[runlim] main pid:		752710
[runlim] sample:		10.0 time, 10.3 real, 256.9 MB
[runlim] sample:		20.0 time, 20.3 real, 309.2 MB
[runlim] sample:		30.0 time, 30.3 real, 361.8 MB
[runlim] sample:		40.0 time, 40.3 real, 416.5 MB
[runlim] sample:		50.0 time, 50.3 real, 467.8 MB
[runlim] sample:		60.0 time, 60.3 real, 519.8 MB
[runlim] sample:		70.0 time, 70.3 real, 571.2 MB
[runlim] sample:		80.0 time, 80.3 real, 621.2 MB
[runlim] sample:		90.0 time, 90.3 real, 675.0 MB
[runlim] sample:		100.0 time, 100.3 real, 726.7 MB
[runlim] sample:		110.0 time, 110.3 real, 780.6 MB
[runlim] sample:		120.0 time, 120.3 real, 833.5 MB
[runlim] sample:		130.0 time, 130.3 real, 883.4 MB
[runlim] sample:		140.0 time, 140.3 real, 940.4 MB
[runlim] sample:		150.0 time, 150.3 real, 993.9 MB
[runlim] sample:		160.0 time, 160.3 real, 1045.9 MB
[runlim] sample:		170.0 time, 170.3 real, 1098.3 MB
[runlim] sample:		180.0 time, 180.3 real, 1150.3 MB
[runlim] sample:		190.0 time, 190.3 real, 1200.3 MB
[runlim] sample:		200.0 time, 200.3 real, 1254.7 MB
[runlim] sample:		210.0 time, 210.3 real, 1303.7 MB
[runlim] sample:		220.0 time, 220.3 real, 1358.0 MB
[runlim] sample:		230.0 time, 230.3 real, 1407.9 MB
[runlim] sample:		239.9 time, 240.3 real, 1462.2 MB
[runlim] sample:		250.0 time, 250.3 real, 1514.1 MB
[runlim] sample:		259.9 time, 260.3 real, 1564.0 MB
[runlim] sample:		269.9 time, 270.3 real, 1618.4 MB
[runlim] sample:		279.9 time, 280.3 real, 1668.3 MB
[runlim] sample:		289.9 time, 290.3 real, 1720.6 MB
[runlim] sample:		299.9 time, 300.3 real, 1774.5 MB
[runlim] sample:		309.9 time, 310.3 real, 1835.1 MB
[runlim] sample:		319.9 time, 320.3 real, 1886.6 MB
[runlim] sample:		329.9 time, 330.3 real, 1938.7 MB
[runlim] sample:		339.9 time, 340.3 real, 1988.6 MB
[runlim] sample:		349.9 time, 350.3 real, 2042.4 MB
[runlim] sample:		359.9 time, 360.3 real, 2092.3 MB
[runlim] sample:		369.9 time, 370.3 real, 2138.1 MB
[runlim] sample:		379.9 time, 380.3 real, 2186.0 MB
[runlim] sample:		389.9 time, 390.3 real, 2227.6 MB
[runlim] sample:		399.9 time, 400.3 real, 2273.3 MB
[runlim] sample:		409.9 time, 410.3 real, 2316.9 MB
[runlim] sample:		419.9 time, 420.3 real, 4340.2 MB
[runlim] sample:		429.9 time, 430.3 real, 6385.2 MB
[runlim] sample:		439.9 time, 440.3 real, 8747.9 MB
[runlim] sample:		449.9 time, 450.3 real, 12375.7 MB
[runlim] sample:		459.9 time, 460.3 real, 12892.9 MB
[runlim] sample:		469.9 time, 470.3 real, 16448.7 MB
[runlim] sample:		479.9 time, 480.3 real, 16453.1 MB
[runlim] sample:		489.9 time, 490.3 real, 16453.4 MB
[runlim] sample:		499.9 time, 500.3 real, 12421.0 MB
[runlim] sample:		509.9 time, 510.3 real, 16466.4 MB
[runlim] sample:		519.9 time, 520.3 real, 16467.1 MB
[runlim] sample:		529.9 time, 530.3 real, 16467.4 MB
[runlim] sample:		539.9 time, 540.3 real, 16467.7 MB
[runlim] sample:		549.9 time, 550.3 real, 12404.2 MB
[runlim] sample:		559.9 time, 560.3 real, 16446.3 MB
[runlim] sample:		569.9 time, 570.3 real, 16460.9 MB
[runlim] sample:		579.9 time, 580.3 real, 16461.2 MB
[runlim] sample:		589.9 time, 590.3 real, 12513.4 MB
[runlim] sample:		599.9 time, 600.3 real, 19168.1 MB
[runlim] sample:		609.9 time, 610.3 real, 12815.8 MB
[runlim] sample:		619.9 time, 620.3 real, 13382.6 MB
[runlim] sample:		629.9 time, 630.3 real, 12424.0 MB
[runlim] sample:		639.9 time, 640.3 real, 12424.0 MB
[runlim] sample:		649.9 time, 650.3 real, 14453.1 MB
[runlim] sample:		659.9 time, 660.3 real, 12405.5 MB
[runlim] sample:		669.9 time, 670.3 real, 17796.7 MB
[runlim] sample:		679.9 time, 680.3 real, 17796.7 MB
[runlim] sample:		689.9 time, 690.3 real, 17816.7 MB
[runlim] sample:		699.9 time, 700.3 real, 17872.9 MB
[runlim] sample:		709.9 time, 710.3 real, 17916.9 MB
[runlim] sample:		719.9 time, 720.3 real, 17958.9 MB
[runlim] sample:		729.9 time, 730.3 real, 18004.9 MB
[runlim] sample:		739.9 time, 740.3 real, 18052.9 MB
[runlim] sample:		749.9 time, 750.3 real, 18112.9 MB
[runlim] sample:		759.9 time, 760.3 real, 18184.9 MB
[runlim] sample:		769.9 time, 770.3 real, 18266.9 MB
[runlim] sample:		779.9 time, 780.3 real, 18336.9 MB
[runlim] sample:		789.9 time, 790.3 real, 18406.9 MB
[runlim] sample:		799.9 time, 800.3 real, 12412.3 MB
[runlim] sample:		809.9 time, 810.3 real, 12412.3 MB
[runlim] sample:		819.9 time, 820.3 real, 10652.3 MB
[runlim] sample:		829.9 time, 830.3 real, 14805.1 MB
[runlim] sample:		839.9 time, 840.3 real, 16871.4 MB
[runlim] sample:		858.4 time, 850.3 real, 28431.1 MB
[runlim] end:			Mon May 12 05:47:31 2025
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		0
[runlim] real:			851.37 seconds
[runlim] time:			860.20 seconds
[runlim] space:			30078.0 MB
[runlim] samples:		8510
