[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/Q-494_bus.mtx.rnd
[runlim] argv[2]:		--product
[runlim] argv[3]:		-symetry-break
[runlim] argv[4]:		f
[runlim] start:			Fri Sep 27 03:06:16 2024
[runlim] main pid:		70667
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the first node.
c Solving strategy: from LB to UB.
c LB-w = 219 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 246 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 219 ( Q-494_bus.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a 2-Product encoder with n = 494.
c Encoding starts with w = 219:
c	Encode symmetry breaking with option: f.
[runlim] sample:		10.0 time, 10.5 real, 5939.5 MB
[runlim] sample:		20.0 time, 20.5 real, 11848.1 MB
c	Encoding duration: 28s
c	Number of clauses: 170652571
c	Number of irredundant clauses: 170470004
c	Number of variables: 16193952
c SAT Solving starts:
[runlim] sample:		30.0 time, 30.5 real, 16255.9 MB
[runlim] sample:		40.0 time, 40.5 real, 16508.9 MB
[runlim] sample:		50.0 time, 50.5 real, 18974.1 MB
[runlim] sample:		60.0 time, 60.5 real, 20423.3 MB
[runlim] sample:		70.0 time, 70.5 real, 20423.3 MB
[runlim] sample:		80.0 time, 80.5 real, 20440.1 MB
[runlim] sample:		90.0 time, 90.5 real, 20811.8 MB
[runlim] sample:		100.0 time, 100.5 real, 20560.3 MB
[runlim] sample:		110.0 time, 110.5 real, 20560.4 MB
[runlim] sample:		120.0 time, 120.5 real, 20582.6 MB
[runlim] sample:		130.0 time, 130.5 real, 20582.7 MB
[runlim] sample:		140.0 time, 140.5 real, 20586.2 MB
[runlim] sample:		150.0 time, 150.5 real, 20587.1 MB
[runlim] sample:		160.0 time, 160.5 real, 20587.1 MB
[runlim] sample:		170.0 time, 170.5 real, 20587.1 MB
[runlim] sample:		180.0 time, 180.5 real, 24420.7 MB
[runlim] sample:		190.0 time, 190.5 real, 25641.2 MB
