[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/AntiBandwidthReconstruct/build/Benchmarks/P-can__445.mtx.rnd
[runlim] argv[2]:		--duplex
[runlim] argv[3]:		-symetry-break
[runlim] argv[4]:		f
[runlim] start:			Fri Sep 27 05:17:47 2024
[runlim] main pid:		74295
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the first node.
c Solving strategy: from LB to UB.
c LB-w = 78 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 120 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 78 ( P-can__445.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Duplex encoder with n = 445.
c Encoding starts with w = 78:
c	Encode symmetry breaking with option: f.
c	Labels and Vertices aux var: 36490
c	Labels and Vertices constraints:  456570
c	Obj k aux var: 664830
c	Obj k constraints: 4604821
c	Obj k glue staircase constraints: 2452356
c	Encoding duration: 1s
c	Number of clauses: 5061613
c	Number of irredundant clauses: 4726662
c	Number of variables: 899345
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.6 real, 811.6 MB
[runlim] sample:		20.0 time, 20.6 real, 835.0 MB
[runlim] sample:		30.0 time, 30.6 real, 820.2 MB
[runlim] sample:		40.0 time, 40.6 real, 846.8 MB
[runlim] sample:		50.0 time, 50.6 real, 811.5 MB
[runlim] sample:		60.0 time, 60.6 real, 850.6 MB
[runlim] sample:		70.0 time, 70.6 real, 825.9 MB
[runlim] sample:		80.0 time, 80.6 real, 824.4 MB
[runlim] sample:		90.0 time, 90.6 real, 818.8 MB
[runlim] sample:		100.0 time, 100.6 real, 882.8 MB
[runlim] sample:		110.0 time, 110.6 real, 882.7 MB
[runlim] sample:		120.0 time, 120.6 real, 855.9 MB
[runlim] sample:		130.0 time, 130.6 real, 845.0 MB
[runlim] sample:		140.0 time, 140.6 real, 812.0 MB
[runlim] sample:		150.0 time, 150.6 real, 803.1 MB
[runlim] sample:		160.0 time, 160.6 real, 840.1 MB
[runlim] sample:		170.0 time, 170.6 real, 886.7 MB
