[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		G-will57.mtx.rnd
[runlim] start:			Mon May 12 02:30:22 2025
[runlim] main pid:		724936
[runlim] sample:		24.3 time, 10.4 real, 238.9 MB
[runlim] sample:		51.4 time, 20.4 real, 270.3 MB
[runlim] end:			Mon May 12 02:30:43 2025
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			21.51 seconds
[runlim] time:			54.70 seconds
[runlim] space:			271.3 MB
[runlim] samples:		211
