[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		J-nos4.mtx.rnd
[runlim] start:			Mon May 12 03:00:51 2025
[runlim] main pid:		729475
[runlim] sample:		10.7 time, 10.1 real, 285.1 MB
[runlim] sample:		20.9 time, 20.1 real, 300.8 MB
[runlim] sample:		31.2 time, 30.1 real, 258.2 MB
[runlim] sample:		41.4 time, 40.1 real, 329.6 MB
[runlim] sample:		51.5 time, 50.1 real, 312.4 MB
[runlim] sample:		61.7 time, 60.1 real, 322.8 MB
[runlim] sample:		72.0 time, 70.1 real, 355.3 MB
[runlim] sample:		82.2 time, 80.1 real, 299.8 MB
[runlim] sample:		92.4 time, 90.1 real, 355.6 MB
[runlim] sample:		102.6 time, 100.1 real, 325.2 MB
[runlim] sample:		112.8 time, 110.1 real, 345.6 MB
[runlim] sample:		123.0 time, 120.1 real, 353.9 MB
[runlim] sample:		133.2 time, 130.1 real, 342.6 MB
[runlim] sample:		143.4 time, 140.1 real, 351.7 MB
[runlim] sample:		155.3 time, 150.1 real, 362.2 MB
[runlim] sample:		189.2 time, 160.1 real, 587.4 MB
[runlim] sample:		226.9 time, 170.1 real, 598.6 MB
[runlim] sample:		264.5 time, 180.1 real, 601.3 MB
[runlim] sample:		304.4 time, 190.1 real, 609.5 MB
[runlim] sample:		344.4 time, 200.1 real, 629.0 MB
[runlim] sample:		384.4 time, 210.1 real, 632.6 MB
[runlim] sample:		424.4 time, 220.1 real, 669.0 MB
[runlim] sample:		464.4 time, 230.1 real, 676.2 MB
[runlim] sample:		504.4 time, 240.1 real, 674.0 MB
[runlim] sample:		544.4 time, 250.1 real, 740.0 MB
[runlim] sample:		583.6 time, 260.1 real, 830.9 MB
[runlim] sample:		623.6 time, 270.1 real, 856.6 MB
[runlim] sample:		663.6 time, 280.1 real, 919.4 MB
[runlim] sample:		703.2 time, 290.1 real, 937.1 MB
[runlim] sample:		743.2 time, 300.1 real, 942.7 MB
[runlim] sample:		782.7 time, 310.1 real, 949.8 MB
[runlim] sample:		822.7 time, 320.1 real, 952.3 MB
[runlim] sample:		861.6 time, 330.1 real, 907.8 MB
[runlim] sample:		901.6 time, 340.1 real, 899.8 MB
[runlim] sample:		941.1 time, 350.1 real, 907.4 MB
[runlim] sample:		981.1 time, 360.1 real, 913.4 MB
[runlim] sample:		1020.5 time, 370.1 real, 908.8 MB
[runlim] sample:		1060.5 time, 380.1 real, 903.6 MB
[runlim] sample:		1099.0 time, 390.1 real, 915.2 MB
[runlim] sample:		1139.0 time, 400.1 real, 907.2 MB
[runlim] sample:		1178.3 time, 410.1 real, 941.8 MB
[runlim] sample:		1218.3 time, 420.1 real, 937.2 MB
[runlim] sample:		1258.3 time, 430.1 real, 1001.1 MB
[runlim] sample:		1297.8 time, 440.1 real, 963.5 MB
[runlim] sample:		1337.8 time, 450.1 real, 965.0 MB
[runlim] sample:		1377.0 time, 460.1 real, 967.0 MB
[runlim] sample:		1417.0 time, 470.1 real, 923.4 MB
[runlim] sample:		1457.0 time, 480.1 real, 922.7 MB
[runlim] sample:		1495.8 time, 490.1 real, 924.4 MB
[runlim] sample:		1535.8 time, 500.1 real, 930.7 MB
[runlim] sample:		1575.1 time, 510.1 real, 959.5 MB
[runlim] sample:		1615.1 time, 520.1 real, 958.6 MB
[runlim] sample:		1655.1 time, 530.1 real, 955.6 MB
[runlim] sample:		1693.7 time, 540.1 real, 951.1 MB
[runlim] sample:		1733.7 time, 550.1 real, 954.8 MB
[runlim] sample:		1773.7 time, 560.1 real, 983.9 MB
[runlim] sample:		1813.0 time, 570.1 real, 1016.3 MB
[runlim] sample:		1853.0 time, 580.1 real, 1027.6 MB
[runlim] sample:		1892.6 time, 590.1 real, 1063.5 MB
[runlim] sample:		1932.6 time, 600.1 real, 1080.2 MB
[runlim] sample:		1972.5 time, 610.1 real, 1083.3 MB
[runlim] sample:		2010.7 time, 620.1 real, 1080.8 MB
[runlim] sample:		2050.7 time, 630.1 real, 1080.2 MB
[runlim] sample:		2090.7 time, 640.1 real, 1084.4 MB
[runlim] sample:		2128.6 time, 650.1 real, 1077.1 MB
[runlim] sample:		2168.6 time, 660.1 real, 1082.4 MB
[runlim] sample:		2208.6 time, 670.1 real, 1091.2 MB
[runlim] sample:		2236.8 time, 680.1 real, 1121.5 MB
[runlim] sample:		2247.3 time, 690.1 real, 1116.2 MB
[runlim] sample:		2257.9 time, 700.1 real, 1116.2 MB
[runlim] sample:		2268.4 time, 710.1 real, 1116.2 MB
[runlim] sample:		2289.1 time, 720.1 real, 1081.9 MB
[runlim] sample:		2301.6 time, 730.1 real, 1120.4 MB
[runlim] sample:		2312.2 time, 740.1 real, 1120.4 MB
[runlim] sample:		2322.7 time, 750.1 real, 1120.4 MB
[runlim] sample:		2333.1 time, 760.1 real, 1120.4 MB
[runlim] sample:		2343.6 time, 770.1 real, 1120.4 MB
[runlim] sample:		2354.1 time, 780.1 real, 1120.4 MB
[runlim] sample:		2364.6 time, 790.1 real, 1120.4 MB
[runlim] sample:		2375.1 time, 800.1 real, 1120.4 MB
[runlim] sample:		2385.6 time, 810.1 real, 1120.4 MB
[runlim] sample:		2412.7 time, 820.1 real, 1164.3 MB
[runlim] sample:		2442.9 time, 830.1 real, 1192.9 MB
[runlim] sample:		2473.0 time, 840.1 real, 1245.5 MB
[runlim] sample:		2503.2 time, 850.1 real, 1305.3 MB
[runlim] sample:		2533.3 time, 860.1 real, 1430.2 MB
[runlim] sample:		2563.4 time, 870.1 real, 1444.3 MB
[runlim] sample:		2593.6 time, 880.1 real, 1355.5 MB
[runlim] sample:		2622.9 time, 890.1 real, 1534.6 MB
[runlim] sample:		2653.1 time, 900.1 real, 1395.1 MB
[runlim] sample:		2683.2 time, 910.1 real, 1344.4 MB
[runlim] sample:		2713.4 time, 920.1 real, 1345.2 MB
[runlim] sample:		2743.6 time, 930.1 real, 1371.0 MB
[runlim] sample:		2773.7 time, 940.1 real, 1440.1 MB
[runlim] sample:		2803.9 time, 950.1 real, 1387.6 MB
[runlim] sample:		2834.0 time, 960.1 real, 1387.6 MB
[runlim] sample:		2864.2 time, 970.1 real, 1387.6 MB
[runlim] sample:		2894.3 time, 980.1 real, 1546.0 MB
[runlim] sample:		2924.5 time, 990.1 real, 1387.6 MB
[runlim] sample:		2954.6 time, 1000.1 real, 1536.6 MB
[runlim] sample:		2984.8 time, 1010.1 real, 1387.6 MB
[runlim] sample:		3014.9 time, 1020.1 real, 1388.9 MB
[runlim] sample:		3045.1 time, 1030.1 real, 1388.9 MB
[runlim] sample:		3075.2 time, 1040.1 real, 1538.0 MB
[runlim] sample:		3105.4 time, 1050.1 real, 1388.9 MB
[runlim] sample:		3135.6 time, 1060.1 real, 1388.9 MB
[runlim] sample:		3165.7 time, 1070.1 real, 1388.9 MB
[runlim] sample:		3195.9 time, 1080.1 real, 1447.9 MB
[runlim] sample:		3226.0 time, 1090.1 real, 1388.9 MB
[runlim] sample:		3256.1 time, 1100.1 real, 1525.7 MB
[runlim] sample:		3286.3 time, 1110.1 real, 1388.9 MB
[runlim] sample:		3316.4 time, 1120.1 real, 1388.9 MB
[runlim] sample:		3346.6 time, 1130.1 real, 1388.9 MB
[runlim] sample:		3376.8 time, 1140.1 real, 1525.7 MB
[runlim] sample:		3406.9 time, 1150.1 real, 1388.9 MB
[runlim] sample:		3437.1 time, 1160.1 real, 1388.9 MB
[runlim] sample:		3467.2 time, 1170.1 real, 1388.9 MB
[runlim] sample:		3497.4 time, 1180.1 real, 1560.9 MB
[runlim] sample:		3527.5 time, 1190.1 real, 1549.9 MB
[runlim] sample:		3557.7 time, 1200.1 real, 1389.2 MB
[runlim] sample:		3587.8 time, 1210.1 real, 1389.2 MB
[runlim] sample:		3618.0 time, 1220.1 real, 1389.2 MB
[runlim] sample:		3648.1 time, 1230.1 real, 1550.1 MB
[runlim] sample:		3678.3 time, 1240.1 real, 1389.2 MB
[runlim] sample:		3708.4 time, 1250.1 real, 1389.2 MB
[runlim] sample:		3738.6 time, 1260.1 real, 1389.2 MB
[runlim] sample:		3768.7 time, 1270.1 real, 1501.2 MB
[runlim] sample:		3798.9 time, 1280.1 real, 1417.1 MB
[runlim] sample:		3829.0 time, 1290.1 real, 1389.2 MB
[runlim] sample:		3859.2 time, 1300.1 real, 1389.2 MB
[runlim] sample:		3889.4 time, 1310.1 real, 1389.2 MB
[runlim] sample:		3919.6 time, 1320.1 real, 1513.1 MB
[runlim] sample:		3944.3 time, 1330.1 real, 1389.2 MB
[runlim] sample:		3964.6 time, 1340.1 real, 1389.2 MB
[runlim] sample:		3984.9 time, 1350.1 real, 1389.2 MB
[runlim] sample:		3998.4 time, 1360.1 real, 1458.6 MB
[runlim] sample:		4009.0 time, 1370.1 real, 1459.9 MB
[runlim] sample:		4019.5 time, 1380.1 real, 1391.2 MB
[runlim] sample:		4030.1 time, 1390.1 real, 1391.2 MB
[runlim] sample:		4040.6 time, 1400.1 real, 1391.2 MB
[runlim] sample:		4051.2 time, 1410.1 real, 1423.0 MB
[runlim] sample:		4061.7 time, 1420.1 real, 1391.2 MB
[runlim] sample:		4072.3 time, 1430.1 real, 1391.2 MB
[runlim] sample:		4082.8 time, 1440.1 real, 1391.2 MB
[runlim] sample:		4093.3 time, 1450.1 real, 1440.0 MB
[runlim] sample:		4103.8 time, 1460.1 real, 1421.9 MB
[runlim] sample:		4114.4 time, 1470.1 real, 1391.2 MB
[runlim] sample:		4124.9 time, 1480.1 real, 1391.2 MB
[runlim] sample:		4135.5 time, 1490.1 real, 1391.2 MB
[runlim] sample:		4145.7 time, 1500.1 real, 980.5 MB
[runlim] sample:		4156.6 time, 1510.1 real, 989.0 MB
[runlim] sample:		4166.8 time, 1520.1 real, 1001.0 MB
[runlim] sample:		4177.1 time, 1530.1 real, 1001.0 MB
[runlim] sample:		4187.3 time, 1540.1 real, 999.3 MB
[runlim] sample:		4197.5 time, 1550.1 real, 1003.4 MB
[runlim] sample:		4207.8 time, 1560.1 real, 1001.4 MB
[runlim] sample:		4218.0 time, 1570.1 real, 1001.2 MB
[runlim] sample:		4228.2 time, 1580.1 real, 1001.2 MB
[runlim] sample:		4238.4 time, 1590.1 real, 989.2 MB
[runlim] sample:		4248.6 time, 1600.1 real, 1001.7 MB
[runlim] sample:		4258.9 time, 1610.1 real, 999.7 MB
[runlim] sample:		4269.1 time, 1620.1 real, 999.7 MB
[runlim] sample:		4279.3 time, 1630.1 real, 989.3 MB
[runlim] sample:		4289.5 time, 1640.1 real, 1001.7 MB
[runlim] sample:		4299.7 time, 1650.1 real, 1001.7 MB
[runlim] sample:		4309.9 time, 1660.1 real, 999.3 MB
[runlim] sample:		4320.1 time, 1670.1 real, 999.3 MB
[runlim] sample:		4330.3 time, 1680.1 real, 999.3 MB
[runlim] sample:		4340.6 time, 1690.1 real, 997.4 MB
[runlim] sample:		4350.8 time, 1700.1 real, 997.0 MB
[runlim] sample:		4362.7 time, 1710.1 real, 999.1 MB
[runlim] sample:		4388.6 time, 1720.1 real, 1054.7 MB
[runlim] sample:		4424.3 time, 1730.1 real, 1092.1 MB
[runlim] sample:		4445.0 time, 1740.1 real, 1080.7 MB
[runlim] sample:		4466.6 time, 1750.1 real, 1062.0 MB
[runlim] sample:		4501.9 time, 1760.1 real, 1063.4 MB
[runlim] sample:		4541.6 time, 1770.1 real, 1073.8 MB
[runlim] sample:		4581.6 time, 1780.1 real, 1073.0 MB
[runlim] sample:		4621.0 time, 1790.1 real, 1074.8 MB
[runlim] end:			Mon May 12 03:30:51 2025
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			1800.04 seconds
[runlim] time:			4660.57 seconds
[runlim] space:			1690.9 MB
[runlim] samples:		17999
