[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		Q-494_bus.mtx.rnd
[runlim] start:			Mon May 12 04:24:52 2025
[runlim] main pid:		742215
[runlim] sample:		10.0 time, 10.6 real, 171.6 MB
[runlim] sample:		20.0 time, 20.6 real, 224.1 MB
[runlim] sample:		30.0 time, 30.6 real, 277.2 MB
[runlim] sample:		40.0 time, 40.6 real, 331.6 MB
[runlim] sample:		50.0 time, 50.6 real, 385.5 MB
[runlim] sample:		60.0 time, 60.6 real, 443.5 MB
[runlim] sample:		70.0 time, 70.6 real, 495.3 MB
[runlim] sample:		80.0 time, 80.6 real, 549.6 MB
[runlim] sample:		90.0 time, 90.6 real, 603.2 MB
[runlim] sample:		100.0 time, 100.6 real, 656.6 MB
[runlim] sample:		110.0 time, 110.6 real, 708.8 MB
[runlim] sample:		120.0 time, 120.6 real, 762.8 MB
[runlim] sample:		130.0 time, 130.6 real, 815.1 MB
[runlim] sample:		140.0 time, 140.6 real, 872.4 MB
[runlim] sample:		150.0 time, 150.6 real, 924.4 MB
[runlim] sample:		160.0 time, 160.6 real, 978.6 MB
[runlim] sample:		170.0 time, 170.6 real, 5024.7 MB
[runlim] sample:		180.0 time, 180.6 real, 6671.9 MB
[runlim] sample:		190.0 time, 190.6 real, 5052.6 MB
[runlim] sample:		200.0 time, 200.6 real, 6681.6 MB
[runlim] sample:		210.0 time, 210.6 real, 5042.2 MB
[runlim] sample:		220.0 time, 220.6 real, 6679.2 MB
[runlim] sample:		230.0 time, 230.6 real, 5040.7 MB
[runlim] sample:		240.0 time, 240.6 real, 5060.5 MB
[runlim] sample:		250.0 time, 250.6 real, 7226.4 MB
[runlim] sample:		260.0 time, 260.6 real, 7308.4 MB
[runlim] sample:		270.0 time, 270.6 real, 7408.4 MB
[runlim] sample:		280.0 time, 280.6 real, 5057.5 MB
[runlim] sample:		290.0 time, 290.6 real, 6020.6 MB
[runlim] sample:		305.4 time, 300.6 real, 14125.6 MB
[runlim] sample:		317.9 time, 310.6 real, 12372.7 MB
[runlim] sample:		347.9 time, 320.6 real, 15976.1 MB
[runlim] sample:		377.9 time, 330.6 real, 16362.6 MB
[runlim] sample:		407.9 time, 340.6 real, 17803.5 MB
[runlim] sample:		437.9 time, 350.6 real, 17586.2 MB
[runlim] sample:		467.9 time, 360.6 real, 17617.2 MB
[runlim] sample:		497.9 time, 370.6 real, 17601.5 MB
[runlim] sample:		527.9 time, 380.6 real, 17635.5 MB
[runlim] sample:		557.9 time, 390.6 real, 15602.0 MB
[runlim] sample:		587.9 time, 400.6 real, 15648.6 MB
[runlim] sample:		617.9 time, 410.6 real, 15650.9 MB
[runlim] sample:		647.9 time, 420.6 real, 16494.4 MB
[runlim] sample:		677.9 time, 430.6 real, 17402.0 MB
[runlim] sample:		707.9 time, 440.6 real, 18207.5 MB
[runlim] sample:		737.9 time, 450.6 real, 18279.4 MB
[runlim] sample:		767.9 time, 460.6 real, 18283.4 MB
[runlim] sample:		797.9 time, 470.6 real, 18284.0 MB
[runlim] sample:		827.9 time, 480.6 real, 18311.2 MB
[runlim] sample:		857.9 time, 490.6 real, 18311.6 MB
[runlim] sample:		887.9 time, 500.6 real, 18313.9 MB
[runlim] sample:		917.9 time, 510.6 real, 18313.9 MB
[runlim] sample:		947.9 time, 520.6 real, 18315.5 MB
[runlim] sample:		977.9 time, 530.6 real, 18315.5 MB
[runlim] sample:		1007.9 time, 540.6 real, 18321.6 MB
[runlim] sample:		1037.9 time, 550.6 real, 18321.6 MB
[runlim] sample:		1067.8 time, 560.6 real, 18322.5 MB
[runlim] sample:		1097.8 time, 570.6 real, 18329.7 MB
[runlim] sample:		1127.9 time, 580.6 real, 18329.7 MB
[runlim] sample:		1157.8 time, 590.6 real, 18331.0 MB
[runlim] sample:		1187.8 time, 600.6 real, 18337.2 MB
[runlim] sample:		1217.8 time, 610.6 real, 18337.4 MB
[runlim] sample:		1247.9 time, 620.6 real, 18337.4 MB
[runlim] sample:		1277.8 time, 630.6 real, 18338.1 MB
[runlim] sample:		1307.9 time, 640.6 real, 18338.1 MB
[runlim] sample:		1337.8 time, 650.6 real, 18339.8 MB
[runlim] sample:		1367.8 time, 660.6 real, 18341.6 MB
[runlim] sample:		1397.8 time, 670.6 real, 18344.2 MB
[runlim] sample:		1417.6 time, 680.6 real, 10802.7 MB
[runlim] sample:		1428.2 time, 690.6 real, 12729.9 MB
[runlim] sample:		1438.8 time, 700.6 real, 12736.7 MB
[runlim] sample:		1449.3 time, 710.6 real, 12740.9 MB
[runlim] sample:		1459.9 time, 720.6 real, 12744.0 MB
[runlim] sample:		1470.5 time, 730.6 real, 12747.5 MB
[runlim] sample:		1481.1 time, 740.6 real, 12748.3 MB
[runlim] sample:		1491.7 time, 750.6 real, 12753.6 MB
[runlim] sample:		1502.3 time, 760.6 real, 12753.6 MB
[runlim] sample:		1512.9 time, 770.6 real, 12753.6 MB
[runlim] sample:		1523.3 time, 780.6 real, 12756.7 MB
[runlim] sample:		1533.8 time, 790.6 real, 12762.7 MB
[runlim] sample:		1544.3 time, 800.6 real, 12768.7 MB
[runlim] sample:		1554.8 time, 810.6 real, 12776.7 MB
[runlim] sample:		1565.3 time, 820.6 real, 12778.7 MB
[runlim] sample:		1575.7 time, 830.6 real, 12780.7 MB
[runlim] sample:		1586.2 time, 840.6 real, 12780.7 MB
[runlim] sample:		1596.6 time, 850.6 real, 12780.7 MB
[runlim] sample:		1607.0 time, 860.6 real, 12780.7 MB
[runlim] sample:		1617.4 time, 870.6 real, 12786.7 MB
[runlim] sample:		1627.9 time, 880.6 real, 12786.7 MB
[runlim] sample:		1638.3 time, 890.6 real, 12790.7 MB
[runlim] sample:		1648.7 time, 900.6 real, 12790.7 MB
[runlim] sample:		1659.2 time, 910.6 real, 12790.7 MB
[runlim] sample:		1669.6 time, 920.6 real, 12792.7 MB
[runlim] sample:		1680.0 time, 930.6 real, 12792.7 MB
[runlim] sample:		1690.4 time, 940.6 real, 12794.7 MB
[runlim] sample:		1700.8 time, 950.6 real, 12794.7 MB
[runlim] sample:		1711.2 time, 960.6 real, 12794.7 MB
[runlim] sample:		1721.6 time, 970.6 real, 12800.7 MB
[runlim] sample:		1732.0 time, 980.6 real, 12800.7 MB
[runlim] sample:		1742.4 time, 990.6 real, 12800.7 MB
[runlim] sample:		1752.9 time, 1000.6 real, 12800.7 MB
[runlim] sample:		1763.3 time, 1010.6 real, 12800.7 MB
[runlim] sample:		1773.7 time, 1020.6 real, 12800.7 MB
[runlim] sample:		1784.1 time, 1030.6 real, 12800.7 MB
[runlim] sample:		1794.5 time, 1040.6 real, 12800.7 MB
[runlim] sample:		1804.9 time, 1050.6 real, 12800.7 MB
[runlim] sample:		1815.3 time, 1060.6 real, 12800.7 MB
[runlim] sample:		1825.7 time, 1070.6 real, 12800.7 MB
[runlim] sample:		1836.1 time, 1080.6 real, 12800.7 MB
[runlim] sample:		1846.5 time, 1090.6 real, 12800.7 MB
[runlim] sample:		1857.0 time, 1100.6 real, 12800.7 MB
[runlim] sample:		1867.4 time, 1110.6 real, 12800.7 MB
[runlim] sample:		1877.7 time, 1120.6 real, 12800.7 MB
[runlim] sample:		1888.1 time, 1130.6 real, 12800.7 MB
[runlim] sample:		1898.5 time, 1140.6 real, 12802.7 MB
[runlim] sample:		1908.9 time, 1150.6 real, 12802.7 MB
[runlim] sample:		1919.4 time, 1160.6 real, 12802.7 MB
[runlim] sample:		1929.8 time, 1170.6 real, 12802.7 MB
[runlim] sample:		1940.2 time, 1180.6 real, 12804.7 MB
[runlim] sample:		1950.6 time, 1190.6 real, 12804.7 MB
[runlim] sample:		1961.0 time, 1200.6 real, 12804.7 MB
[runlim] sample:		1971.4 time, 1210.6 real, 12804.7 MB
[runlim] sample:		1981.8 time, 1220.6 real, 12804.7 MB
[runlim] sample:		1992.3 time, 1230.6 real, 12804.7 MB
[runlim] sample:		2002.7 time, 1240.6 real, 12804.7 MB
[runlim] sample:		2013.1 time, 1250.6 real, 12804.7 MB
[runlim] sample:		2023.5 time, 1260.6 real, 12804.7 MB
[runlim] sample:		2033.8 time, 1270.6 real, 12804.7 MB
[runlim] sample:		2044.2 time, 1280.6 real, 12808.7 MB
[runlim] sample:		2054.6 time, 1290.6 real, 12808.7 MB
[runlim] sample:		2064.9 time, 1300.6 real, 12808.7 MB
[runlim] sample:		2075.3 time, 1310.6 real, 12808.7 MB
[runlim] sample:		2085.7 time, 1320.6 real, 12808.7 MB
[runlim] sample:		2096.1 time, 1330.6 real, 12808.7 MB
[runlim] sample:		2106.4 time, 1340.6 real, 12808.7 MB
[runlim] sample:		2116.8 time, 1350.6 real, 12808.7 MB
[runlim] sample:		2127.2 time, 1360.6 real, 12808.7 MB
[runlim] sample:		2137.6 time, 1370.6 real, 12808.7 MB
[runlim] sample:		2147.9 time, 1380.6 real, 12808.7 MB
[runlim] sample:		2158.2 time, 1390.6 real, 12808.7 MB
[runlim] sample:		2168.6 time, 1400.6 real, 12808.7 MB
[runlim] sample:		2179.0 time, 1410.6 real, 12808.7 MB
[runlim] sample:		2189.3 time, 1420.6 real, 12808.7 MB
[runlim] sample:		2199.7 time, 1430.6 real, 12808.7 MB
[runlim] sample:		2210.0 time, 1440.6 real, 12808.7 MB
[runlim] sample:		2220.4 time, 1450.6 real, 12808.7 MB
[runlim] sample:		2230.7 time, 1460.6 real, 12808.7 MB
[runlim] sample:		2241.1 time, 1470.6 real, 12808.7 MB
[runlim] sample:		2251.5 time, 1480.6 real, 12808.7 MB
[runlim] sample:		2261.9 time, 1490.6 real, 12808.7 MB
[runlim] sample:		2272.3 time, 1500.6 real, 12808.7 MB
[runlim] sample:		2282.7 time, 1510.6 real, 12808.7 MB
[runlim] sample:		2293.1 time, 1520.6 real, 12808.7 MB
[runlim] sample:		2303.4 time, 1530.6 real, 12808.7 MB
[runlim] sample:		2313.8 time, 1540.6 real, 12808.7 MB
[runlim] sample:		2324.3 time, 1550.6 real, 12808.7 MB
[runlim] sample:		2334.7 time, 1560.6 real, 12808.7 MB
[runlim] sample:		2345.1 time, 1570.6 real, 12808.7 MB
[runlim] sample:		2355.5 time, 1580.6 real, 12808.7 MB
[runlim] sample:		2366.0 time, 1590.6 real, 12808.7 MB
[runlim] sample:		2376.4 time, 1600.6 real, 12808.7 MB
[runlim] sample:		2386.9 time, 1610.6 real, 12808.7 MB
[runlim] sample:		2397.3 time, 1620.6 real, 12808.7 MB
[runlim] sample:		2407.7 time, 1630.6 real, 12808.7 MB
[runlim] sample:		2418.2 time, 1640.6 real, 12808.7 MB
[runlim] sample:		2428.6 time, 1650.6 real, 12808.7 MB
[runlim] sample:		2438.9 time, 1660.6 real, 12808.7 MB
[runlim] sample:		2449.3 time, 1670.6 real, 12808.7 MB
[runlim] sample:		2459.7 time, 1680.6 real, 12808.7 MB
[runlim] sample:		2470.1 time, 1690.6 real, 12808.7 MB
[runlim] sample:		2480.4 time, 1700.6 real, 12808.7 MB
[runlim] sample:		2490.8 time, 1710.6 real, 12808.7 MB
[runlim] sample:		2501.2 time, 1720.6 real, 12808.7 MB
[runlim] sample:		2511.6 time, 1730.6 real, 12808.7 MB
[runlim] sample:		2522.0 time, 1740.6 real, 12808.7 MB
[runlim] sample:		2532.4 time, 1750.6 real, 12808.7 MB
[runlim] sample:		2542.8 time, 1760.6 real, 12808.7 MB
[runlim] sample:		2553.1 time, 1770.6 real, 12808.7 MB
[runlim] sample:		2563.5 time, 1780.6 real, 12808.7 MB
[runlim] sample:		2573.9 time, 1790.6 real, 12808.7 MB
[runlim] end:			Mon May 12 04:54:52 2025
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			1800.14 seconds
[runlim] time:			2583.72 seconds
[runlim] space:			18775.0 MB
[runlim] samples:		17995
