[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		gurobi.py
[runlim] argv[2]:		S-sherman4.mtx.rnd
[runlim] start:			Mon May 12 05:01:56 2025
[runlim] main pid:		747005
[runlim] sample:		10.0 time, 10.6 real, 183.1 MB
[runlim] sample:		20.0 time, 20.6 real, 238.7 MB
[runlim] sample:		30.0 time, 30.6 real, 290.9 MB
[runlim] sample:		40.0 time, 40.6 real, 343.6 MB
[runlim] sample:		50.0 time, 50.6 real, 395.3 MB
[runlim] sample:		60.0 time, 60.6 real, 447.2 MB
[runlim] sample:		70.0 time, 70.6 real, 500.5 MB
[runlim] sample:		80.0 time, 80.6 real, 551.8 MB
[runlim] sample:		90.0 time, 90.6 real, 603.6 MB
[runlim] sample:		100.0 time, 100.6 real, 655.7 MB
[runlim] sample:		110.0 time, 110.6 real, 709.8 MB
[runlim] sample:		120.0 time, 120.6 real, 763.4 MB
[runlim] sample:		130.0 time, 130.6 real, 815.4 MB
[runlim] sample:		140.0 time, 140.6 real, 870.0 MB
[runlim] sample:		150.0 time, 150.6 real, 921.7 MB
[runlim] sample:		160.0 time, 160.6 real, 974.8 MB
[runlim] sample:		170.0 time, 170.6 real, 1028.6 MB
[runlim] sample:		180.0 time, 180.6 real, 1080.5 MB
[runlim] sample:		190.0 time, 190.6 real, 1130.2 MB
[runlim] sample:		200.0 time, 200.6 real, 1183.9 MB
[runlim] sample:		210.0 time, 210.6 real, 1236.8 MB
[runlim] sample:		220.0 time, 220.6 real, 1286.5 MB
[runlim] sample:		230.0 time, 230.6 real, 1338.2 MB
[runlim] sample:		240.0 time, 240.6 real, 1391.1 MB
[runlim] sample:		250.0 time, 250.6 real, 1446.4 MB
[runlim] sample:		260.0 time, 260.6 real, 1498.1 MB
[runlim] sample:		270.0 time, 270.6 real, 1548.0 MB
[runlim] sample:		280.0 time, 280.6 real, 1601.7 MB
[runlim] sample:		290.0 time, 290.6 real, 1653.3 MB
[runlim] sample:		300.0 time, 300.6 real, 1703.0 MB
[runlim] sample:		310.0 time, 310.6 real, 1757.3 MB
[runlim] sample:		320.0 time, 320.6 real, 1807.2 MB
[runlim] sample:		330.0 time, 330.6 real, 1856.9 MB
[runlim] sample:		339.9 time, 340.6 real, 1908.9 MB
[runlim] sample:		349.9 time, 350.6 real, 1962.6 MB
[runlim] sample:		359.9 time, 360.6 real, 2013.3 MB
[runlim] sample:		369.9 time, 370.6 real, 2063.2 MB
[runlim] sample:		379.9 time, 380.6 real, 2114.9 MB
[runlim] sample:		389.9 time, 390.6 real, 2164.6 MB
[runlim] sample:		399.9 time, 400.6 real, 2218.3 MB
[runlim] sample:		409.9 time, 410.6 real, 2268.2 MB
[runlim] sample:		419.9 time, 420.6 real, 2317.8 MB
[runlim] sample:		429.9 time, 430.6 real, 2369.5 MB
[runlim] sample:		439.9 time, 440.6 real, 2419.2 MB
[runlim] sample:		449.9 time, 450.6 real, 2474.2 MB
[runlim] sample:		459.9 time, 460.6 real, 2524.1 MB
[runlim] sample:		469.9 time, 470.6 real, 7130.3 MB
[runlim] sample:		479.9 time, 480.6 real, 7142.3 MB
[runlim] sample:		489.9 time, 490.6 real, 13897.3 MB
[runlim] sample:		499.9 time, 500.6 real, 13906.7 MB
[runlim] sample:		509.9 time, 510.6 real, 18502.0 MB
[runlim] sample:		519.9 time, 520.6 real, 18512.0 MB
[runlim] sample:		529.9 time, 530.6 real, 18512.8 MB
[runlim] sample:		539.9 time, 540.6 real, 18513.1 MB
[runlim] sample:		549.9 time, 550.6 real, 13915.0 MB
[runlim] sample:		559.9 time, 560.6 real, 13932.3 MB
[runlim] sample:		569.9 time, 570.6 real, 18516.9 MB
[runlim] sample:		579.9 time, 580.6 real, 18517.1 MB
[runlim] sample:		589.9 time, 590.6 real, 18517.1 MB
[runlim] sample:		599.9 time, 600.6 real, 18517.3 MB
[runlim] sample:		609.9 time, 610.6 real, 13921.3 MB
[runlim] sample:		619.9 time, 620.6 real, 13921.3 MB
[runlim] sample:		629.9 time, 630.6 real, 18506.8 MB
[runlim] sample:		639.9 time, 640.6 real, 18517.7 MB
[runlim] sample:		649.9 time, 650.6 real, 18519.0 MB
[runlim] sample:		659.9 time, 660.6 real, 18519.8 MB
[runlim] sample:		669.9 time, 670.6 real, 18520.0 MB
[runlim] sample:		679.9 time, 680.6 real, 13923.7 MB
[runlim] sample:		689.9 time, 690.6 real, 13985.6 MB
[runlim] sample:		699.9 time, 700.6 real, 17038.2 MB
[runlim] sample:		709.9 time, 710.6 real, 21593.2 MB
[runlim] sample:		719.9 time, 720.6 real, 13918.8 MB
[runlim] sample:		729.9 time, 730.6 real, 14260.6 MB
[runlim] sample:		739.9 time, 740.6 real, 13938.6 MB
[runlim] sample:		749.9 time, 750.6 real, 13938.6 MB
[runlim] sample:		759.9 time, 760.6 real, 13938.6 MB
[runlim] sample:		772.2 time, 770.6 real, 20232.4 MB
[runlim] sample:		785.9 time, 780.6 real, 17033.5 MB
[runlim] sample:		796.4 time, 790.6 real, 20167.5 MB
[runlim] sample:		806.8 time, 800.6 real, 20177.6 MB
[runlim] sample:		817.3 time, 810.6 real, 20234.8 MB
[runlim] sample:		827.9 time, 820.6 real, 20291.2 MB
[runlim] sample:		838.4 time, 830.6 real, 20347.4 MB
[runlim] sample:		848.9 time, 840.6 real, 20403.6 MB
[runlim] sample:		859.5 time, 850.6 real, 20457.6 MB
[runlim] sample:		870.0 time, 860.6 real, 20513.6 MB
[runlim] sample:		880.5 time, 870.6 real, 20565.6 MB
[runlim] sample:		891.0 time, 880.6 real, 20619.7 MB
[runlim] sample:		901.6 time, 890.6 real, 20669.7 MB
[runlim] sample:		912.1 time, 900.6 real, 20719.7 MB
[runlim] sample:		922.6 time, 910.6 real, 20769.7 MB
[runlim] sample:		933.1 time, 920.6 real, 20815.7 MB
[runlim] sample:		943.6 time, 930.6 real, 20859.7 MB
[runlim] sample:		954.2 time, 940.6 real, 14059.8 MB
[runlim] sample:		964.8 time, 950.6 real, 14059.8 MB
[runlim] sample:		975.3 time, 960.6 real, 15664.3 MB
[runlim] sample:		985.9 time, 970.6 real, 13189.2 MB
[runlim] sample:		996.5 time, 980.6 real, 16677.7 MB
[runlim] sample:		1007.1 time, 990.6 real, 19007.5 MB
[runlim] sample:		1017.6 time, 1000.6 real, 19007.5 MB
[runlim] sample:		1035.7 time, 1010.6 real, 26511.2 MB
[runlim] end:			Mon May 12 05:18:49 2025
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		0
[runlim] real:			1013.93 seconds
[runlim] time:			1042.25 seconds
[runlim] space:			30251.2 MB
[runlim] samples:		10133
